R,G,B
32,36,81
32,36,81
35,36,81
37,36,81
36,36,81
39,36,81
41,36,81
39,36,81
38,36,81
36,36,81
44,36,81
51,36,81
57,36,81
72,36,81
99,36,81
131,36,81
135,36,81
123,36,81
115,36,81
118,36,81
131,36,81
145,36,81
156,36,81
162,36,81
171,36,81
178,36,81
185,36,81
189,36,81
190,36,81
189,36,81
190,36,81
194,36,81
182,36,81
165,36,81
128,36,81
93,36,81
67,36,81
57,36,81
56,36,81
45,36,81
43,36,81
43,36,81
44,36,81
44,36,81
46,36,81
49,36,81
48,36,81
47,36,81
47,36,81
49,36,81
53,36,81
54,36,81
49,36,81
46,36,81
45,36,81
44,36,81
46,36,81
44,36,81
50,36,81
56,36,81
64,36,81
75,36,81
99,36,81
134,36,81
150,36,81
149,36,81
130,36,81
131,36,81
139,36,81
157,36,81
167,36,81
174,36,81
180,36,81
188,36,81
195,36,81
198,36,81
200,36,81
202,36,81
204,36,81
202,36,81
192,36,81
190,36,81
160,36,81
127,36,81
92,36,81
77,36,81
67,36,81
58,36,81
56,36,81
57,36,81
59,36,81
61,36,81
61,36,81
62,36,81
62,36,81
62,36,81
62,36,81
61,36,81
59,36,81
58,36,81
59,36,81
59,36,81
58,36,81
58,36,81
59,36,81
59,36,81
59,36,81
59,36,81
59,36,81
60,36,81
60,36,81
60,36,81
55,36,81
55,36,81
56,36,81
56,36,81
56,36,81
58,36,81
60,36,81
61,36,81
61,36,81
62,36,81
61,36,81
58,36,81
58,36,81
55,36,81
53,36,81
54,36,81
58,36,81
60,36,81
59,36,81
58,36,81
60,36,81
65,36,81
64,36,81
61,36,81
62,36,81
62,36,81
63,36,81
60,36,81
59,36,81
59,36,81
60,36,81
59,36,81
60,36,81
66,36,81
74,36,81
84,36,81
108,36,81
133,36,81
166,36,81
158,36,81
147,36,81
138,36,81
146,36,81
160,36,81
168,36,81
178,36,81
186,36,81
192,36,81
201,36,81
207,36,81
204,36,81
202,36,81
197,36,81
194,36,81
194,36,81
179,36,81
160,36,81
125,36,81
96,36,81
66,36,81
60,36,81
53,36,81
48,36,81
44,36,81
45,36,81
44,36,81
43,36,81
42,36,81
43,36,81
44,36,81
45,36,81
47,36,81
46,36,81
47,36,81
47,36,81
46,36,81
42,36,81
41,36,81
43,36,81
46,36,81
42,36,81
47,36,81
54,36,81
61,36,81
76,36,81
100,36,81
129,36,81
153,36,81
144,36,81
125,36,81
132,36,81
147,36,81
155,36,81
167,36,81
179,36,81
189,36,81
199,36,81
205,36,81
210,36,81
211,36,81
208,36,81
206,36,81
204,36,81
203,36,81
196,36,81
171,36,81
133,36,81
102,36,81
87,36,81
76,36,81
65,36,81
61,36,81
62,36,81
59,36,81
54,36,81
48,36,81
39,36,81
27,36,81
13,36,81
5,36,81
7,36,81
7,36,81
7,36,81
8,36,81
8,36,81
9,36,81
9,36,81
9,36,81
10,36,81
10,36,81
10,36,81
11,36,81
11,36,81
11,36,81
11,36,81
11,36,81
11,36,81
11,36,81
34,36,79
33,36,79
35,36,79
38,36,79
37,36,79
39,36,79
39,36,79
38,36,79
38,36,79
37,36,79
44,36,79
51,36,79
56,36,79
71,36,79
98,36,79
131,36,79
135,36,79
123,36,79
114,36,79
118,36,79
131,36,79
146,36,79
156,36,79
163,36,79
171,36,79
178,36,79
185,36,79
189,36,79
190,36,79
189,36,79
191,36,79
194,36,79
182,36,79
166,36,79
128,36,79
93,36,79
68,36,79
57,36,79
55,36,79
45,36,79
