R,G,B
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
255,252,253
255,252,253
254,252,253
254,252,253
254,252,253
253,252,253
253,252,253
253,252,253
252,252,253
253,252,253
253,252,253
254,252,253
254,252,253
255,252,253
255,252,253
254,252,253
254,252,253
255,252,253
254,252,253
253,252,253
255,252,253
235,252,253
213,252,253
184,252,253
145,252,253
118,252,253
108,252,253
103,252,253
104,252,253
111,252,253
111,252,253
110,252,253
108,252,253
111,252,253
112,252,253
112,252,253
109,252,253
106,252,253
107,252,253
106,252,253
105,252,253
107,252,253
110,252,253
111,252,253
111,252,253
111,252,253
110,252,253
109,252,253
108,252,253
106,252,253
105,252,253
104,252,253
104,252,253
104,252,253
105,252,253
107,252,253
112,252,253
112,252,253
110,252,253
109,252,253
109,252,253
107,252,253
107,252,253
107,252,253
106,252,253
105,252,253
105,252,253
106,252,253
106,252,253
107,252,253
109,252,253
110,252,253
109,252,253
109,252,253
109,252,253
107,252,253
105,252,253
103,252,253
104,252,253
105,252,253
106,252,253
108,252,253
110,252,253
111,252,253
112,252,253
113,252,253
114,252,253
115,252,253
117,252,253
117,252,253
117,252,253
116,252,253
116,252,253
117,252,253
114,252,253
111,252,253
109,252,253
109,252,253
110,252,253
109,252,253
109,252,253
110,252,253
110,252,253
109,252,253
108,252,253
106,252,253
105,252,253
105,252,253
105,252,253
106,252,253
107,252,253
108,252,253
106,252,253
105,252,253
105,252,253
106,252,253
106,252,253
109,252,253
110,252,253
112,252,253
113,252,253
113,252,253
112,252,253
111,252,253
110,252,253
109,252,253
109,252,253
110,252,253
112,252,253
113,252,253
114,252,253
114,252,253
114,252,253
109,252,253
106,252,253
107,252,253
111,252,253
118,252,253
125,252,253
127,252,253
123,252,253
119,252,253
115,252,253
110,252,253
108,252,253
108,252,253
111,252,253
113,252,253
115,252,253
112,252,253
112,252,253
113,252,253
113,252,253
110,252,253
106,252,253
100,252,253
97,252,253
90,252,253
88,252,253
85,252,253
82,252,253
80,252,253
78,252,253
73,252,253
70,252,253
70,252,253
70,252,253
71,252,253
73,252,253
73,252,253
71,252,253
69,252,253
67,252,253
66,252,253
66,252,253
65,252,253
65,252,253
66,252,253
68,252,253
70,252,253
71,252,253
71,252,253
71,252,253
70,252,253
71,252,253
71,252,253
72,252,253
71,252,253
70,252,253
74,252,253
78,252,253
82,252,253
90,252,253
98,252,253
103,252,253
108,252,253
115,252,253
117,252,253
121,252,253
124,252,253
127,252,253
132,252,253
138,252,253
156,252,253
178,252,253
193,252,253
194,252,253
197,252,253
201,252,253
204,252,253
205,252,253
207,252,253
208,252,253
210,252,253
210,252,253
211,252,253
211,252,253
212,252,253
214,252,253
215,252,253
216,252,253
217,252,253
220,252,253
220,252,253
222,252,253
221,252,253
211,252,253
201,252,253
201,252,253
206,252,253
206,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
255,252,253
255,252,253
254,252,253
254,252,253
254,252,253
253,252,253
253,252,253
253,252,253
253,252,253
253,252,253
253,252,253
254,252,253
255,252,253
255,252,253
255,252,253
254,252,253
253,252,253
255,252,253
253,252,253
252,252,253
252,252,253
233,252,253
209,252,253
180,252,253
142,252,253
116,252,253
107,252,253
103,252,253
104,252,253
111,252,253
110,252,253
109,252,253
107,252,253
111,252,253
113,252,253
113,252,253
110,252,253
107,252,253
108,252,253
107,252,253
106,252,253
107,252,253
109,252,253
110,252,253
110,252,253
110,252,253
109,252,253
109,252,253
107,252,253
106,252,253
105,252,253
104,252,253
104,252,253
105,252,253
106,252,253
108,252,253
112,252,253
111,252,253
109,252,253
108,252,253
109,252,253
108,252,253
108,252,253
107,252,253
106,252,253
105,252,253
105,252,253
105,252,253
106,252,253
107,252,253
109,252,253
110,252,253
110,252,253
109,252,253
109,252,253
108,252,253
106,252,253
104,252,253
105,252,253
105,252,253
106,252,253
108,252,253
109,252,253
111,252,253
111,252,253
113,252,253
114,252,253
115,252,253
116,252,253
117,252,253
117,252,253
116,252,253
116,252,253
117,252,253
114,252,253
111,252,253
109,252,253
109,252,253
110,252,253
109,252,253
108,252,253
110,252,253
110,252,253
109,252,253
107,252,253
106,252,253
105,252,253
105,252,253
105,252,253
104,252,253
106,252,253
107,252,253
106,252,253
106,252,253
106,252,253
106,252,253
106,252,253
108,252,253
108,252,253
110,252,253
111,252,253
111,252,253
110,252,253
109,252,253
108,252,253
109,252,253
109,252,253
110,252,253
112,252,253
113,252,253
114,252,253
113,252,253
112,252,253
108,252,253
106,252,253
108,252,253
113,252,253
119,252,253
127,252,253
129,252,253
125,252,253
121,252,253
116,252,253
111,252,253
109,252,253
109,252,253
111,252,253
114,252,253
116,252,253
116,252,253
117,252,253
116,252,253
116,252,253
112,252,253
108,252,253
102,252,253
98,252,253
91,252,253
89,252,253
86,252,253
83,252,253
81,252,253
78,252,253
73,252,253
70,252,253
69,252,253
69,252,253
70,252,253
71,252,253
72,252,253
71,252,253
69,252,253
68,252,253
66,252,253
66,252,253
66,252,253
66,252,253
67,252,253
69,252,253
70,252,253
71,252,253
71,252,253
71,252,253
70,252,253
70,252,253
69,252,253
70,252,253
69,252,253
68,252,253
74,252,253
77,252,253
81,252,253
89,252,253
96,252,253
100,252,253
105,252,253
111,252,253
114,252,253
119,252,253
125,252,253
130,252,253
136,252,253
143,252,253
162,252,253
184,252,253
195,252,253
197,252,253
198,252,253
201,252,253
204,252,253
206,252,253
209,252,253
211,252,253
210,252,253
210,252,253
211,252,253
212,252,253
214,252,253
215,252,253
216,252,253
217,252,253
219,252,253
218,252,253
217,252,253
218,252,253
216,252,253
206,252,253
198,252,253
200,252,253
204,252,253
204,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
255,252,253
255,252,253
254,252,253
254,252,253
253,252,253
253,252,253
253,252,253
253,252,253
253,252,253
253,252,253
254,252,253
254,252,253
255,252,253
255,252,253
255,252,253
253,252,253
252,252,253
254,252,253
252,252,253
251,252,253
250,252,253
229,252,253
201,252,253
172,252,253
137,252,253
114,252,253
106,252,253
103,252,253
104,252,253
110,252,253
108,252,253
106,252,253
107,252,253
112,252,253
114,252,253
114,252,253
111,252,253
108,252,253
109,252,253
109,252,253
108,252,253
107,252,253
108,252,253
109,252,253
110,252,253
109,252,253
108,252,253
108,252,253
107,252,253
106,252,253
105,252,253
105,252,253
105,252,253
106,252,253
106,252,253
108,252,253
111,252,253
111,252,253
108,252,253
108,252,253
109,252,253
109,252,253
109,252,253
108,252,253
107,252,253
106,252,253
105,252,253
106,252,253
106,252,253
108,252,253
110,252,253
111,252,253
111,252,253
111,252,253
111,252,253
110,252,253
108,252,253
107,252,253
107,252,253
107,252,253
108,252,253
109,252,253
110,252,253
111,252,253
112,252,253
113,252,253
114,252,253
115,252,253
116,252,253
117,252,253
117,252,253
116,252,253
116,252,253
117,252,253
114,252,253
112,252,253
110,252,253
110,252,253
109,252,253
109,252,253
108,252,253
109,252,253
109,252,253
108,252,253
107,252,253
105,252,253
104,252,253
104,252,253
105,252,253
103,252,253
106,252,253
107,252,253
107,252,253
107,252,253
107,252,253
106,252,253
105,252,253
106,252,253
107,252,253
107,252,253
108,252,253
108,252,253
108,252,253
108,252,253
107,252,253
108,252,253
109,252,253
110,252,253
112,252,253
113,252,253
113,252,253
111,252,253
110,252,253
107,252,253
106,252,253
109,252,253
115,252,253
122,252,253
130,252,253
132,252,253
128,252,253
125,252,253
119,252,253
113,252,253
110,252,253
111,252,253
113,252,253
116,252,253
120,252,253
122,252,253
123,252,253
122,252,253
120,252,253
117,252,253
109,252,253
103,252,253
98,252,253
91,252,253
89,252,253
87,252,253
84,252,253
82,252,253
79,252,253
74,252,253
71,252,253
70,252,253
69,252,253
70,252,253
71,252,253
71,252,253
71,252,253
70,252,253
70,252,253
66,252,253
66,252,253
67,252,253
68,252,253
69,252,253
71,252,253
72,252,253
72,252,253
72,252,253
71,252,253
70,252,253
70,252,253
68,252,253
68,252,253
67,252,253
66,252,253
72,252,253
75,252,253
78,252,253
85,252,253
92,252,253
95,252,253
97,252,253
102,252,253
104,252,253
112,252,253
121,252,253
128,252,253
137,252,253
147,252,253
165,252,253
186,252,253
197,252,253
198,252,253
201,252,253
202,252,253
205,252,253
209,252,253
211,252,253
212,252,253
211,252,253
211,252,253
212,252,253
213,252,253
215,252,253
216,252,253
218,252,253
219,252,253
220,252,253
215,252,253
210,252,253
211,252,253
210,252,253
201,252,253
195,252,253
199,252,253
203,252,253
203,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
253,252,253
253,252,253
253,252,253
253,252,253
253,252,253
254,252,253
254,252,253
255,252,253
255,252,253
255,252,253
255,252,253
254,252,253
251,252,253
251,252,253
250,252,253
250,252,253
251,252,253
224,252,253
192,252,253
163,252,253
132,252,253
111,252,253
104,252,253
102,252,253
102,252,253
106,252,253
105,252,253
104,252,253
107,252,253
111,252,253
115,252,253
113,252,253
109,252,253
109,252,253
111,252,253
111,252,253
109,252,253
107,252,253
107,252,253
108,252,253
109,252,253
108,252,253
108,252,253
107,252,253
106,252,253
105,252,253
105,252,253
104,252,253
104,252,253
105,252,253
106,252,253
107,252,253
110,252,253
110,252,253
108,252,253
108,252,253
109,252,253
108,252,253
108,252,253
108,252,253
106,252,253
105,252,253
105,252,253
105,252,253
105,252,253
108,252,253
110,252,253
111,252,253
111,252,253
111,252,253
112,252,253
111,252,253
109,252,253
110,252,253
109,252,253
109,252,253
109,252,253
110,252,253
111,252,253
112,252,253
112,252,253
113,252,253
113,252,253
114,252,253
115,252,253
116,252,253
116,252,253
116,252,253
116,252,253
116,252,253
114,252,253
112,252,253
111,252,253
110,252,253
109,252,253
108,252,253
108,252,253
108,252,253
108,252,253
107,252,253
106,252,253
104,252,253
103,252,253
103,252,253
104,252,253
104,252,253
106,252,253
108,252,253
108,252,253
108,252,253
108,252,253
106,252,253
104,252,253
104,252,253
104,252,253
105,252,253
105,252,253
106,252,253
106,252,253
107,252,253
108,252,253
107,252,253
108,252,253
110,252,253
113,252,253
114,252,253
114,252,253
111,252,253
109,252,253
107,252,253
106,252,253
110,252,253
118,252,253
125,252,253
133,252,253
136,252,253
132,252,253
128,252,253
121,252,253
115,252,253
113,252,253
114,252,253
116,252,253
121,252,253
125,252,253
128,252,253
129,252,253
129,252,253
126,252,253
121,252,253
112,252,253
104,252,253
97,252,253
92,252,253
88,252,253
87,252,253
85,252,253
83,252,253
81,252,253
76,252,253
73,252,253
72,252,253
70,252,253
71,252,253
71,252,253
71,252,253
71,252,253
71,252,253
70,252,253
67,252,253
67,252,253
69,252,253
70,252,253
72,252,253
73,252,253
73,252,253
72,252,253
72,252,253
72,252,253
70,252,253
69,252,253
67,252,253
66,252,253
65,252,253
65,252,253
68,252,253
71,252,253
74,252,253
81,252,253
88,252,253
89,252,253
89,252,253
92,252,253
95,252,253
106,252,253
117,252,253
129,252,253
143,252,253
156,252,253
172,252,253
188,252,253
199,252,253
201,252,253
203,252,253
205,252,253
207,252,253
209,252,253
210,252,253
211,252,253
211,252,253
212,252,253
213,252,253
215,252,253
217,252,253
218,252,253
222,252,253
223,252,253
218,252,253
209,252,253
203,252,253
205,252,253
203,252,253
195,252,253
192,252,253
196,252,253
201,252,253
201,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
254,252,253
253,252,253
253,252,253
253,252,253
253,252,253
253,252,253
254,252,253
254,252,253
255,252,253
255,252,253
255,252,253
255,252,253
255,252,253
255,252,253
251,252,253
249,252,253
248,252,253
249,252,253
251,252,253
223,252,253
186,252,253
156,252,253
129,252,253
109,252,253
103,252,253
101,252,253
100,252,253
102,252,253
102,252,253
103,252,253
107,252,253
112,252,253
116,252,253
112,252,253
108,252,253
110,252,253
112,252,253
113,252,253
110,252,253
107,252,253
107,252,253
108,252,253
108,252,253
108,252,253
107,252,253
107,252,253
106,252,253
105,252,253
104,252,253
103,252,253
103,252,253
104,252,253
105,252,253
106,252,253
110,252,253
109,252,253
108,252,253
108,252,253
109,252,253
109,252,253
109,252,253
109,252,253
108,252,253
107,252,253
106,252,253
106,252,253
107,252,253
109,252,253
111,252,253
113,252,253
113,252,253
114,252,253
114,252,253
114,252,253
112,252,253
110,252,253
109,252,253
109,252,253
109,252,253
109,252,253
110,252,253
111,252,253
111,252,253
112,252,253
112,252,253
113,252,253
113,252,253
114,252,253
114,252,253
114,252,253
114,252,253
115,252,253
113,252,253
112,252,253
111,252,253
110,252,253
109,252,253
108,252,253
107,252,253
107,252,253
107,252,253
106,252,253
105,252,253
103,252,253
103,252,253
103,252,253
103,252,253
105,252,253
107,252,253
109,252,253
