R,G,B
1,1,3
0,1,3
73,1,3
130,1,3
128,1,3
129,1,3
130,1,3
130,1,3
131,1,3
131,1,3
131,1,3
132,1,3
132,1,3
132,1,3
131,1,3
131,1,3
131,1,3
131,1,3
132,1,3
133,1,3
134,1,3
135,1,3
136,1,3
136,1,3
137,1,3
138,1,3
137,1,3
138,1,3
138,1,3
139,1,3
139,1,3
139,1,3
141,1,3
141,1,3
141,1,3
140,1,3
141,1,3
141,1,3
142,1,3
143,1,3
143,1,3
145,1,3
147,1,3
147,1,3
150,1,3
152,1,3
152,1,3
152,1,3
153,1,3
155,1,3
157,1,3
158,1,3
159,1,3
160,1,3
161,1,3
162,1,3
162,1,3
163,1,3
163,1,3
164,1,3
164,1,3
164,1,3
164,1,3
164,1,3
166,1,3
166,1,3
167,1,3
168,1,3
169,1,3
171,1,3
171,1,3
172,1,3
173,1,3
174,1,3
175,1,3
174,1,3
172,1,3
170,1,3
170,1,3
170,1,3
170,1,3
170,1,3
169,1,3
168,1,3
167,1,3
168,1,3
169,1,3
170,1,3
170,1,3
175,1,3
180,1,3
184,1,3
186,1,3
187,1,3
190,1,3
193,1,3
192,1,3
192,1,3
193,1,3
195,1,3
197,1,3
199,1,3
199,1,3
196,1,3
197,1,3
197,1,3
200,1,3
200,1,3
198,1,3
196,1,3
195,1,3
196,1,3
195,1,3
189,1,3
178,1,3
170,1,3
175,1,3
184,1,3
198,1,3
212,1,3
223,1,3
225,1,3
225,1,3
224,1,3
224,1,3
226,1,3
223,1,3
219,1,3
213,1,3
201,1,3
192,1,3
181,1,3
180,1,3
191,1,3
202,1,3
217,1,3
226,1,3
224,1,3
220,1,3
220,1,3
222,1,3
223,1,3
224,1,3
223,1,3
223,1,3
216,1,3
210,1,3
208,1,3
206,1,3
205,1,3
202,1,3
199,1,3
198,1,3
196,1,3
194,1,3
190,1,3
187,1,3
184,1,3
180,1,3
179,1,3
176,1,3
176,1,3
175,1,3
174,1,3
171,1,3
169,1,3
166,1,3
165,1,3
159,1,3
157,1,3
155,1,3
154,1,3
151,1,3
151,1,3
152,1,3
153,1,3
