R,G,B
58,14,1
56,14,1
55,14,1
54,14,1
55,14,1
56,14,1
57,14,1
58,14,1
59,14,1
59,14,1
59,14,1
59,14,1
59,14,1
61,14,1
62,14,1
63,14,1
62,14,1
62,14,1
62,14,1
61,14,1
61,14,1
62,14,1
62,14,1
62,14,1
63,14,1
64,14,1
65,14,1
64,14,1
63,14,1
62,14,1
64,14,1
65,14,1
66,14,1
66,14,1
67,14,1
68,14,1
66,14,1
66,14,1
65,14,1
64,14,1
61,14,1
60,14,1
58,14,1
58,14,1
59,14,1
58,14,1
59,14,1
59,14,1
59,14,1
56,14,1
54,14,1
55,14,1
56,14,1
57,14,1
56,14,1
55,14,1
52,14,1
50,14,1
48,14,1
48,14,1
47,14,1
42,14,1
40,14,1
39,14,1
45,14,1
45,14,1
44,14,1
44,14,1
45,14,1
45,14,1
45,14,1
45,14,1
47,14,1
49,14,1
50,14,1
51,14,1
51,14,1
51,14,1
51,14,1
52,14,1
53,14,1
54,14,1
55,14,1
57,14,1
57,14,1
59,14,1
60,14,1
60,14,1
61,14,1
62,14,1
64,14,1
67,14,1
68,14,1
71,14,1
73,14,1
74,14,1
74,14,1
78,14,1
83,14,1
88,14,1
90,14,1
92,14,1
94,14,1
96,14,1
102,14,1
104,14,1
105,14,1
107,14,1
109,14,1
114,14,1
122,14,1
128,14,1
126,14,1
128,14,1
130,14,1
133,14,1
134,14,1
137,14,1
139,14,1
140,14,1
142,14,1
141,14,1
139,14,1
140,14,1
142,14,1
145,14,1
146,14,1
147,14,1
148,14,1
150,14,1
152,14,1
153,14,1
152,14,1
152,14,1
152,14,1
151,14,1
151,14,1
152,14,1
154,14,1
155,14,1
155,14,1
156,14,1
157,14,1
158,14,1
154,14,1
154,14,1
154,14,1
155,14,1
155,14,1
154,14,1
153,14,1
152,14,1
150,14,1
150,14,1
150,14,1
150,14,1
151,14,1
152,14,1
151,14,1
152,14,1
152,14,1
152,14,1
152,14,1
151,14,1
150,14,1
148,14,1
148,14,1
148,14,1
152,14,1
153,14,1
153,14,1
154,14,1
153,14,1
152,14,1
151,14,1
150,14,1
152,14,1
152,14,1
153,14,1
151,14,1
151,14,1
151,14,1
152,14,1
152,14,1
152,14,1
152,14,1
153,14,1
153,14,1
153,14,1
153,14,1
152,14,1
152,14,1
148,14,1
148,14,1
149,14,1
149,14,1
150,14,1
151,14,1
150,14,1
151,14,1
151,14,1
151,14,1
151,14,1
151,14,1
151,14,1
152,14,1
152,14,1
152,14,1
148,14,1
149,14,1
149,14,1
150,14,1
150,14,1
150,14,1
150,14,1
150,14,1
149,14,1
152,14,1
152,14,1
152,14,1
152,14,1
152,14,1
151,14,1
151,14,1
151,14,1
151,14,1
150,14,1
148,14,1
147,14,1
147,14,1
147,14,1
148,14,1
145,14,1
146,14,1
144,14,1
142,14,1
136,14,1
127,14,1
133,14,1
151,14,1
180,14,1
195,14,1
201,14,1
195,14,1
199,14,1
206,14,1
206,14,1
202,14,1
197,14,1
197,14,1
58,13,0
57,13,0
56,13,0
55,13,0
55,13,0
56,13,0
57,13,0
58,13,0
59,13,0
58,13,0
58,13,0
58,13,0
59,13,0
60,13,0
61,13,0
62,13,0
60,13,0
59,13,0
59,13,0
59,13,0
59,13,0
59,13,0
60,13,0
60,13,0
61,13,0
62,13,0
62,13,0
62,13,0
60,13,0
59,13,0
60,13,0
61,13,0
63,13,0
64,13,0
64,13,0
65,13,0
63,13,0
63,13,0
63,13,0
62,13,0
61,13,0
60,13,0
58,13,0
58,13,0
59,13,0
61,13,0
62,13,0
62,13,0
59,13,0
58,13,0
57,13,0
58,13,0
59,13,0
58,13,0
57,13,0
56,13,0
54,13,0
53,13,0
53,13,0
53,13,0
51,13,0
48,13,0
46,13,0
46,13,0
49,13,0
48,13,0
48,13,0
47,13,0
47,13,0
46,13,0
46,13,0
46,13,0
46,13,0
48,13,0
50,13,0
51,13,0
51,13,0
51,13,0
50,13,0
50,13,0
50,13,0
51,13,0
52,13,0
53,13,0
54,13,0
53,13,0
53,13,0
52,13,0
54,13,0
53,13,0
54,13,0
56,13,0
58,13,0
60,13,0
61,13,0
61,13,0
61,13,0
63,13,0
63,13,0
63,13,0
64,13,0
66,13,0
71,13,0
73,13,0
75,13,0
77,13,0
79,13,0
79,13,0
81,13,0
85,13,0
90,13,0
94,13,0
95,13,0
96,13,0
99,13,0
103,13,0
107,13,0
110,13,0
111,13,0
113,13,0
113,13,0
115,13,0
118,13,0
121,13,0
121,13,0
124,13,0
127,13,0
130,13,0
131,13,0
133,13,0
136,13,0
136,13,0
138,13,0
140,13,0
140,13,0
141,13,0
143,13,0
144,13,0
146,13,0
149,13,0
150,13,0
151,13,0
152,13,0
153,13,0
153,13,0
153,13,0
153,13,0
154,13,0
156,13,0
156,13,0
155,13,0
154,13,0
153,13,0
154,13,0
153,13,0
154,13,0
154,13,0
153,13,0
152,13,0
152,13,0
153,13,0
153,13,0
153,13,0
152,13,0
151,13,0
150,13,0
150,13,0
151,13,0
151,13,0
152,13,0
152,13,0
153,13,0
153,13,0
152,13,0
151,13,0
150,13,0
148,13,0
149,13,0
149,13,0
149,13,0
147,13,0
146,13,0
147,13,0
147,13,0
147,13,0
147,13,0
147,13,0
147,13,0
148,13,0
150,13,0
150,13,0
151,13,0
151,13,0
151,13,0
151,13,0
152,13,0
152,13,0
151,13,0
151,13,0
151,13,0
151,13,0
151,13,0
151,13,0
151,13,0
151,13,0
150,13,0
150,13,0
149,13,0
151,13,0
151,13,0
151,13,0
151,13,0
151,13,0
151,13,0
152,13,0
152,13,0
151,13,0
151,13,0
152,13,0
152,13,0
152,13,0
152,13,0
152,13,0
151,13,0
150,13,0
150,13,0
149,13,0
147,13,0
146,13,0
145,13,0
146,13,0
147,13,0
144,13,0
143,13,0
142,13,0
143,13,0
138,13,0
130,13,0
137,13,0
157,13,0
183,13,0
194,13,0
199,13,0
197,13,0
203,13,0
209,13,0
206,13,0
201,13,0
199,13,0
199,13,0
58,14,0
57,14,0
56,14,0
55,14,0
55,14,0
55,14,0
56,14,0
57,14,0
58,14,0
58,14,0
58,14,0
57,14,0
58,14,0
59,14,0
60,14,0
61,14,0
58,14,0
58,14,0
