R,G,B
0,4,0
0,4,0
1,4,0
0,4,0
0,4,0
0,4,0
0,4,0
4,4,0
8,4,0
11,4,0
1,4,0
0,4,0
0,4,0
0,4,0
1,4,0
9,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
1,4,0
1,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
5,4,0
5,4,0
5,4,0
5,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
3,4,0
3,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
2,4,0
2,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
5,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
5,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
5,4,0
5,4,0
5,4,0
5,4,0
5,4,0
4,4,0
5,4,0
5,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
1,4,0
1,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
