R,G,B
1,1,0
2,1,0
51,1,0
136,1,0
139,1,0
140,1,0
142,1,0
140,1,0
141,1,0
139,1,0
134,1,0
128,1,0
131,1,0
145,1,0
151,1,0
146,1,0
137,1,0
139,1,0
141,1,0
144,1,0
145,1,0
146,1,0
149,1,0
151,1,0
148,1,0
143,1,0
137,1,0
136,1,0
138,1,0
142,1,0
144,1,0
146,1,0
145,1,0
145,1,0
146,1,0
149,1,0
147,1,0
145,1,0
150,1,0
157,1,0
154,1,0
151,1,0
149,1,0
149,1,0
145,1,0
139,1,0
138,1,0
142,1,0
147,1,0
151,1,0
154,1,0
153,1,0
148,1,0
144,1,0
144,1,0
146,1,0
138,1,0
145,1,0
151,1,0
151,1,0
150,1,0
155,1,0
159,1,0
157,1,0
151,1,0
150,1,0
148,1,0
152,1,0
162,1,0
165,1,0
151,1,0
132,1,0
149,1,0
157,1,0
154,1,0
147,1,0
149,1,0
148,1,0
148,1,0
156,1,0
161,1,0
159,1,0
154,1,0
144,1,0
136,1,0
139,1,0
153,1,0
166,1,0
165,1,0
165,1,0
155,1,0
155,1,0
143,1,0
132,1,0
120,1,0
127,1,0
138,1,0
136,1,0
137,1,0
143,1,0
146,1,0
145,1,0
145,1,0
146,1,0
145,1,0
144,1,0
142,1,0
139,1,0
135,1,0
133,1,0
131,1,0
130,1,0
129,1,0
131,1,0
137,1,0
143,1,0
146,1,0
143,1,0
140,1,0
139,1,0
140,1,0
141,1,0
141,1,0
138,1,0
133,1,0
133,1,0
132,1,0
128,1,0
130,1,0
137,1,0
141,1,0
137,1,0
131,1,0
133,1,0
135,1,0
130,1,0
128,1,0
121,1,0
124,1,0
133,1,0
137,1,0
141,1,0
141,1,0
134,1,0
128,1,0
131,1,0
137,1,0
138,1,0
132,1,0
125,1,0
126,1,0
132,1,0
126,1,0
132,1,0
135,1,0
131,1,0
122,1,0
118,1,0
119,1,0
119,1,0
118,1,0
124,1,0
127,1,0
128,1,0
125,1,0
119,1,0
132,1,0
105,1,0
62,1,0
24,1,0
9,1,0
15,1,0
22,1,0
23,1,0
21,1,0
22,1,0
20,1,0
20,1,0
20,1,0
19,1,0
19,1,0
19,1,0
19,1,0
18,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
18,1,0
18,1,0
18,1,0
18,1,0
16,1,0
16,1,0
18,1,0
19,1,0
18,1,0
18,1,0
18,1,0
14,1,0
16,1,0
