R,G,B
226,193,139
223,193,139
219,193,139
219,193,139
217,193,139
218,193,139
223,193,139
228,193,139
240,193,139
248,193,139
251,193,139
250,193,139
247,193,139
245,193,139
241,193,139
239,193,139
224,193,139
226,193,139
230,193,139
234,193,139
238,193,139
240,193,139
241,193,139
242,193,139
243,193,139
241,193,139
241,193,139
242,193,139
241,193,139
241,193,139
241,193,139
240,193,139
240,193,139
240,193,139
242,193,139
242,193,139
242,193,139
242,193,139
240,193,139
240,193,139
237,193,139
239,193,139
241,193,139
241,193,139
240,193,139
237,193,139
231,193,139
225,193,139
212,193,139
208,193,139
203,193,139
197,193,139
189,193,139
186,193,139
188,193,139
194,193,139
194,193,139
194,193,139
188,193,139
186,193,139
184,193,139
175,193,139
169,193,139
174,193,139
182,193,139
178,193,139
174,193,139
177,193,139
174,193,139
166,193,139
158,193,139
155,193,139
165,193,139
171,193,139
174,193,139
172,193,139
170,193,139
169,193,139
170,193,139
174,193,139
180,193,139
178,193,139
176,193,139
175,193,139
173,193,139
173,193,139
173,193,139
168,193,139
167,193,139
167,193,139
166,193,139
165,193,139
157,193,139
151,193,139
148,193,139
149,193,139
156,193,139
158,193,139
159,193,139
159,193,139
156,193,139
156,193,139
156,193,139
158,193,139
155,193,139
153,193,139
151,193,139
150,193,139
151,193,139
149,193,139
144,193,139
141,193,139
138,193,139
137,193,139
136,193,139
132,193,139
125,193,139
120,193,139
116,193,139
117,193,139
120,193,139
123,193,139
127,193,139
126,193,139
124,193,139
120,193,139
115,193,139
110,193,139
113,193,139
109,193,139
106,193,139
106,193,139
110,193,139
114,193,139
115,193,139
115,193,139
113,193,139
112,193,139
112,193,139
109,193,139
109,193,139
109,193,139
110,193,139
111,193,139
101,193,139
99,193,139
96,193,139
92,193,139
91,193,139
94,193,139
96,193,139
91,193,139
86,193,139
91,193,139
89,193,139
83,193,139
82,193,139
76,193,139
71,193,139
72,193,139
65,193,139
61,193,139
55,193,139
57,193,139
74,193,139
99,193,139
131,193,139
160,193,139
183,193,139
194,193,139
204,193,139
207,193,139
209,193,139
209,193,139
210,193,139
211,193,139
212,193,139
214,193,139
218,193,139
219,193,139
221,193,139
221,193,139
220,193,139
219,193,139
223,193,139
222,193,139
224,193,139
228,193,139
229,193,139
229,193,139
228,193,139
231,193,139
238,193,139
237,193,139
236,193,139
236,193,139
236,193,139
236,193,139
235,193,139
235,193,139
239,193,139
237,193,139
236,193,139
236,193,139
236,193,139
237,193,139
237,193,139
237,193,139
240,193,139
240,193,139
239,193,139
239,193,139
234,193,139
219,193,139
197,193,139
178,193,139
184,193,139
200,193,139
201,193,139
197,193,139
210,193,139
225,193,139
235,193,139
245,193,139
246,193,139
240,193,139
233,193,139
218,193,139
188,193,139
118,193,139
71,193,139
45,193,139
41,193,139
45,193,139
51,193,139
61,193,139
68,193,139
62,193,139
64,193,139
82,193,139
111,193,139
129,193,139
112,193,139
85,193,139
80,193,139
74,193,139
74,193,139
92,193,139
101,193,139
102,193,139
223,189,119
219,189,119
216,189,119
216,189,119
217,189,119
221,189,119
228,189,119
233,189,119
245,189,119
251,189,119
252,189,119
248,189,119
246,189,119
241,189,119
237,189,119
235,189,119
226,189,119
228,189,119
232,189,119
236,189,119
239,189,119
241,189,119
242,189,119
243,189,119
243,189,119
243,189,119
241,189,119
242,189,119
241,189,119
241,189,119
241,189,119
240,189,119
240,189,119
240,189,119
242,189,119
242,189,119
242,189,119
242,189,119
242,189,119
240,189,119
241,189,119
243,189,119
243,189,119
245,189,119
243,189,119
238,189,119
232,189,119
226,189,119
214,189,119
209,189,119
202,189,119
199,189,119
200,189,119
199,189,119
197,189,119
198,189,119
195,189,119
196,189,119
191,189,119
187,189,119
184,189,119
175,189,119
170,189,119
173,189,119
181,189,119
176,189,119
171,189,119
172,189,119
170,189,119
161,189,119
155,189,119
152,189,119
166,189,119
175,189,119
179,189,119
174,189,119
171,189,119
170,189,119
171,189,119
174,189,119
177,189,119
175,189,119
175,189,119
174,189,119
172,189,119
172,189,119
172,189,119
169,189,119
167,189,119
168,189,119
168,189,119
166,189,119
157,189,119
151,189,119
149,189,119
150,189,119
156,189,119
159,189,119
161,189,119
160,189,119
159,189,119
156,189,119
155,189,119
156,189,119
154,189,119
151,189,119
149,189,119
148,189,119
148,189,119
146,189,119
143,189,119
139,189,119
137,189,119
133,189,119
130,189,119
128,189,119
124,189,119
120,189,119
117,189,119
115,189,119
121,189,119
125,189,119
127,189,119
128,189,119
126,189,119
124,189,119
120,189,119
117,189,119
117,189,119
113,189,119
110,189,119
111,189,119
114,189,119
116,189,119
117,189,119
116,189,119
113,189,119
113,189,119
112,189,119
111,189,119
109,189,119
109,189,119
110,189,119
110,189,119
104,189,119
102,189,119
101,189,119
99,189,119
96,189,119
96,189,119
93,189,119
88,189,119
92,189,119
93,189,119
90,189,119
84,189,119
80,189,119
75,189,119
72,189,119
72,189,119
72,189,119
70,189,119
66,189,119
63,189,119
66,189,119
74,189,119
91,189,119
109,189,119
134,189,119
154,189,119
177,189,119
192,189,119
204,189,119
207,189,119
209,189,119
213,189,119
212,189,119
213,189,119
216,189,119
217,189,119
215,189,119
218,189,119
222,189,119
224,189,119
227,189,119
228,189,119
229,189,119
229,189,119
228,189,119
228,189,119
227,189,119
227,189,119
236,189,119
236,189,119
234,189,119
235,189,119
235,189,119
235,189,119
234,189,119
234,189,119
233,189,119
233,189,119
235,189,119
236,189,119
237,189,119
238,189,119
237,189,119
236,189,119
241,189,119
240,189,119
238,189,119
237,189,119
232,189,119
217,189,119
195,189,119
177,189,119
188,189,119
199,189,119
199,189,119
198,189,119
213,189,119
227,189,119
235,189,119
245,189,119
244,189,119
239,189,119
231,189,119
216,189,119
182,189,119
114,189,119
71,189,119
53,189,119
47,189,119
48,189,119
48,189,119
56,189,119
68,189,119
66,189,119
72,189,119
94,189,119
121,189,119
117,189,119
100,189,119
83,189,119
83,189,119
89,189,119
90,189,119
95,189,119
96,189,119
97,189,119
220,187,96
217,187,96
214,187,96
214,187,96
219,187,96
227,187,96
235,187,96
243,187,96
251,187,96
253,187,96
252,187,96
246,187,96
242,187,96
237,187,96
231,187,96
230,187,96
229,187,96
232,187,96
235,187,96
238,187,96
240,187,96
241,187,96
243,187,96
244,187,96
243,187,96
243,187,96
243,187,96
242,187,96
241,187,96
241,187,96
241,187,96
240,187,96
240,187,96
242,187,96
242,187,96
243,187,96
243,187,96
243,187,96
242,187,96
242,187,96
241,187,96
242,187,96
245,187,96
245,187,96
245,187,96
241,187,96
231,187,96
225,187,96
219,187,96
212,187,96
207,187,96
207,187,96
209,187,96
208,187,96
205,187,96
202,187,96
201,187,96
200,187,96
196,187,96
192,187,96
186,187,96
179,187,96
174,187,96
176,187,96
179,187,96
173,187,96
170,187,96
169,187,96
166,187,96
159,187,96
153,187,96
152,187,96
163,187,96
175,187,96
179,187,96
174,187,96
170,187,96
169,187,96
171,187,96
172,187,96
171,187,96
172,187,96
173,187,96
172,187,96
168,187,96
168,187,96
169,187,96
165,187,96
166,187,96
167,187,96
167,187,96
164,187,96
156,187,96
151,187,96
150,187,96
153,187,96
152,187,96
154,187,96
157,187,96
156,187,96
154,187,96
153,187,96
152,187,96
153,187,96
154,187,96
151,187,96
148,187,96
148,187,96
146,187,96
144,187,96
142,187,96
139,187,96
137,187,96
130,187,96
125,187,96
124,187,96
125,187,96
120,187,96
117,187,96
117,187,96
124,187,96
127,187,96
129,187,96
129,187,96
129,187,96
127,187,96
125,187,96
122,187,96
122,187,96
121,187,96
118,187,96
118,187,96
119,187,96
120,187,96
119,187,96
117,187,96
119,187,96
119,187,96
117,187,96
117,187,96
114,187,96
114,187,96
114,187,96
112,187,96
107,187,96
106,187,96
109,187,96
109,187,96
104,187,96
99,187,96
95,187,96
91,187,96
96,187,96
97,187,96
94,187,96
87,187,96
83,187,96
79,187,96
78,187,96
80,187,96
76,187,96
79,187,96
78,187,96
73,187,96
68,187,96
64,187,96
68,187,96
77,187,96
96,187,96
110,187,96
131,187,96
149,187,96
163,187,96
173,187,96
185,187,96
197,187,96
204,187,96
207,187,96
212,187,96
215,187,96
215,187,96
215,187,96
213,187,96
214,187,96
216,187,96
220,187,96
223,187,96
224,187,96
225,187,96
229,187,96
230,187,96
230,187,96
230,187,96
231,187,96
232,187,96
233,187,96
231,187,96
231,187,96
231,187,96
231,187,96
