R,G,B
5,6,0
5,6,0
6,6,0
6,6,0
6,6,0
5,6,0
5,6,0
5,6,0
6,6,0
7,6,0
6,6,0
6,6,0
8,6,0
11,6,0
11,6,0
14,6,0
24,6,0
37,6,0
48,6,0
58,6,0
71,6,0
81,6,0
91,6,0
100,6,0
111,6,0
117,6,0
123,6,0
127,6,0
131,6,0
132,6,0
131,6,0
131,6,0
135,6,0
135,6,0
133,6,0
134,6,0
135,6,0
138,6,0
139,6,0
139,6,0
134,6,0
138,6,0
153,6,0
175,6,0
189,6,0
195,6,0
196,6,0
195,6,0
196,6,0
196,6,0
198,6,0
199,6,0
198,6,0
194,6,0
192,6,0
192,6,0
194,6,0
191,6,0
188,6,0
185,6,0
183,6,0
182,6,0
180,6,0
179,6,0
177,6,0
172,6,0
167,6,0
167,6,0
164,6,0
161,6,0
158,6,0
155,6,0
158,6,0
154,6,0
150,6,0
149,6,0
149,6,0
149,6,0
148,6,0
147,6,0
145,6,0
143,6,0
142,6,0
144,6,0
150,6,0
154,6,0
156,6,0
155,6,0
150,6,0
153,6,0
155,6,0
157,6,0
158,6,0
161,6,0
162,6,0
164,6,0
162,6,0
163,6,0
163,6,0
163,6,0
165,6,0
169,6,0
171,6,0
172,6,0
172,6,0
172,6,0
172,6,0
172,6,0
172,6,0
173,6,0
175,6,0
176,6,0
182,6,0
183,6,0
184,6,0
186,6,0
189,6,0
189,6,0
190,6,0
191,6,0
192,6,0
193,6,0
191,6,0
183,6,0
181,6,0
182,6,0
179,6,0
175,6,0
180,6,0
180,6,0
178,6,0
179,6,0
183,6,0
185,6,0
183,6,0
182,6,0
176,6,0
180,6,0
178,6,0
156,6,0
108,6,0
62,6,0
46,6,0
49,6,0
43,6,0
44,6,0
55,6,0
63,6,0
59,6,0
58,6,0
62,6,0
63,6,0
69,6,0
66,6,0
65,6,0
69,6,0
70,6,0
69,6,0
69,6,0
72,6,0
77,6,0
78,6,0
78,6,0
77,6,0
76,6,0
75,6,0
76,6,0
77,6,0
74,6,0
73,6,0
72,6,0
71,6,0
71,6,0
71,6,0
72,6,0
72,6,0
75,6,0
76,6,0
77,6,0
76,6,0
74,6,0
74,6,0
75,6,0
77,6,0
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
74,6,0
73,6,0
73,6,0
73,6,0
74,6,0
75,6,0
76,6,0
76,6,0
76,6,0
74,6,0
74,6,0
73,6,0
74,6,0
74,6,0
73,6,0
74,6,0
77,6,0
79,6,0
78,6,0
80,6,0
80,6,0
80,6,0
80,6,0
81,6,0
82,6,0
84,6,0
84,6,0
85,6,0
84,6,0
83,6,0
82,6,0
82,6,0
81,6,0
81,6,0
81,6,0
75,6,0
71,6,0
65,6,0
57,6,0
51,6,0
43,6,0
37,6,0
32,6,0
24,6,0
20,6,0
15,6,0
12,6,0
6,6,0
5,6,0
5,6,0
2,6,0
0,6,0
0,6,0
1,6,0
6,6,0
8,6,0
11,6,0
14,6,0
17,6,0
21,6,0
23,6,0
5,6,0
5,6,0
5,6,0
6,6,0
6,6,0
5,6,0
5,6,0
6,6,0
7,6,0
8,6,0
7,6,0
7,6,0
9,6,0
12,6,0
12,6,0
14,6,0
24,6,0
37,6,0
48,6,0
58,6,0
69,6,0
81,6,0
91,6,0
100,6,0
110,6,0
117,6,0
123,6,0
127,6,0
131,6,0
132,6,0
131,6,0
132,6,0
134,6,0
135,6,0
134,6,0
136,6,0
136,6,0
138,6,0
137,6,0
137,6,0
136,6,0
137,6,0
150,6,0
170,6,0
185,6,0
192,6,0
195,6,0
195,6,0
196,6,0
197,6,0
198,6,0
199,6,0
198,6,0
194,6,0
192,6,0
192,6,0
193,6,0
190,6,0
188,6,0
187,6,0
186,6,0
184,6,0
183,6,0
182,6,0
176,6,0
172,6,0
168,6,0
168,6,0
166,6,0
164,6,0
163,6,0
161,6,0
159,6,0
156,6,0
152,6,0
150,6,0
149,6,0
146,6,0
143,6,0
140,6,0
139,6,0
137,6,0
135,6,0
138,6,0
142,6,0
146,6,0
148,6,0
148,6,0
150,6,0
152,6,0
154,6,0
157,6,0
157,6,0
159,6,0
161,6,0
164,6,0
164,6,0
165,6,0
167,6,0
168,6,0
170,6,0
173,6,0
175,6,0
175,6,0
176,6,0
176,6,0
176,6,0
176,6,0
176,6,0
177,6,0
179,6,0
180,6,0
184,6,0
184,6,0
185,6,0
186,6,0
189,6,0
190,6,0
189,6,0
189,6,0
187,6,0
188,6,0
189,6,0
185,6,0
183,6,0
183,6,0
182,6,0
178,6,0
171,6,0
179,6,0
186,6,0
189,6,0
185,6,0
179,6,0
176,6,0
177,6,0
182,6,0
184,6,0
177,6,0
146,6,0
97,6,0
56,6,0
43,6,0
45,6,0
43,6,0
42,6,0
51,6,0
58,6,0
56,6,0
57,6,0
64,6,0
66,6,0
70,6,0
67,6,0
66,6,0
68,6,0
69,6,0
68,6,0
69,6,0
71,6,0
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
76,6,0
77,6,0
73,6,0
72,6,0
71,6,0
71,6,0
71,6,0
71,6,0
72,6,0
72,6,0
75,6,0
76,6,0
76,6,0
75,6,0
74,6,0
74,6,0
75,6,0
77,6,0
75,6,0
75,6,0
75,6,0
75,6,0
74,6,0
74,6,0
73,6,0
73,6,0
71,6,0
71,6,0
71,6,0
71,6,0
71,6,0
71,6,0
71,6,0
72,6,0
73,6,0
74,6,0
74,6,0
72,6,0
73,6,0
75,6,0
76,6,0
76,6,0
77,6,0
77,6,0
77,6,0
77,6,0
78,6,0
79,6,0
80,6,0
81,6,0
81,6,0
81,6,0
81,6,0
81,6,0
81,6,0
81,6,0
81,6,0
82,6,0
78,6,0
75,6,0
70,6,0
64,6,0
57,6,0
51,6,0
43,6,0
38,6,0
33,6,0
26,6,0
21,6,0
17,6,0
9,6,0
7,6,0
5,6,0
3,6,0
0,6,0
0,6,0
0,6,0
3,6,0
5,6,0
6,6,0
9,6,0
11,6,0
16,6,0
17,6,0
5,6,1
5,6,1
5,6,1
6,6,1
6,6,1
6,6,1
6,6,1
6,6,1
9,6,1
10,6,1
8,6,1
8,6,1
10,6,1
13,6,1
13,6,1
15,6,1
24,6,1
35,6,1
48,6,1
58,6,1
69,6,1
81,6,1
91,6,1
100,6,1
109,6,1
116,6,1
