R,G,B
125,92,61
112,92,61
90,92,61
63,92,61
43,92,61
28,92,61
21,92,61
20,92,61
21,92,61
21,92,61
23,92,61
25,92,61
25,92,61
22,92,61
21,92,61
19,92,61
21,92,61
21,92,61
22,92,61
23,92,61
25,92,61
29,92,61
31,92,61
31,92,61
30,92,61
27,92,61
26,92,61
29,92,61
34,92,61
37,92,61
39,92,61
41,92,61
42,92,61
41,92,61
40,92,61
40,92,61
40,92,61
42,92,61
43,92,61
46,92,61
47,92,61
51,92,61
54,92,61
59,92,61
61,92,61
62,92,61
70,92,61
83,92,61
108,92,61
128,92,61
143,92,61
151,92,61
155,92,61
155,92,61
145,92,61
136,92,61
141,92,61
145,92,61
150,92,61
156,92,61
166,92,61
172,92,61
169,92,61
164,92,61
165,92,61
165,92,61
172,92,61
175,92,61
176,92,61
180,92,61
177,92,61
161,92,61
137,92,61
106,92,61
74,92,61
56,92,61
52,92,61
51,92,61
47,92,61
39,92,61
33,92,61
35,92,61
38,92,61
36,92,61
33,92,61
30,92,61
31,92,61
33,92,61
39,92,61
36,92,61
34,92,61
36,92,61
42,92,61
46,92,61
43,92,61
43,92,61
44,92,61
46,92,61
45,92,61
42,92,61
36,92,61
31,92,61
26,92,61
23,92,61
18,92,61
14,92,61
12,92,61
11,92,61
14,92,61
15,92,61
15,92,61
13,92,61
9,92,61
12,92,61
17,92,61
18,92,61
16,92,61
15,92,61
14,92,61
15,92,61
16,92,61
18,92,61
21,92,61
20,92,61
20,92,61
20,92,61
21,92,61
23,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
21,92,61
22,92,61
22,92,61
22,92,61
21,92,61
21,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
22,92,61
21,92,61
21,92,61
20,92,61
20,92,61
20,92,61
20,92,61
20,92,61
20,92,61
20,92,61
20,92,61
19,92,61
19,92,61
20,92,61
21,92,61
21,92,61
21,92,61
22,92,61
22,92,61
22,92,61
21,92,61
20,92,61
20,92,61
20,92,61
20,92,61
20,92,61
21,92,61
22,92,61
23,92,61
23,92,61
22,92,61
23,92,61
25,92,61
27,92,61
27,92,61
28,92,61
30,92,61
30,92,61
28,92,61
24,92,61
21,92,61
17,92,61
16,92,61
17,92,61
19,92,61
20,92,61
19,92,61
20,92,61
20,92,61
21,92,61
22,92,61
23,92,61
23,92,61
23,92,61
23,92,61
23,92,61
25,92,61
26,92,61
27,92,61
27,92,61
26,92,61
26,92,61
26,92,61
31,92,61
31,92,61
30,92,61
29,92,61
29,92,61
29,92,61
30,92,61
31,92,61
33,92,61
33,92,61
34,92,61
34,92,61
33,92,61
32,92,61
31,92,61
31,92,61
32,92,61
32,92,61
32,92,61
31,92,61
31,92,61
30,92,61
30,92,61
30,92,61
30,92,61
31,92,61
30,92,61
29,92,61
27,92,61
26,92,61
26,92,61
26,92,61
26,92,61
26,92,61
129,86,55
117,86,55
97,86,55
72,86,55
51,86,55
34,86,55
24,86,55
20,86,55
21,86,55
20,86,55
21,86,55
23,86,55
24,86,55
23,86,55
22,86,55
21,86,55
21,86,55
21,86,55
20,86,55
21,86,55
24,86,55
26,86,55
28,86,55
28,86,55
29,86,55
27,86,55
25,86,55
28,86,55
32,86,55
36,86,55
38,86,55
40,86,55
42,86,55
41,86,55
40,86,55
39,86,55
38,86,55
40,86,55
41,86,55
44,86,55
45,86,55
49,86,55
51,86,55
55,86,55
59,86,55
63,86,55
75,86,55
91,86,55
119,86,55
132,86,55
145,86,55
153,86,55
152,86,55
147,86,55
143,86,55
142,86,55
147,86,55
154,86,55
164,86,55
174,86,55
182,86,55
184,86,55
179,86,55
169,86,55
162,86,55
164,86,55
173,86,55
178,86,55
177,86,55
178,86,55
168,86,55
152,86,55
123,86,55
94,86,55
67,86,55
52,86,55
46,86,55
45,86,55
42,86,55
37,86,55
33,86,55
35,86,55
35,86,55
35,86,55
32,86,55
30,86,55
30,86,55
32,86,55
37,86,55
37,86,55
35,86,55
36,86,55
38,86,55
36,86,55
31,86,55
30,86,55
32,86,55
33,86,55
33,86,55
32,86,55
29,86,55
27,86,55
25,86,55
23,86,55
18,86,55
14,86,55
11,86,55
9,86,55
12,86,55
14,86,55
16,86,55
16,86,55
11,86,55
12,86,55
15,86,55
16,86,55
15,86,55
16,86,55
16,86,55
19,86,55
20,86,55
21,86,55
21,86,55
19,86,55
18,86,55
18,86,55
20,86,55
22,86,55
21,86,55
21,86,55
21,86,55
21,86,55
21,86,55
21,86,55
21,86,55
21,86,55
21,86,55
22,86,55
22,86,55
21,86,55
21,86,55
21,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
21,86,55
21,86,55
21,86,55
20,86,55
20,86,55
20,86,55
19,86,55
20,86,55
20,86,55
20,86,55
19,86,55
20,86,55
21,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
22,86,55
21,86,55
21,86,55
21,86,55
22,86,55
23,86,55
24,86,55
25,86,55
25,86,55
25,86,55
25,86,55
27,86,55
28,86,55
28,86,55
29,86,55
30,86,55
30,86,55
28,86,55
24,86,55
21,86,55
17,86,55
16,86,55
17,86,55
19,86,55
19,86,55
19,86,55
20,86,55
20,86,55
21,86,55
22,86,55
23,86,55
23,86,55
23,86,55
23,86,55
23,86,55
25,86,55
26,86,55
27,86,55
27,86,55
27,86,55
27,86,55
27,86,55
30,86,55
30,86,55
29,86,55
29,86,55
29,86,55
30,86,55
31,86,55
31,86,55
32,86,55
32,86,55
33,86,55
33,86,55
33,86,55
32,86,55
32,86,55
31,86,55
32,86,55
31,86,55
31,86,55
31,86,55
30,86,55
30,86,55
30,86,55
29,86,55
30,86,55
30,86,55
30,86,55
29,86,55
27,86,55
26,86,55
26,86,55
26,86,55
26,86,55
26,86,55
135,81,52
129,81,52
112,81,52
90,81,52
68,81,52
48,81,52
34,81,52
26,81,52
21,81,52
20,81,52
18,81,52
18,81,52
20,81,52
21,81,52
22,81,52
22,81,52
22,81,52
21,81,52
21,81,52
22,81,52
24,81,52
25,81,52
26,81,52
27,81,52
28,81,52
26,81,52
26,81,52
27,81,52
31,81,52
34,81,52
36,81,52
39,81,52
41,81,52
41,81,52
40,81,52
38,81,52
37,81,52
37,81,52
37,81,52
38,81,52
42,81,52
45,81,52
48,81,52
51,81,52
55,81,52
65,81,52
84,81,52
102,81,52
132,81,52
140,81,52
151,81,52
156,81,52
154,81,52
145,81,52
146,81,52
154,81,52
163,81,52
170,81,52
177,81,52
187,81,52
194,81,52
195,81,52
188,81,52
179,81,52
173,81,52
172,81,52
174,81,52
174,81,52
167,81,52
161,81,52
147,81,52
128,81,52
101,81,52
77,81,52
55,81,52
45,81,52
39,81,52
35,81,52
34,81,52
35,81,52
30,81,52
30,81,52
32,81,52
32,81,52
32,81,52
32,81,52
32,81,52
31,81,52
34,81,52
36,81,52
35,81,52
36,81,52
36,81,52
31,81,52
25,81,52
21,81,52
24,81,52
25,81,52
23,81,52
23,81,52
22,81,52
23,81,52
22,81,52
21,81,52
17,81,52
15,81,52
12,81,52
12,81,52
12,81,52
15,81,52
16,81,52
17,81,52
13,81,52
13,81,52
15,81,52
14,81,52
14,81,52
17,81,52
19,81,52
23,81,52
25,81,52
24,81,52
23,81,52
20,81,52
18,81,52
18,81,52
20,81,52
22,81,52
21,81,52
21,81,52
21,81,52
21,81,52
21,81,52
21,81,52
21,81,52
21,81,52
22,81,52
21,81,52
21,81,52
20,81,52
21,81,52
21,81,52
21,81,52
21,81,52
