R,G,B
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
2,0,2
0,0,2
84,0,2
207,0,2
205,0,2
205,0,2
205,0,2
208,0,2
206,0,2
206,0,2
207,0,2
209,0,2
206,0,2
204,0,2
203,0,2
206,0,2
207,0,2
204,0,2
197,0,2
195,0,2
193,0,2
192,0,2
190,0,2
189,0,2
195,0,2
200,0,2
201,0,2
203,0,2
202,0,2
199,0,2
200,0,2
202,0,2
201,0,2
201,0,2
202,0,2
202,0,2
205,0,2
203,0,2
197,0,2
182,0,2
165,0,2
149,0,2
125,0,2
99,0,2
89,0,2
108,0,2
145,0,2
174,0,2
185,0,2
195,0,2
201,0,2
205,0,2
208,0,2
205,0,2
200,0,2
202,0,2
202,0,2
202,0,2
202,0,2
202,0,2
202,0,2
202,0,2
202,0,2
199,0,2
198,0,2
198,0,2
197,0,2
196,0,2
195,0,2
194,0,2
194,0,2
187,0,2
185,0,2
182,0,2
178,0,2
174,0,2
168,0,2
165,0,2
164,0,2
167,0,2
166,0,2
164,0,2
161,0,2
159,0,2
157,0,2
156,0,2
155,0,2
148,0,2
147,0,2
145,0,2
142,0,2
139,0,2
136,0,2
134,0,2
132,0,2
125,0,2
122,0,2
117,0,2
111,0,2
104,0,2
97,0,2
91,0,2
87,0,2
85,0,2
82,0,2
76,0,2
68,0,2
60,0,2
54,0,2
51,0,2
50,0,2
50,0,2
46,0,2
42,0,2
39,0,2
37,0,2
35,0,2
33,0,2
31,0,2
24,0,2
25,0,2
25,0,2
25,0,2
23,0,2
23,0,2
22,0,2
21,0,2
18,0,2
20,0,2
20,0,2
20,0,2
20,0,2
19,0,2
20,0,2
21,0,2
21,0,2
20,0,2
21,0,2
23,0,2
23,0,2
22,0,2
22,0,2
24,0,2
25,0,2
24,0,2
22,0,2
21,0,2
20,0,2
19,0,2
17,0,2
16,0,2
20,0,2
18,0,2
14,0,2
11,0,2
9,0,2
12,0,2
14,0,2
14,0,2
16,0,2
14,0,2
13,0,2
13,0,2
11,0,2
10,0,2
12,0,2
16,0,2
21,0,2
21,0,2
16,0,2
10,0,2
7,0,2
11,0,2
27,0,2
44,0,2
78,0,2
112,0,2
145,0,2
161,0,2
168,0,2
173,0,2
155,0,2
125,0,2
78,0,2
36,0,2
5,0,2
3,0,2
10,0,2
10,0,2
13,0,2
19,0,2
17,0,2
20,0,2
21,0,2
20,0,2
20,0,2
19,0,2
19,0,2
19,0,2
20,0,2
18,0,2
16,0,2
15,0,2
15,0,2
14,0,2
13,0,2
12,0,2
10,0,2
10,0,2
9,0,2
10,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
11,0,2
10,0,2
10,0,2
11,0,2
10,0,2
9,0,2
7,0,2
14,0,2
12,0,2
8,0,2
12,0,2
18,0,2
25,0,2
58,0,2
105,0,2
131,0,2
109,0,2
94,0,2
95,0,2
99,0,2
101,0,2
97,0,2
88,0,2
86,0,2
77,0,2
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
