R,G,B
179,191,191
179,191,191
179,191,191
180,191,191
180,191,191
180,191,191
181,191,191
181,191,191
179,191,191
179,191,191
179,191,191
179,191,191
179,191,191
180,191,191
180,191,191
180,191,191
186,191,191
186,191,191
186,191,191
186,191,191
185,191,191
185,191,191
185,191,191
185,191,191
184,191,191
184,191,191
184,191,191
184,191,191
185,191,191
185,191,191
185,191,191
185,191,191
184,191,191
184,191,191
184,191,191
184,191,191
185,191,191
185,191,191
185,191,191
185,191,191
184,191,191
184,191,191
185,191,191
184,191,191
184,191,191
184,191,191
186,191,191
187,191,191
183,191,191
184,191,191
185,191,191
186,191,191
186,191,191
186,191,191
187,191,191
187,191,191
191,191,191
192,191,191
190,191,191
189,191,191
188,191,191
189,191,191
185,191,191
182,191,191
177,191,191
174,191,191
171,191,191
170,191,191
170,191,191
169,191,191
169,191,191
170,191,191
172,191,191
173,191,191
174,191,191
176,191,191
179,191,191
178,191,191
180,191,191
184,191,191
191,191,191
191,191,191
191,191,191
192,191,191
191,191,191
190,191,191
189,191,191
189,191,191
187,191,191
187,191,191
187,191,191
186,191,191
185,191,191
185,191,191
187,191,191
189,191,191
192,191,191
195,191,191
199,191,191
200,191,191
202,191,191
203,191,191
204,191,191
205,191,191
204,191,191
205,191,191
205,191,191
204,191,191
204,191,191
203,191,191
203,191,191
202,191,191
203,191,191
203,191,191
203,191,191
203,191,191
202,191,191
202,191,191
202,191,191
202,191,191
200,191,191
200,191,191
200,191,191
200,191,191
200,191,191
200,191,191
199,191,191
199,191,191
199,191,191
199,191,191
199,191,191
200,191,191
200,191,191
200,191,191
200,191,191
200,191,191
201,191,191
201,191,191
202,191,191
201,191,191
201,191,191
201,191,191
204,191,191
206,191,191
202,191,191
200,191,191
198,191,191
196,191,191
196,191,191
200,191,191
203,191,191
204,191,191
208,191,191
209,191,191
212,191,191
212,191,191
214,191,191
215,191,191
216,191,191
215,191,191
211,191,191
211,191,191
210,191,191
208,191,191
206,191,191
206,191,191
207,191,191
208,191,191
208,191,191
207,191,191
206,191,191
206,191,191
205,191,191
206,191,191
209,191,191
211,191,191
212,191,191
212,191,191
212,191,191
210,191,191
210,191,191
210,191,191
210,191,191
