R,G,B
143,161,113
144,161,113
145,161,113
146,161,113
148,161,113
148,161,113
148,161,113
150,161,113
150,161,113
151,161,113
151,161,113
151,161,113
153,161,113
153,161,113
153,161,113
153,161,113
150,161,113
150,161,113
150,161,113
150,161,113
151,161,113
152,161,113
151,161,113
153,161,113
154,161,113
155,161,113
156,161,113
157,161,113
157,161,113
160,161,113
160,161,113
159,161,113
158,161,113
158,161,113
158,161,113
158,161,113
158,161,113
160,161,113
159,161,113
159,161,113
160,161,113
162,161,113
162,161,113
162,161,113
162,161,113
162,161,113
164,161,113
164,161,113
167,161,113
167,161,113
166,161,113
167,161,113
168,161,113
168,161,113
168,161,113
168,161,113
168,161,113
168,161,113
168,161,113
168,161,113
168,161,113
168,161,113
168,161,113
167,161,113
165,161,113
165,161,113
165,161,113
166,161,113
166,161,113
166,161,113
166,161,113
166,161,113
167,161,113
168,161,113
168,161,113
169,161,113
169,161,113
170,161,113
170,161,113
171,161,113
169,161,113
170,161,113
170,161,113
169,161,113
170,161,113
170,161,113
168,161,113
164,161,113
166,161,113
166,161,113
166,161,113
164,161,113
164,161,113
164,161,113
164,161,113
164,161,113
167,161,113
166,161,113
164,161,113
160,161,113
159,161,113
158,161,113
158,161,113
158,161,113
156,161,113
156,161,113
158,161,113
158,161,113
157,161,113
156,161,113
156,161,113
156,161,113
156,161,113
157,161,113
157,161,113
160,161,113
160,161,113
161,161,113
161,161,113
163,161,113
162,161,113
161,161,113
161,161,113
162,161,113
162,161,113
162,161,113
163,161,113
163,161,113
162,161,113
162,161,113
162,161,113
161,161,113
160,161,113
156,161,113
155,161,113
153,161,113
155,161,113
155,161,113
155,161,113
156,161,113
156,161,113
156,161,113
157,161,113
157,161,113
160,161,113
160,161,113
161,161,113
161,161,113
162,161,113
162,161,113
162,161,113
163,161,113
163,161,113
166,161,113
167,161,113
168,161,113
168,161,113
168,161,113
167,161,113
167,161,113
165,161,113
165,161,113
165,161,113
163,161,113
162,161,113
161,161,113
159,161,113
160,161,113
162,161,113
165,161,113
161,161,113
158,161,113
164,161,113
166,161,113
165,161,113
167,161,113
200,161,113
221,161,113
234,161,113
230,161,113
229,161,113
235,161,113
240,161,113
240,161,113
235,161,113
225,161,113
206,161,113
186,161,113
165,161,113
144,161,113
125,161,113
112,161,113
100,161,113
97,161,113
96,161,113
99,161,113
105,161,113
116,161,113
136,161,113
152,161,113
176,161,113
193,161,113
209,161,113
213,161,113
212,161,113
211,161,113
204,161,113
196,161,113
200,161,113
195,161,113
194,161,113
198,161,113
204,161,113
203,161,113
201,161,113
203,161,113
207,161,113
207,161,113
205,161,113
203,161,113
198,161,113
196,161,113
193,161,113
193,161,113
195,161,113
192,161,113
191,161,113
193,161,113
195,161,113
194,161,113
194,161,113
194,161,113
194,161,113
195,161,113
195,161,113
195,161,113
197,161,113
202,161,113
204,161,113
204,161,113
201,161,113
200,161,113
199,161,113
200,161,113
199,161,113
198,161,113
198,161,113
198,161,113
198,161,113
196,161,113
143,162,114
144,162,114
145,162,114
146,162,114
148,162,114
148,162,114
148,162,114
150,162,114
151,162,114
152,162,114
152,162,114
152,162,114
154,162,114
154,162,114
154,162,114
154,162,114
152,162,114
152,162,114
153,162,114
