R,G,B
63,61,48
61,61,48
57,61,48
51,61,48
47,61,48
47,61,48
49,61,48
51,61,48
51,61,48
55,61,48
65,61,48
79,61,48
95,61,48
108,61,48
117,61,48
121,61,48
129,61,48
133,61,48
133,61,48
132,61,48
131,61,48
133,61,48
134,61,48
133,61,48
137,61,48
140,61,48
143,61,48
144,61,48
144,61,48
149,61,48
145,61,48
135,61,48
126,61,48
113,61,48
100,61,48
90,61,48
83,61,48
77,61,48
75,61,48
71,61,48
65,61,48
65,61,48
67,61,48
67,61,48
69,61,48
67,61,48
67,61,48
66,61,48
63,61,48
62,61,48
62,61,48
60,61,48
58,61,48
58,61,48
56,61,48
56,61,48
58,61,48
58,61,48
61,61,48
62,61,48
64,61,48
65,61,48
66,61,48
67,61,48
63,61,48
65,61,48
67,61,48
66,61,48
65,61,48
64,61,48
66,61,48
67,61,48
67,61,48
67,61,48
69,61,48
69,61,48
69,61,48
70,61,48
70,61,48
72,61,48
71,61,48
72,61,48
73,61,48
73,61,48
73,61,48
73,61,48
73,61,48
74,61,48
78,61,48
79,61,48
79,61,48
80,61,48
81,61,48
82,61,48
82,61,48
82,61,48
84,61,48
85,61,48
86,61,48
87,61,48
87,61,48
87,61,48
88,61,48
89,61,48
89,61,48
90,61,48
91,61,48
92,61,48
93,61,48
95,61,48
97,61,48
99,61,48
98,61,48
99,61,48
99,61,48
99,61,48
99,61,48
98,61,48
97,61,48
96,61,48
95,61,48
92,61,48
92,61,48
91,61,48
87,61,48
83,61,48
78,61,48
72,61,48
65,61,48
62,61,48
58,61,48
54,61,48
50,61,48
50,61,48
51,61,48
51,61,48
49,61,48
52,61,48
58,61,48
68,61,48
82,61,48
95,61,48
109,61,48
122,61,48
139,61,48
152,61,48
166,61,48
174,61,48
183,61,48
195,61,48
204,61,48
211,61,48
216,61,48
221,61,48
226,61,48
230,61,48
233,61,48
239,61,48
241,61,48
241,61,48
239,61,48
240,61,48
241,61,48
243,61,48
245,61,48
245,61,48
246,61,48
247,61,48
246,61,48
245,61,48
244,61,48
243,61,48
242,61,48
240,61,48
237,61,48
236,61,48
236,61,48
231,61,48
227,61,48
224,61,48
221,61,48
219,61,48
218,61,48
219,61,48
216,61,48
206,61,48
196,61,48
184,61,48
167,61,48
153,61,48
142,61,48
132,61,48
122,61,48
119,61,48
122,61,48
133,61,48
141,61,48
142,61,48
142,61,48
144,61,48
149,61,48
155,61,48
161,61,48
163,61,48
165,61,48
169,61,48
171,61,48
170,61,48
166,61,48
171,61,48
172,61,48
172,61,48
174,61,48
173,61,48
173,61,48
176,61,48
175,61,48
169,61,48
163,61,48
158,61,48
153,61,48
146,61,48
131,61,48
112,61,48
92,61,48
79,61,48
63,61,48
47,61,48
34,61,48
23,61,48
16,61,48
13,61,48
13,61,48
14,61,48
17,61,48
24,61,48
38,61,48
60,61,48
83,61,48
99,61,48
109,61,48
130,61,48
151,61,48
158,61,48
159,61,48
161,61,48
162,61,48
159,61,48
154,61,48
154,61,48
59,57,42
59,57,42
57,57,42
54,57,42
54,57,42
55,57,42
59,57,42
60,57,42
62,57,42
66,57,42
77,57,42
90,57,42
103,57,42
115,57,42
122,57,42
127,57,42
136,57,42
138,57,42
139,57,42
136,57,42
135,57,42
135,57,42
136,57,42
135,57,42
136,57,42
137,57,42
138,57,42
139,57,42
139,57,42
142,57,42
144,57,42
138,57,42
128,57,42
115,57,42
103,57,42
95,57,42
86,57,42
79,57,42
75,57,42
71,57,42
65,57,42
66,57,42
67,57,42
68,57,42
69,57,42
67,57,42
67,57,42
67,57,42
64,57,42
62,57,42
62,57,42
61,57,42
59,57,42
58,57,42
56,57,42
57,57,42
57,57,42
57,57,42
60,57,42
62,57,42
64,57,42
66,57,42
67,57,42
67,57,42
65,57,42
67,57,42
69,57,42
67,57,42
67,57,42
66,57,42
67,57,42
68,57,42
69,57,42
68,57,42
68,57,42
68,57,42
69,57,42
69,57,42
71,57,42
72,57,42
71,57,42
72,57,42
72,57,42
73,57,42
73,57,42
73,57,42
74,57,42
74,57,42
78,57,42
78,57,42
79,57,42
80,57,42
80,57,42
81,57,42
82,57,42
82,57,42
82,57,42
83,57,42
84,57,42
85,57,42
85,57,42
85,57,42
86,57,42
87,57,42
89,57,42
90,57,42
91,57,42
92,57,42
93,57,42
95,57,42
97,57,42
99,57,42
99,57,42
99,57,42
99,57,42
99,57,42
98,57,42
97,57,42
95,57,42
95,57,42
94,57,42
91,57,42
90,57,42
88,57,42
84,57,42
80,57,42
75,57,42
70,57,42
63,57,42
59,57,42
56,57,42
53,57,42
50,57,42
50,57,42
51,57,42
51,57,42
50,57,42
53,57,42
59,57,42
70,57,42
85,57,42
98,57,42
111,57,42
124,57,42
141,57,42
155,57,42
168,57,42
176,57,42
186,57,42
197,57,42
206,57,42
213,57,42
217,57,42
222,57,42
227,57,42
231,57,42
234,57,42
239,57,42
241,57,42
240,57,42
238,57,42
239,57,42
240,57,42
242,57,42
244,57,42
244,57,42
245,57,42
246,57,42
245,57,42
244,57,42
244,57,42
243,57,42
242,57,42
240,57,42
237,57,42
236,57,42
235,57,42
231,57,42
227,57,42
224,57,42
222,57,42
219,57,42
218,57,42
219,57,42
215,57,42
204,57,42
194,57,42
183,57,42
166,57,42
152,57,42
140,57,42
131,57,42
120,57,42
119,57,42
124,57,42
134,57,42
142,57,42
144,57,42
145,57,42
147,57,42
152,57,42
158,57,42
164,57,42
167,57,42
170,57,42
174,57,42
176,57,42
175,57,42
177,57,42
178,57,42
178,57,42
176,57,42
173,57,42
171,57,42
169,57,42
171,57,42
174,57,42
163,57,42
152,57,42
137,57,42
117,57,42
99,57,42
79,57,42
59,57,42
45,57,42
39,57,42
31,57,42
27,57,42
24,57,42
21,57,42
19,57,42
19,57,42
17,57,42
17,57,42
18,57,42
19,57,42
23,57,42
29,57,42
39,57,42
45,57,42
48,57,42
62,57,42
75,57,42
81,57,42
83,57,42
87,57,42
88,57,42
86,57,42
82,57,42
82,57,42
68,64,44
67,64,44
65,64,44
64,64,44
66,64,44
71,64,44
78,64,44
82,64,44
87,64,44
92,64,44
102,64,44
113,64,44
122,64,44
130,64,44
136,64,44
140,64,44
145,64,44
147,64,44
146,64,44
143,64,44
141,64,44
142,64,44
141,64,44
139,64,44
133,64,44
128,64,44
126,64,44
125,64,44
124,64,44
126,64,44
129,64,44
131,64,44
125,64,44
114,64,44
103,64,44
95,64,44
86,64,44
80,64,44
73,64,44
69,64,44
64,64,44
66,64,44
69,64,44
70,64,44
68,64,44
68,64,44
67,64,44
68,64,44
64,64,44
64,64,44
62,64,44
61,64,44
59,64,44
58,64,44
57,64,44
57,64,44
56,64,44
57,64,44
59,64,44
61,64,44
64,64,44
66,64,44
68,64,44
68,64,44
66,64,44
68,64,44
69,64,44
67,64,44
67,64,44
66,64,44
67,64,44
67,64,44
68,64,44
68,64,44
68,64,44
68,64,44
68,64,44
69,64,44
71,64,44
71,64,44
70,64,44
71,64,44
72,64,44
73,64,44
73,64,44
73,64,44
74,64,44
75,64,44
77,64,44
78,64,44
78,64,44
79,64,44
80,64,44
81,64,44
81,64,44
82,64,44
82,64,44
83,64,44
84,64,44
84,64,44
84,64,44
85,64,44
86,64,44
87,64,44
89,64,44
90,64,44
91,64,44
91,64,44
92,64,44
94,64,44
97,64,44
98,64,44
99,64,44
99,64,44
99,64,44
99,64,44
98,64,44
96,64,44
95,64,44
94,64,44
93,64,44
89,64,44
87,64,44
84,64,44
79,64,44
75,64,44
71,64,44
67,64,44
60,64,44
57,64,44
54,64,44
52,64,44
50,64,44
51,64,44
51,64,44
50,64,44
49,64,44
52,64,44
60,64,44
73,64,44
88,64,44
102,64,44
117,64,44
130,64,44
144,64,44
158,64,44
171,64,44
180,64,44
189,64,44
201,64,44
210,64,44
217,64,44
219,64,44
224,64,44
229,64,44
233,64,44
236,64,44
240,64,44
240,64,44
239,64,44
237,64,44
238,64,44
239,64,44
241,64,44
243,64,44
242,64,44
244,64,44
244,64,44
244,64,44
243,64,44
243,64,44
243,64,44
242,64,44
240,64,44
237,64,44
237,64,44
234,64,44
231,64,44
227,64,44
225,64,44
222,64,44
220,64,44
219,64,44
220,64,44
213,64,44
204,64,44
193,64,44
181,64,44
165,64,44
150,64,44
138,64,44
129,64,44
122,64,44
123,64,44
129,64,44
139,64,44
145,64,44
147,64,44
149,64,44
152,64,44
157,64,44
163,64,44
168,64,44
172,64,44
177,64,44
181,64,44
182,64,44
180,64,44
178,64,44
176,64,44
177,64,44
178,64,44
175,64,44
174,64,44
175,64,44
170,64,44
160,64,44
140,64,44
117,64,44
96,64,44
70,64,44
49,64,44
36,64,44
25,64,44
16,64,44
14,64,44
13,64,44
14,64,44
17,64,44
17,64,44
16,64,44
16,64,44
14,64,44
14,64,44
15,64,44
14,64,44
12,64,44
11,64,44
10,64,44
10,64,44
7,64,44
10,64,44
14,64,44
17,64,44
20,64,44
23,64,44
24,64,44
24,64,44
22,64,44
21,64,44
86,73,49
82,73,49
76,73,49
73,73,49
77,73,49
84,73,49
96,73,49
103,73,49
113,73,49
119,73,49
128,73,49
136,73,49
141,73,49
145,73,49
149,73,49
152,73,49
153,73,49
155,73,49
153,73,49
151,73,49
150,73,49
149,73,49
146,73,49
142,73,49
131,73,49
121,73,49
114,73,49
111,73,49
106,73,49
105,73,49
108,73,49
112,73,49
113,73,49
104,73,49
97,73,49
89,73,49
80,73,49
75,73,49
70,73,49
65,73,49
66,73,49
68,73,49
69,73,49
70,73,49
69,73,49
68,73,49
69,73,49
68,73,49
64,73,49
64,73,49
63,73,49
61,73,49
59,73,49
59,73,49
57,73,49
57,73,49
57,73,49
57,73,49
60,73,49
61,73,49
64,73,49
66,73,49
67,73,49
68,73,49
65,73,49
66,73,49
67,73,49
66,73,49
65,73,49
64,73,49
64,73,49
65,73,49
67,73,49
67,73,49
67,73,49
67,73,49
68,73,49
68,73,49
70,73,49
71,73,49
70,73,49
71,73,49
72,73,49
73,73,49
73,73,49
74,73,49
75,73,49
76,73,49
77,73,49
77,73,49
78,73,49
79,73,49
80,73,49
80,73,49
81,73,49
81,73,49
83,73,49
84,73,49
85,73,49
86,73,49
86,73,49
87,73,49
88,73,49
88,73,49
90,73,49
90,73,49
91,73,49
92,73,49
93,73,49
94,73,49
97,73,49
98,73,49
99,73,49
99,73,49
99,73,49
99,73,49
98,73,49
96,73,49
95,73,49
94,73,49
92,73,49
88,73,49
84,73,49
81,73,49
75,73,49
72,73,49
68,73,49
64,73,49
59,73,49
55,73,49
53,73,49
52,73,49
50,73,49
50,73,49
49,73,49
48,73,49
45,73,49
50,73,49
