R,G,B
34,45,75
34,45,75
35,45,75
37,45,75
37,45,75
36,45,75
36,45,75
38,45,75
38,45,75
38,45,75
38,45,75
37,45,75
37,45,75
37,45,75
37,45,75
38,45,75
38,45,75
38,45,75
39,45,75
40,45,75
39,45,75
39,45,75
38,45,75
37,45,75
37,45,75
37,45,75
37,45,75
38,45,75
38,45,75
39,45,75
40,45,75
40,45,75
40,45,75
40,45,75
39,45,75
39,45,75
39,45,75
39,45,75
39,45,75
40,45,75
40,45,75
40,45,75
40,45,75
40,45,75
41,45,75
41,45,75
41,45,75
41,45,75
38,45,75
38,45,75
38,45,75
38,45,75
38,45,75
37,45,75
37,45,75
37,45,75
37,45,75
40,45,75
41,45,75
42,45,75
42,45,75
42,45,75
41,45,75
40,45,75
40,45,75
40,45,75
40,45,75
41,45,75
40,45,75
38,45,75
37,45,75
37,45,75
38,45,75
40,45,75
41,45,75
42,45,75
46,45,75
45,45,75
44,45,75
47,45,75
48,45,75
47,45,75
44,45,75
40,45,75
38,45,75
41,45,75
62,45,75
89,45,75
123,45,75
148,45,75
158,45,75
168,45,75
185,45,75
197,45,75
208,45,75
211,45,75
212,45,75
204,45,75
196,45,75
196,45,75
201,45,75
200,45,75
193,45,75
187,45,75
170,45,75
159,45,75
140,45,75
116,45,75
85,45,75
56,45,75
38,45,75
31,45,75
27,45,75
31,45,75
32,45,75
33,45,75
34,45,75
30,45,75
28,45,75
32,45,75
31,45,75
31,45,75
33,45,75
42,45,75
56,45,75
74,45,75
91,45,75
105,45,75
105,45,75
98,45,75
86,45,75
71,45,75
55,45,75
39,45,75
32,45,75
30,45,75
28,45,75
27,45,75
24,45,75
23,45,75
33,45,75
59,45,75
93,45,75
119,45,75
136,45,75
159,45,75
171,45,75
173,45,75
187,45,75
195,45,75
192,45,75
191,45,75
182,45,75
172,45,75
157,45,75
143,45,75
124,45,75
89,45,75
55,45,75
37,45,75
28,45,75
29,45,75
27,45,75
22,45,75
22,45,75
20,45,75
18,45,75
19,45,75
19,45,75
19,45,75
18,45,75
17,45,75
17,45,75
17,45,75
19,45,75
21,45,75
19,45,75
17,45,75
22,45,75
23,45,75
23,45,75
32,45,75
48,45,75
56,45,75
55,45,75
48,45,75
43,45,75
39,45,75
34,45,75
30,45,75
27,45,75
23,45,75
25,45,75
25,45,75
23,45,75
23,45,75
23,45,75
23,45,75
22,45,75
22,45,75
23,45,75
22,45,75
21,45,75
20,45,75
18,45,75
14,45,75
12,45,75
12,45,75
15,45,75
15,45,75
15,45,75
16,45,75
17,45,75
18,45,75
16,45,75
16,45,75
18,45,75
20,45,75
23,45,75
23,45,75
24,45,75
22,45,75
21,45,75
18,45,75
23,45,75
23,45,75
22,45,75
23,45,75
24,45,75
23,45,75
21,45,75
19,45,75
18,45,75
18,45,75
16,45,75
14,45,75
13,45,75
10,45,75
7,45,75
5,45,75
6,45,75
3,45,75
0,45,75
2,45,75
7,45,75
11,45,75
16,45,75
19,45,75
20,45,75
22,45,75
27,38,66
27,38,66
28,38,66
29,38,66
29,38,66
28,38,66
28,38,66
29,38,66
29,38,66
28,38,66
28,38,66
28,38,66
27,38,66
28,38,66
28,38,66
28,38,66
30,38,66
30,38,66
31,38,66
32,38,66
32,38,66
31,38,66
30,38,66
30,38,66
30,38,66
30,38,66
30,38,66
30,38,66
30,38,66
30,38,66
31,38,66
31,38,66
32,38,66
32,38,66
31,38,66
31,38,66
31,38,66
31,38,66
31,38,66
32,38,66
32,38,66
32,38,66
32,38,66
32,38,66
32,38,66
32,38,66
32,38,66
32,38,66
30,38,66
30,38,66
30,38,66
30,38,66
29,38,66
29,38,66
29,38,66
29,38,66
32,38,66
32,38,66
33,38,66
34,38,66
34,38,66
34,38,66
33,38,66
32,38,66
31,38,66
30,38,66
28,38,66
29,38,66
29,38,66
28,38,66
27,38,66
28,38,66
30,38,66
32,38,66
32,38,66
34,38,66
36,38,66
37,38,66
37,38,66
39,38,66
47,38,66
44,38,66
39,38,66
38,38,66
47,38,66
61,38,66
90,38,66
120,38,66
145,38,66
169,38,66
178,38,66
187,38,66
199,38,66
206,38,66
216,38,66
218,38,66
218,38,66
209,38,66
197,38,66
189,38,66
187,38,66
183,38,66
178,38,66
174,38,66
162,38,66
148,38,66
125,38,66
100,38,66
70,38,66
46,38,66
33,38,66
30,38,66
30,38,66
32,38,66
32,38,66
32,38,66
33,38,66
29,38,66
28,38,66
32,38,66
32,38,66
33,38,66
38,38,66
52,38,66
73,38,66
95,38,66
115,38,66
128,38,66
132,38,66
125,38,66
112,38,66
94,38,66
72,38,66
50,38,66
38,38,66
33,38,66
29,38,66
26,38,66
24,38,66
25,38,66
38,38,66
62,38,66
92,38,66
113,38,66
128,38,66
151,38,66
165,38,66
167,38,66
178,38,66
185,38,66
182,38,66
180,38,66
178,38,66
170,38,66
157,38,66
140,38,66
114,38,66
78,38,66
48,38,66
35,38,66
29,38,66
29,38,66
25,38,66
21,38,66
19,38,66
16,38,66
14,38,66
14,38,66
14,38,66
14,38,66
14,38,66
13,38,66
13,38,66
12,38,66
13,38,66
15,38,66
14,38,66
11,38,66
13,38,66
18,38,66
20,38,66
30,38,66
48,38,66
59,38,66
54,38,66
47,38,66
43,38,66
39,38,66
34,38,66
31,38,66
28,38,66
24,38,66
25,38,66
25,38,66
23,38,66
23,38,66
23,38,66
23,38,66
22,38,66
22,38,66
22,38,66
21,38,66
21,38,66
21,38,66
20,38,66
18,38,66
17,38,66
17,38,66
19,38,66
17,38,66
16,38,66
16,38,66
15,38,66
14,38,66
11,38,66
11,38,66
13,38,66
16,38,66
19,38,66
21,38,66
23,38,66
22,38,66
21,38,66
20,38,66
24,38,66
25,38,66
25,38,66
24,38,66
22,38,66
20,38,66
20,38,66
20,38,66
19,38,66
18,38,66
16,38,66
15,38,66
14,38,66
12,38,66
10,38,66
8,38,66
8,38,66
4,38,66
1,38,66
1,38,66
5,38,66
9,38,66
14,38,66
18,38,66
18,38,66
21,38,66
22,35,61
22,35,61
23,35,61
23,35,61
23,35,61
21,35,61
21,35,61
23,35,61
22,35,61
22,35,61
21,35,61
21,35,61
21,35,61
21,35,61
21,35,61
21,35,61
20,35,61
21,35,61
22,35,61
23,35,61
23,35,61
23,35,61
22,35,61
21,35,61
21,35,61
21,35,61
21,35,61
21,35,61
21,35,61
21,35,61
22,35,61
22,35,61
23,35,61
23,35,61
23,35,61
22,35,61
22,35,61
22,35,61
22,35,61
23,35,61
22,35,61
23,35,61
23,35,61
23,35,61
23,35,61
23,35,61
23,35,61
23,35,61
21,35,61
21,35,61
21,35,61
20,35,61
20,35,61
20,35,61
20,35,61
20,35,61
23,35,61
23,35,61
24,35,61
24,35,61
24,35,61
24,35,61
