R,G,B
0,2,1
0,2,1
3,2,1
231,2,1
233,2,1
236,2,1
234,2,1
236,2,1
235,2,1
234,2,1
233,2,1
233,2,1
233,2,1
235,2,1
236,2,1
237,2,1
234,2,1
233,2,1
232,2,1
231,2,1
230,2,1
230,2,1
230,2,1
230,2,1
228,2,1
229,2,1
230,2,1
231,2,1
231,2,1
232,2,1
233,2,1
234,2,1
235,2,1
233,2,1
232,2,1
233,2,1
233,2,1
232,2,1
231,2,1
233,2,1
232,2,1
233,2,1
235,2,1
236,2,1
236,2,1
237,2,1
237,2,1
238,2,1
236,2,1
235,2,1
235,2,1
235,2,1
236,2,1
236,2,1
234,2,1
233,2,1
232,2,1
232,2,1
233,2,1
233,2,1
233,2,1
234,2,1
234,2,1
232,2,1
232,2,1
231,2,1
231,2,1
233,2,1
234,2,1
233,2,1
231,2,1
231,2,1
234,2,1
234,2,1
234,2,1
234,2,1
234,2,1
235,2,1
235,2,1
236,2,1
234,2,1
237,2,1
237,2,1
234,2,1
233,2,1
235,2,1
235,2,1
233,2,1
232,2,1
232,2,1
233,2,1
233,2,1
233,2,1
233,2,1
233,2,1
234,2,1
234,2,1
234,2,1
235,2,1
233,2,1
231,2,1
231,2,1
232,2,1
233,2,1
232,2,1
232,2,1
231,2,1
231,2,1
231,2,1
232,2,1
232,2,1
230,2,1
230,2,1
230,2,1
230,2,1
230,2,1
229,2,1
229,2,1
229,2,1
229,2,1
231,2,1
231,2,1
231,2,1
231,2,1
231,2,1
231,2,1
231,2,1
231,2,1
232,2,1
232,2,1
233,2,1
233,2,1
233,2,1
232,2,1
231,2,1
231,2,1
231,2,1
230,2,1
231,2,1
232,2,1
233,2,1
233,2,1
233,2,1
235,2,1
235,2,1
234,2,1
233,2,1
234,2,1
235,2,1
236,2,1
235,2,1
234,2,1
234,2,1
234,2,1
234,2,1
234,2,1
234,2,1
234,2,1
234,2,1
234,2,1
234,2,1
234,2,1
233,2,1
233,2,1
233,2,1
232,2,1
232,2,1
232,2,1
233,2,1
233,2,1
234,2,1
233,2,1
232,2,1
232,2,1
232,2,1
233,2,1
233,2,1
232,2,1
231,2,1
231,2,1
231,2,1
231,2,1
231,2,1
232,2,1
232,2,1
232,2,1
231,2,1
230,2,1
230,2,1
230,2,1
229,2,1
228,2,1
233,2,1
232,2,1
231,2,1
228,2,1
228,2,1
226,2,1
225,2,1
225,2,1
223,2,1
226,2,1
228,2,1
227,2,1
227,2,1
222,2,1
214,2,1
205,2,1
202,2,1
196,2,1
196,2,1
198,2,1
194,2,1
196,2,1
198,2,1
196,2,1
193,2,1
116,2,1
56,2,1
43,2,1
39,2,1
33,2,1
31,2,1
27,2,1
31,2,1
30,2,1
29,2,1
29,2,1
29,2,1
29,2,1
28,2,1
27,2,1
26,2,1
29,2,1
30,2,1
30,2,1
29,2,1
30,2,1
28,2,1
25,2,1
29,2,1
28,2,1
27,2,1
26,2,1
26,2,1
25,2,1
25,2,1
25,2,1
26,2,1
26,2,1
0,0,0
0,0,0
3,0,0
232,0,0
234,0,0
237,0,0
235,0,0
236,0,0
236,0,0
235,0,0
233,0,0
233,0,0
233,0,0
235,0,0
236,0,0
236,0,0
233,0,0
232,0,0
231,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
229,0,0
230,0,0
231,0,0
231,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
233,0,0
232,0,0
233,0,0
233,0,0
232,0,0
231,0,0
233,0,0
233,0,0
234,0,0
236,0,0
237,0,0
237,0,0
238,0,0
238,0,0
239,0,0
235,0,0
235,0,0
235,0,0
235,0,0
236,0,0
236,0,0
234,0,0
234,0,0
232,0,0
233,0,0
233,0,0
233,0,0
234,0,0
234,0,0
232,0,0
233,0,0
232,0,0
231,0,0
232,0,0
234,0,0
235,0,0
234,0,0
233,0,0
232,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
235,0,0
236,0,0
234,0,0
237,0,0
237,0,0
234,0,0
233,0,0
235,0,0
235,0,0
234,0,0
