R,G,B
223,202,173
223,202,173
223,202,173
223,202,173
223,202,173
223,202,173
223,202,173
223,202,173
223,202,173
222,202,173
221,202,173
220,202,173
221,202,173
221,202,173
222,202,173
221,202,173
222,202,173
222,202,173
223,202,173
223,202,173
223,202,173
223,202,173
223,202,173
225,202,173
223,202,173
222,202,173
220,202,173
220,202,173
222,202,173
223,202,173
222,202,173
221,202,173
218,202,173
218,202,173
221,202,173
227,202,173
232,202,173
240,202,173
246,202,173
250,202,173
254,202,173
254,202,173
254,202,173
254,202,173
253,202,173
254,202,173
255,202,173
253,202,173
255,202,173
254,202,173
252,202,173
247,202,173
240,202,173
232,202,173
225,202,173
221,202,173
220,202,173
222,202,173
222,202,173
221,202,173
220,202,173
220,202,173
219,202,173
219,202,173
218,202,173
218,202,173
218,202,173
219,202,173
219,202,173
220,202,173
220,202,173
221,202,173
222,202,173
222,202,173
222,202,173
222,202,173
222,202,173
222,202,173
222,202,173
222,202,173
219,202,173
219,202,173
221,202,173
221,202,173
222,202,173
222,202,173
223,202,173
223,202,173
224,202,173
223,202,173
222,202,173
222,202,173
220,202,173
220,202,173
220,202,173
220,202,173
219,202,173
220,202,173
219,202,173
217,202,173
218,202,173
217,202,173
213,202,173
213,202,173
215,202,173
213,202,173
211,202,173
211,202,173
210,202,173
208,202,173
207,202,173
205,202,173
200,202,173
197,202,173
192,202,173
188,202,173
188,202,173
191,202,173
195,202,173
196,202,173
200,202,173
199,202,173
200,202,173
201,202,173
202,202,173
203,202,173
203,202,173
204,202,173
203,202,173
203,202,173
203,202,173
203,202,173
204,202,173
205,202,173
206,202,173
206,202,173
207,202,173
206,202,173
206,202,173
206,202,173
206,202,173
207,202,173
208,202,173
208,202,173
207,202,173
208,202,173
210,202,173
212,202,173
212,202,173
213,202,173
214,202,173
215,202,173
217,202,173
218,202,173
218,202,173
219,202,173
220,202,173
221,202,173
222,202,173
222,202,173
223,202,173
225,202,173
225,202,173
225,202,173
225,202,173
223,202,173
219,202,173
219,202,173
219,202,173
207,202,173
190,202,173
170,202,173
150,202,173
137,202,173
133,202,173
133,202,173
134,202,173
129,202,173
127,202,173
126,202,173
122,202,173
117,202,173
111,202,173
108,202,173
105,202,173
100,202,173
98,202,173
93,202,173
89,202,173
87,202,173
87,202,173
84,202,173
85,202,173
86,202,173
87,202,173
88,202,173
90,202,173
89,202,173
91,202,173
94,202,173
95,202,173
100,202,173
89,202,173
79,202,173
89,202,173
97,202,173
105,202,173
118,202,173
139,202,173
148,202,173
164,202,173
176,202,173
185,202,173
192,202,173
199,202,173
199,202,173
196,202,173
188,202,173
179,202,173
170,202,173
158,202,173
141,202,173
122,202,173
106,202,173
80,202,173
68,202,173
58,202,173
54,202,173
51,202,173
45,202,173
40,202,173
36,202,173
36,202,173
31,202,173
27,202,173
24,202,173
23,202,173
20,202,173
17,202,173
14,202,173
12,202,173
12,202,173
14,202,173
14,202,173
12,202,173
10,202,173
11,202,173
13,202,173
15,202,173
15,202,173
223,202,175
223,202,175
223,202,175
223,202,175
223,202,175
223,202,175
223,202,175
223,202,175
222,202,175
222,202,175
220,202,175
220,202,175
221,202,175
221,202,175
222,202,175
220,202,175
222,202,175
222,202,175
222,202,175
222,202,175
223,202,175
223,202,175
223,202,175
223,202,175
224,202,175
222,202,175
220,202,175
220,202,175
222,202,175
222,202,175
222,202,175
221,202,175
219,202,175
219,202,175
221,202,175
226,202,175
230,202,175
236,202,175
242,202,175
247,202,175
250,202,175
252,202,175
254,202,175
252,202,175
252,202,175
254,202,175
254,202,175
254,202,175
254,202,175
253,202,175
252,202,175
247,202,175
241,202,175
233,202,175
225,202,175
222,202,175
219,202,175
221,202,175
221,202,175
221,202,175
220,202,175
220,202,175
221,202,175
220,202,175
218,202,175
218,202,175
218,202,175
219,202,175
219,202,175
220,202,175
220,202,175
222,202,175
221,202,175
221,202,175
221,202,175
221,202,175
221,202,175
221,202,175
221,202,175
221,202,175
219,202,175
221,202,175
221,202,175
221,202,175
222,202,175
222,202,175
223,202,175
223,202,175
