R,G,B
22,13,14
26,13,14
55,13,14
79,13,14
53,13,14
53,13,14
59,13,14
49,13,14
42,13,14
38,13,14
36,13,14
38,13,14
45,13,14
55,13,14
56,13,14
48,13,14
43,13,14
50,13,14
78,13,14
109,13,14
126,13,14
136,13,14
145,13,14
150,13,14
152,13,14
150,13,14
151,13,14
149,13,14
144,13,14
138,13,14
112,13,14
74,13,14
54,13,14
82,13,14
155,13,14
149,13,14
52,13,14
40,13,14
54,13,14
33,13,14
91,13,14
219,13,14
226,13,14
240,13,14
235,13,14
230,13,14
232,13,14
230,13,14
226,13,14
212,13,14
143,13,14
65,13,14
59,13,14
175,13,14
242,13,14
233,13,14
229,13,14
237,13,14
235,13,14
229,13,14
231,13,14
233,13,14
234,13,14
236,13,14
235,13,14
235,13,14
237,13,14
238,13,14
236,13,14
232,13,14
233,13,14
237,13,14
244,13,14
242,13,14
234,13,14
246,13,14
229,13,14
233,13,14
225,13,14
214,13,14
212,13,14
170,13,14
100,13,14
58,13,14
39,13,14
53,13,14
99,13,14
107,13,14
100,13,14
77,13,14
58,13,14
60,13,14
61,13,14
40,13,14
55,13,14
114,13,14
86,13,14
53,13,14
42,13,14
61,13,14
64,13,14
84,13,14
92,13,14
79,13,14
91,13,14
121,13,14
154,13,14
170,13,14
175,13,14
173,13,14
140,13,14
138,13,14
76,13,14
37,13,14
42,13,14
46,13,14
84,13,14
97,13,14
153,13,14
188,13,14
188,13,14
173,13,14
181,13,14
192,13,14
213,13,14
215,13,14
179,13,14
163,13,14
204,13,14
240,13,14
192,13,14
129,13,14
143,13,14
121,13,14
102,13,14
82,13,14
213,13,14
231,13,14
126,13,14
71,13,14
80,13,14
61,13,14
72,13,14
79,13,14
96,13,14
102,13,14
110,13,14
113,13,14
121,13,14
122,13,14
119,13,14
134,13,14
147,13,14
158,13,14
171,13,14
177,13,14
176,13,14
172,13,14
170,13,14
169,13,14
163,13,14
168,13,14
179,13,14
189,13,14
191,13,14
185,13,14
165,13,14
143,13,14
124,13,14
122,13,14
139,13,14
136,13,14
133,13,14
180,13,14
212,13,14
187,13,14
164,13,14
130,13,14
139,13,14
227,13,14
239,13,14
198,13,14
163,13,14
123,13,14
77,13,14
87,13,14
112,13,14
127,13,14
124,13,14
105,13,14
84,13,14
82,13,14
86,13,14
72,13,14
111,13,14
167,13,14
155,13,14
101,13,14
63,13,14
37,13,14
36,13,14
108,13,14
166,13,14
134,13,14
65,13,14
82,13,14
166,13,14
208,13,14
193,13,14
127,13,14
87,13,14
66,13,14
51,13,14
43,13,14
34,13,14
49,13,14
55,13,14
55,13,14
55,13,14
60,13,14
57,13,14
51,13,14
83,13,14
137,13,14
183,13,14
212,13,14
225,13,14
207,13,14
181,13,14
162,13,14
177,13,14
98,13,14
82,13,14
48,13,14
36,13,14
46,13,14
30,13,14
10,13,14
14,13,14
11,13,14
13,13,14
5,13,14
5,13,14
8,13,14
6,13,14
7,13,14
8,13,14
4,13,14
8,13,14
9,13,14
15,12,13
21,12,13
52,12,13
82,12,13
59,12,13
52,12,13
55,12,13
47,12,13
41,12,13
36,12,13
34,12,13
36,12,13
44,12,13
55,12,13
60,12,13
52,12,13
45,12,13
47,12,13
68,12,13
98,12,13
120,12,13
134,12,13
144,12,13
147,12,13
147,12,13
147,12,13
149,12,13
148,12,13
146,12,13
141,12,13
114,12,13
77,12,13
43,12,13
78,12,13
151,12,13
143,12,13
47,12,13
39,12,13
60,12,13
43,12,13
84,12,13
215,12,13
229,12,13
241,12,13
240,12,13
236,12,13
234,12,13
228,12,13
233,12,13
213,12,13
155,12,13
65,12,13
60,12,13
186,12,13
239,12,13
219,12,13
226,12,13
235,12,13
236,12,13
231,12,13
230,12,13
231,12,13
232,12,13
234,12,13
232,12,13
233,12,13
236,12,13
238,12,13
238,12,13
236,12,13
235,12,13
235,12,13
235,12,13
242,12,13
242,12,13
255,12,13
246,12,13
252,12,13
254,12,13
254,12,13
230,12,13
167,12,13
79,12,13
43,12,13
38,12,13
49,12,13
101,12,13
146,12,13
132,12,13
86,12,13
63,12,13
49,12,13
34,12,13
53,12,13
73,12,13
66,12,13
45,12,13
56,12,13
59,12,13
61,12,13
51,12,13
61,12,13
67,12,13
68,12,13
79,12,13
107,12,13
149,12,13
174,12,13
168,12,13
158,12,13
140,12,13
159,12,13
123,12,13
88,12,13
101,12,13
84,12,13
109,12,13
154,12,13
191,12,13
224,12,13
211,12,13
175,12,13
169,12,13
196,12,13
221,12,13
197,12,13
161,12,13
179,12,13
230,12,13
247,12,13
196,12,13
133,12,13
147,12,13
131,12,13
101,12,13
65,12,13
192,12,13
210,12,13
120,12,13
68,12,13
77,12,13
67,12,13
77,12,13
82,12,13
98,12,13
103,12,13
108,12,13
109,12,13
116,12,13
118,12,13
116,12,13
132,12,13
149,12,13
160,12,13
174,12,13
180,12,13
176,12,13
171,12,13
166,12,13
165,12,13
162,12,13
168,12,13
178,12,13
187,12,13
191,12,13
187,12,13
171,12,13
152,12,13
133,12,13
125,12,13
133,12,13
128,12,13
119,12,13
159,12,13
201,12,13
194,12,13
169,12,13
125,12,13
136,12,13
225,12,13
224,12,13
177,12,13
155,12,13
124,12,13
79,12,13
87,12,13
117,12,13
133,12,13
123,12,13
104,12,13
86,12,13
81,12,13
74,12,13
63,12,13
96,12,13
159,12,13
165,12,13
123,12,13
83,12,13
55,12,13
33,12,13
74,12,13
141,12,13
130,12,13
67,12,13
112,12,13
203,12,13
206,12,13
130,12,13
67,12,13
37,12,13
29,12,13
31,12,13
36,12,13
31,12,13
38,12,13
56,12,13
58,12,13
57,12,13
54,12,13
51,12,13
51,12,13
82,12,13
131,12,13
186,12,13
212,12,13
223,12,13
214,12,13
196,12,13
168,12,13
159,12,13
115,12,13
81,12,13
53,12,13
