R,G,B
148,147,127
146,147,127
143,147,127
139,147,127
137,147,127
134,147,127
128,147,127
123,147,127
113,147,127
109,147,127
99,147,127
85,147,127
76,147,127
68,147,127
60,147,127
52,147,127
43,147,127
51,147,127
69,147,127
89,147,127
99,147,127
102,147,127
105,147,127
106,147,127
108,147,127
107,147,127
105,147,127
100,147,127
96,147,127
92,147,127
92,147,127
92,147,127
102,147,127
105,147,127
108,147,127
115,147,127
124,147,127
135,147,127
148,147,127
163,147,127
178,147,127
189,147,127
199,147,127
204,147,127
208,147,127
208,147,127
210,147,127
212,147,127
215,147,127
213,147,127
214,147,127
215,147,127
216,147,127
218,147,127
220,147,127
221,147,127
221,147,127
223,147,127
224,147,127
223,147,127
221,147,127
217,147,127
215,147,127
212,147,127
210,147,127
208,147,127
206,147,127
205,147,127
203,147,127
202,147,127
202,147,127
201,147,127
200,147,127
200,147,127
196,147,127
189,147,127
191,147,127
199,147,127
206,147,127
206,147,127
203,147,127
205,147,127
202,147,127
202,147,127
203,147,127
202,147,127
196,147,127
194,147,127
193,147,127
197,147,127
188,147,127
187,147,127
180,147,127
165,147,127
140,147,127
98,147,127
63,147,127
48,147,127
41,147,127
44,147,127
51,147,127
48,147,127
58,147,127
100,147,127
138,147,127
166,147,127
183,147,127
184,147,127
187,147,127
189,147,127
188,147,127
190,147,127
190,147,127
194,147,127
196,147,127
200,147,127
203,147,127
203,147,127
204,147,127
209,147,127
206,147,127
207,147,127
200,147,127
187,147,127
177,147,127
175,147,127
169,147,127
161,147,127
150,147,127
141,147,127
122,147,127
99,147,127
85,147,127
86,147,127
98,147,127
106,147,127
107,147,127
109,147,127
112,147,127
111,147,127
106,147,127
102,147,127
97,147,127
91,147,127
81,147,127
78,147,127
103,147,127
138,147,127
143,147,127
141,147,127
145,147,127
149,147,127
154,147,127
156,147,127
160,147,127
158,147,127
152,147,127
153,147,127
154,147,127
148,147,127
146,147,127
148,147,127
147,147,127
148,147,127
148,147,127
145,147,127
140,147,127
135,147,127
125,147,127
127,147,127
127,147,127
123,147,127
123,147,127
127,147,127
131,147,127
131,147,127
124,147,127
123,147,127
122,147,127
117,147,127
108,147,127
110,147,127
114,147,127
111,147,127
103,147,127
98,147,127
93,147,127
94,147,127
94,147,127
88,147,127
80,147,127
79,147,127
82,147,127
89,147,127
99,147,127
105,147,127
111,147,127
117,147,127
121,147,127
120,147,127
122,147,127
119,147,127
115,147,127
112,147,127
106,147,127
99,147,127
95,147,127
94,147,127
93,147,127
97,147,127
102,147,127
100,147,127
93,147,127
89,147,127
89,147,127
87,147,127
91,147,127
83,147,127
73,147,127
68,147,127
75,147,127
78,147,127
69,147,127
56,147,127
67,147,127
78,147,127
90,147,127
92,147,127
80,147,127
66,147,127
63,147,127
68,147,127
69,147,127
67,147,127
66,147,127
70,147,127
79,147,127
96,147,127
112,147,127
124,147,127
125,147,127
127,147,127
130,147,127
129,147,127
124,147,127
111,147,127
101,147,127
96,147,127
83,147,127
78,147,127
149,147,129
148,147,129
145,147,129
142,147,129
140,147,129
137,147,129
131,147,129
126,147,129
117,147,129
113,147,129
104,147,129
93,147,129
85,147,129
77,147,129
67,147,129
59,147,129
47,147,129
52,147,129
69,147,129
89,147,129
101,147,129
106,147,129
108,147,129
108,147,129
104,147,129
101,147,129
96,147,129
92,147,129
89,147,129
90,147,129
93,147,129
96,147,129
100,147,129
104,147,129
106,147,129
113,147,129
122,147,129
133,147,129
147,147,129
162,147,129
176,147,129
187,147,129
197,147,129
203,147,129
207,147,129
207,147,129
209,147,129
211,147,129
214,147,129
212,147,129
214,147,129
215,147,129
216,147,129
218,147,129
220,147,129
221,147,129
223,147,129
224,147,129
225,147,129
223,147,129
222,147,129
218,147,129
216,147,129
213,147,129
210,147,129
209,147,129
207,147,129
205,147,129
204,147,129
203,147,129
201,147,129
201,147,129
199,147,129
200,147,129
195,147,129
190,147,129
191,147,129
198,147,129
204,147,129
205,147,129
202,147,129
202,147,129
200,147,129
201,147,129
202,147,129
199,147,129
195,147,129
194,147,129
196,147,129
201,147,129
192,147,129
190,147,129
181,147,129
168,147,129
149,147,129
109,147,129
76,147,129
58,147,129
47,147,129
46,147,129
44,147,129
35,147,129
40,147,129
69,147,129
111,147,129
138,147,129
158,147,129
167,147,129
173,147,129
174,147,129
172,147,129
172,147,129
176,147,129
177,147,129
177,147,129
182,147,129
187,147,129
190,147,129
191,147,129
196,147,129
198,147,129
196,147,129
191,147,129
180,147,129
174,147,129
172,147,129
168,147,129
161,147,129
152,147,129
138,147,129
116,147,129
98,147,129
88,147,129
89,147,129
100,147,129
109,147,129
110,147,129
110,147,129
113,147,129
116,147,129
111,147,129
103,147,129
99,147,129
97,147,129
84,147,129
78,147,129
101,147,129
132,147,129
141,147,129
144,147,129
151,147,129
155,147,129
163,147,129
163,147,129
163,147,129
160,147,129
155,147,129
156,147,129
156,147,129
150,147,129
142,147,129
144,147,129
145,147,129
146,147,129
143,147,129
140,147,129
134,147,129
127,147,129
116,147,129
118,147,129
119,147,129
120,147,129
126,147,129
134,147,129
138,147,129
138,147,129
120,147,129
116,147,129
116,147,129
116,147,129
114,147,129
120,147,129
121,147,129
117,147,129
106,147,129
100,147,129
92,147,129
89,147,129
85,147,129
78,147,129
74,147,129
79,147,129
90,147,129
110,147,129
127,147,129
139,147,129
146,147,129
152,147,129
150,147,129
150,147,129
146,147,129
142,147,129
138,147,129
135,147,129
130,147,129
123,147,129
117,147,129
114,147,129
115,147,129
117,147,129
122,147,129
121,147,129
117,147,129
115,147,129
113,147,129
110,147,129
104,147,129
104,147,129
102,147,129
98,147,129
97,147,129
97,147,129
95,147,129
91,147,129
95,147,129
103,147,129
112,147,129
115,147,129
107,147,129
96,147,129
92,147,129
95,147,129
99,147,129
99,147,129
102,147,129
103,147,129
108,147,129
117,147,129
126,147,129
133,147,129
129,147,129
129,147,129
130,147,129
129,147,129
126,147,129
120,147,129
118,147,129
117,147,129
114,147,129
109,147,129
150,146,128
149,146,128
147,146,128
144,146,128
142,146,128
140,146,128
135,146,128
130,146,128
123,146,128
120,146,128
112,146,128
102,146,128
96,146,128
88,146,128
77,146,128
68,146,128
54,146,128
56,146,128
68,146,128
86,146,128
100,146,128
107,146,128
108,146,128
105,146,128
99,146,128
95,146,128
90,146,128
88,146,128
88,146,128
91,146,128
95,146,128
98,146,128
101,146,128
103,146,128
105,146,128
111,146,128
120,146,128
132,146,128
145,146,128
157,146,128
172,146,128
183,146,128
194,146,128
201,146,128
205,146,128
208,146,128
208,146,128
210,146,128
213,146,128
213,146,128
213,146,128
215,146,128
217,146,128
217,146,128
219,146,128
221,146,128
224,146,128
226,146,128
226,146,128
224,146,128
223,146,128
219,146,128
217,146,128
213,146,128
209,146,128
210,146,128
207,146,128
205,146,128
205,146,128
204,146,128
202,146,128
202,146,128
198,146,128
199,146,128
196,146,128
191,146,128
191,146,128
197,146,128
202,146,128
203,146,128
203,146,128
201,146,128
201,146,128
202,146,128
203,146,128
198,146,128
193,146,128
194,146,128
197,146,128
202,146,128
195,146,128
191,146,128
182,146,128
170,146,128
156,146,128
120,146,128
80,146,128
56,146,128
48,146,128
45,146,128
38,146,128
33,146,128
37,146,128
53,146,128
80,146,128
99,146,128
113,146,128
123,146,128
134,146,128
141,146,128
144,146,128
149,146,128
153,146,128
155,146,128
158,146,128
166,146,128
174,146,128
175,146,128
176,146,128
180,146,128
183,146,128
179,146,128
173,146,128
170,146,128
169,146,128
168,146,128
162,146,128
157,146,128
148,146,128
130,146,128
109,146,128
96,146,128
90,146,128
92,146,128
99,146,128
107,146,128
110,146,128
110,146,128
118,146,128
124,146,128
118,146,128
107,146,128
104,146,128
105,146,128
86,146,128
78,146,128
96,146,128
125,146,128
141,146,128
149,146,128
157,146,128
161,146,128
170,146,128
168,146,128
165,146,128
162,146,128
159,146,128
157,146,128
154,146,128
147,146,128
143,146,128
143,146,128
145,146,128
144,146,128
142,146,128
137,146,128
132,146,128
128,146,128
119,146,128
118,146,128
116,146,128
116,146,128
122,146,128
129,146,128
131,146,128
128,146,128
114,146,128
111,146,128
111,146,128
116,146,128
122,146,128
127,146,128
126,146,128
115,146,128
97,146,128
93,146,128
88,146,128
82,146,128
73,146,128
66,146,128
70,146,128
84,146,128
120,146,128
148,146,128
170,146,128
177,146,128
183,146,128
181,146,128
172,146,128
172,146,128
170,146,128
167,146,128
164,146,128
163,146,128
160,146,128
154,146,128
147,146,128
142,146,128
139,146,128
138,146,128
139,146,128
139,146,128
137,146,128
137,146,128
135,146,128
130,146,128
123,146,128
127,146,128
131,146,128
129,146,128
122,146,128
118,146,128
120,146,128
123,146,128
122,146,128
126,146,128
132,146,128
135,146,128
130,146,128
123,146,128
120,146,128
121,146,128
127,146,128
129,146,128
131,146,128
132,146,128
132,146,128
134,146,128
135,146,128
136,146,128
131,146,128
131,146,128
131,146,128
131,146,128
131,146,128
130,146,128
133,146,128
135,146,128
132,146,128
128,146,128
151,145,127
150,145,127
148,145,127
146,145,127
144,145,127
142,145,127
138,145,127
133,145,127
129,145,127
125,145,127
117,145,127
109,145,127
103,145,127
96,145,127
86,145,127
76,145,127
63,145,127
60,145,127
66,145,127
81,145,127
94,145,127
102,145,127
102,145,127
98,145,127
94,145,127
92,145,127
90,145,127
90,145,127
92,145,127
95,145,127
96,145,127
96,145,127
102,145,127
105,145,127
105,145,127
108,145,127
117,145,127
128,145,127
142,145,127
153,145,127
166,145,127
178,145,127
189,145,127
197,145,127
202,145,127
205,145,127
206,145,127
209,145,127
213,145,127
212,145,127
212,145,127
214,145,127
217,145,127
217,145,127
219,145,127
221,145,127
225,145,127
226,145,127
226,145,127
225,145,127
221,145,127
220,145,127
216,145,127
213,145,127
210,145,127
208,145,127
206,145,127
206,145,127
204,145,127
204,145,127
202,145,127
202,145,127
199,145,127
199,145,127
197,145,127
194,145,127
192,145,127
195,145,127
200,145,127
202,145,127
206,145,127
203,145,127
202,145,127
204,145,127
204,145,127
197,145,127
192,145,127
194,145,127
195,145,127
199,145,127
193,145,127
192,145,127
182,145,127
172,145,127
159,145,127
124,145,127
78,145,127
51,145,127
46,145,127
45,145,127
38,145,127
39,145,127
45,145,127
54,145,127
49,145,127
59,145,127
65,145,127
74,145,127
88,145,127
99,145,127
107,145,127
116,145,127
118,145,127
124,145,127
132,145,127
142,145,127
151,145,127
153,145,127
157,145,127
162,145,127
166,145,127
162,145,127
159,145,127
161,145,127
165,145,127
165,145,127
160,145,127
155,145,127
139,145,127
120,145,127
101,145,127
96,145,127
94,145,127
95,145,127
97,145,127
102,145,127
108,145,127
113,145,127
123,145,127
129,145,127
123,145,127
114,145,127
110,145,127
108,145,127
90,145,127
82,145,127
94,145,127
119,145,127
138,145,127
150,145,127
161,145,127
167,145,127
170,145,127
169,145,127
167,145,127
163,145,127
159,145,127
154,145,127
148,145,127
143,145,127
144,145,127
145,145,127
146,145,127
143,145,127
141,145,127
139,145,127
135,145,127
131,145,127
128,145,127
125,145,127
120,145,127
116,145,127
117,145,127
120,145,127
118,145,127
115,145,127
114,145,127
110,145,127
113,145,127
118,145,127
123,145,127
126,145,127
117,145,127
103,145,127
84,145,127
85,145,127
83,145,127
76,145,127
65,145,127
62,145,127
80,145,127
107,145,127
159,145,127
186,145,127
197,145,127
193,145,127
195,145,127
189,145,127
179,145,127
180,145,127
182,145,127
180,145,127
179,145,127
180,145,127
180,145,127
175,145,127
167,145,127
160,145,127
152,145,127
152,145,127
152,145,127
150,145,127
147,145,127
146,145,127
144,145,127
137,145,127
138,145,127
138,145,127
140,145,127
140,145,127
138,145,127
132,145,127
132,145,127
135,145,127
138,145,127
139,145,127
142,145,127
144,145,127
142,145,127
136,145,127
135,145,127
139,145,127
141,145,127
144,145,127
146,145,127
145,145,127
143,145,127
140,145,127
138,145,127
136,145,127
132,145,127
133,145,127
135,145,127
135,145,127
134,145,127
133,145,127
137,145,127
141,145,127
137,145,127
133,145,127
153,145,130
153,145,130
152,145,130
150,145,130
148,145,130
146,145,130
142,145,130
139,145,130
135,145,130
131,145,130
122,145,130
113,145,130
106,145,130
100,145,130
91,145,130
