R,G,B
32,53,22
32,53,22
32,53,22
32,53,22
32,53,22
32,53,22
33,53,22
33,53,22
33,53,22
35,53,22
35,53,22
35,53,22
36,53,22
36,53,22
36,53,22
36,53,22
36,53,22
36,53,22
36,53,22
36,53,22
36,53,22
36,53,22
36,53,22
36,53,22
35,53,22
35,53,22
34,53,22
34,53,22
33,53,22
33,53,22
33,53,22
32,53,22
32,53,22
33,53,22
34,53,22
34,53,22
34,53,22
33,53,22
32,53,22
32,53,22
31,53,22
31,53,22
30,53,22
30,53,22
30,53,22
30,53,22
30,53,22
31,53,22
30,53,22
30,53,22
30,53,22
30,53,22
30,53,22
30,53,22
30,53,22
30,53,22
29,53,22
29,53,22
29,53,22
29,53,22
29,53,22
29,53,22
29,53,22
29,53,22
29,53,22
29,53,22
29,53,22
28,53,22
27,53,22
27,53,22
26,53,22
26,53,22
27,53,22
27,53,22
26,53,22
26,53,22
26,53,22
27,53,22
28,53,22
28,53,22
25,53,22
26,53,22
25,53,22
24,53,22
23,53,22
24,53,22
23,53,22
22,53,22
22,53,22
22,53,22
21,53,22
21,53,22
20,53,22
20,53,22
19,53,22
19,53,22
20,53,22
18,53,22
17,53,22
17,53,22
17,53,22
16,53,22
16,53,22
16,53,22
16,53,22
16,53,22
16,53,22
16,53,22
16,53,22
16,53,22
16,53,22
16,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
14,53,22
15,53,22
15,53,22
16,53,22
15,53,22
16,53,22
16,53,22
17,53,22
18,53,22
18,53,22
18,53,22
17,53,22
18,53,22
18,53,22
19,53,22
19,53,22
20,53,22
20,53,22
21,53,22
21,53,22
21,53,22
21,53,22
20,53,22
19,53,22
19,53,22
19,53,22
20,53,22
20,53,22
21,53,22
22,53,22
22,53,22
23,53,22
23,53,22
24,53,22
24,53,22
24,53,22
24,53,22
25,53,22
25,53,22
26,53,22
26,53,22
27,53,22
29,53,22
29,53,22
30,53,22
31,53,22
33,53,22
34,53,22
34,53,22
35,53,22
36,53,22
37,53,22
36,53,22
37,53,22
37,53,22
38,53,22
38,53,22
39,53,22
39,53,22
39,53,22
39,53,22
40,53,22
41,53,22
42,53,22
42,53,22
42,53,22
43,53,22
44,53,22
45,53,22
45,53,22
45,53,22
45,53,22
45,53,22
45,53,22
45,53,22
45,53,22
45,53,22
45,53,22
46,53,22
46,53,22
46,53,22
46,53,22
46,53,22
45,53,22
46,53,22
