R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
150,0,0
164,0,0
163,0,0
160,0,0
157,0,0
153,0,0
157,0,0
158,0,0
159,0,0
161,0,0
163,0,0
165,0,0
165,0,0
165,0,0
165,0,0
164,0,0
166,0,0
164,0,0
161,0,0
159,0,0
159,0,0
161,0,0
162,0,0
163,0,0
160,0,0
158,0,0
157,0,0
158,0,0
159,0,0
160,0,0
162,0,0
166,0,0
162,0,0
161,0,0
161,0,0
163,0,0
165,0,0
164,0,0
163,0,0
162,0,0
162,0,0
165,0,0
166,0,0
165,0,0
163,0,0
161,0,0
159,0,0
157,0,0
163,0,0
164,0,0
164,0,0
162,0,0
160,0,0
159,0,0
160,0,0
162,0,0
166,0,0
167,0,0
168,0,0
170,0,0
171,0,0
170,0,0
168,0,0
167,0,0
168,0,0
171,0,0
174,0,0
174,0,0
170,0,0
166,0,0
165,0,0
165,0,0
166,0,0
166,0,0
167,0,0
166,0,0
166,0,0
166,0,0
168,0,0
170,0,0
172,0,0
172,0,0
172,0,0
172,0,0
173,0,0
173,0,0
171,0,0
169,0,0
171,0,0
170,0,0
168,0,0
167,0,0
166,0,0
165,0,0
164,0,0
164,0,0
166,0,0
167,0,0
168,0,0
169,0,0
171,0,0
173,0,0
176,0,0
177,0,0
172,0,0
172,0,0
174,0,0
177,0,0
175,0,0
170,0,0
168,0,0
169,0,0
170,0,0
163,0,0
171,0,0
180,0,0
178,0,0
184,0,0
186,0,0
173,0,0
161,0,0
146,0,0
107,0,0
103,0,0
126,0,0
137,0,0
146,0,0
148,0,0
149,0,0
153,0,0
157,0,0
154,0,0
148,0,0
145,0,0
146,0,0
148,0,0
153,0,0
146,0,0
145,0,0
145,0,0
137,0,0
124,0,0
123,0,0
130,0,0
153,0,0
161,0,0
175,0,0
182,0,0
176,0,0
169,0,0
164,0,0
160,0,0
153,0,0
150,0,0
152,0,0
159,0,0
161,0,0
158,0,0
161,0,0
164,0,0
163,0,0
163,0,0
161,0,0
160,0,0
160,0,0
162,0,0
165,0,0
167,0,0
