R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
23,0,0
69,0,0
90,0,0
85,0,0
83,0,0
81,0,0
85,0,0
90,0,0
95,0,0
96,0,0
95,0,0
94,0,0
92,0,0
96,0,0
100,0,0
104,0,0
112,0,0
127,0,0
135,0,0
141,0,0
144,0,0
143,0,0
140,0,0
134,0,0
126,0,0
120,0,0
116,0,0
113,0,0
112,0,0
111,0,0
112,0,0
112,0,0
110,0,0
105,0,0
102,0,0
100,0,0
101,0,0
111,0,0
120,0,0
133,0,0
144,0,0
151,0,0
152,0,0
151,0,0
151,0,0
151,0,0
153,0,0
155,0,0
160,0,0
172,0,0
185,0,0
197,0,0
207,0,0
217,0,0
214,0,0
205,0,0
190,0,0
173,0,0
153,0,0
132,0,0
119,0,0
109,0,0
110,0,0
116,0,0
124,0,0
132,0,0
137,0,0
140,0,0
143,0,0
141,0,0
139,0,0
135,0,0
132,0,0
128,0,0
122,0,0
119,0,0
116,0,0
113,0,0
113,0,0
113,0,0
128,0,0
155,0,0
179,0,0
199,0,0
216,0,0
232,0,0
242,0,0
248,0,0
251,0,0
254,0,0
255,0,0
252,0,0
251,0,0
247,0,0
246,0,0
245,0,0
245,0,0
243,0,0
240,0,0
230,0,0
218,0,0
204,0,0
188,0,0
179,0,0
172,0,0
167,0,0
165,0,0
165,0,0
174,0,0
188,0,0
207,0,0
226,0,0
238,0,0
248,0,0
252,0,0
246,0,0
238,0,0
225,0,0
215,0,0
204,0,0
201,0,0
204,0,0
214,0,0
230,0,0
243,0,0
252,0,0
254,0,0
253,0,0
245,0,0
228,0,0
208,0,0
183,0,0
161,0,0
150,0,0
146,0,0
153,0,0
161,0,0
168,0,0
172,0,0
166,0,0
164,0,0
166,0,0
171,0,0
179,0,0
192,0,0
209,0,0
223,0,0
232,0,0
240,0,0
246,0,0
249,0,0
253,0,0
254,0,0
254,0,0
254,0,0
255,0,0
255,0,0
255,0,0
254,0,0
252,0,0
253,0,0
255,0,0
255,0,0
255,0,0
255,0,0
