R,G,B
85,86,90
85,86,90
85,86,90
85,86,90
86,86,90
86,86,90
87,86,90
87,86,90
94,86,90
98,86,90
102,86,90
104,86,90
105,86,90
105,86,90
105,86,90
105,86,90
108,86,90
117,86,90
148,86,90
167,86,90
182,86,90
206,86,90
213,86,90
210,86,90
203,86,90
195,86,90
191,86,90
191,86,90
184,86,90
181,86,90
181,86,90
181,86,90
187,86,90
190,86,90
195,86,90
196,86,90
191,86,90
183,86,90
181,86,90
184,86,90
184,86,90
186,86,90
182,86,90
177,86,90
176,86,90
176,86,90
175,86,90
171,86,90
184,86,90
190,86,90
189,86,90
182,86,90
178,86,90
174,86,90
170,86,90
172,86,90
170,86,90
168,86,90
168,86,90
167,86,90
166,86,90
166,86,90
164,86,90
162,86,90
157,86,90
152,86,90
146,86,90
145,86,90
147,86,90
148,86,90
151,86,90
153,86,90
154,86,90
151,86,90
149,86,90
152,86,90
156,86,90
154,86,90
152,86,90
154,86,90
147,86,90
146,86,90
144,86,90
142,86,90
140,86,90
138,86,90
135,86,90
133,86,90
133,86,90
134,86,90
137,86,90
141,86,90
144,86,90
146,86,90
147,86,90
147,86,90
148,86,90
147,86,90
145,86,90
141,86,90
137,86,90
136,86,90
137,86,90
140,86,90
139,86,90
136,86,90
135,86,90
132,86,90
129,86,90
126,86,90
122,86,90
120,86,90
117,86,90
116,86,90
116,86,90
115,86,90
113,86,90
110,86,90
108,86,90
107,86,90
103,86,90
101,86,90
100,86,90
99,86,90
99,86,90
99,86,90
99,86,90
99,86,90
93,86,90
94,86,90
96,86,90
97,86,90
98,86,90
98,86,90
97,86,90
97,86,90
99,86,90
100,86,90
101,86,90
102,86,90
102,86,90
103,86,90
104,86,90
105,86,90
109,86,90
110,86,90
112,86,90
114,86,90
115,86,90
115,86,90
113,86,90
112,86,90
111,86,90
109,86,90
107,86,90
107,86,90
107,86,90
107,86,90
107,86,90
106,86,90
105,86,90
106,86,90
107,86,90
108,86,90
108,86,90
108,86,90
107,86,90
107,86,90
106,86,90
104,86,90
103,86,90
104,86,90
104,86,90
104,86,90
102,86,90
100,86,90
99,86,90
98,86,90
97,86,90
95,86,90
94,86,90
90,86,90
89,86,90
87,86,90
87,86,90
86,86,90
85,86,90
81,86,90
74,86,90
69,86,90
65,86,90
64,86,90
65,86,90
67,86,90
68,86,90
68,86,90
68,86,90
66,86,90
62,86,90
58,86,90
51,86,90
47,86,90
41,86,90
41,86,90
43,86,90
41,86,90
38,86,90
36,86,90
35,86,90
36,86,90
37,86,90
36,86,90
35,86,90
34,86,90
34,86,90
34,86,90
35,86,90
36,86,90
37,86,90
36,86,90
35,86,90
34,86,90
34,86,90
34,86,90
35,86,90
34,86,90
34,86,90
35,86,90
36,86,90
36,86,90
36,86,90
36,86,90
36,86,90
34,86,90
34,86,90
33,86,90
31,86,90
30,86,90
28,86,90
27,86,90
25,86,90
24,86,90
24,86,90
24,86,90
24,86,90
25,86,90
24,86,90
24,86,90
20,86,90
20,86,90
85,86,90
85,86,90
85,86,90
85,86,90
85,86,90
85,86,90
87,86,90
87,86,90
90,86,90
93,86,90
96,86,90
98,86,90
99,86,90
100,86,90
102,86,90
103,86,90
105,86,90
105,86,90
124,86,90
147,86,90
171,86,90
204,86,90
221,86,90
213,86,90
207,86,90
199,86,90
193,86,90
190,86,90
187,86,90
187,86,90
188,86,90
188,86,90
194,86,90
196,86,90
199,86,90
200,86,90
194,86,90
185,86,90
181,86,90
181,86,90
184,86,90
185,86,90
182,86,90
177,86,90
177,86,90
176,86,90
175,86,90
171,86,90
181,86,90
186,86,90
183,86,90
178,86,90
175,86,90
170,86,90
168,86,90
170,86,90
170,86,90
168,86,90
167,86,90
165,86,90
165,86,90
168,86,90
170,86,90
170,86,90
158,86,90
153,86,90
149,86,90
148,86,90
149,86,90
152,86,90
156,86,90
157,86,90
157,86,90
153,86,90
150,86,90
154,86,90
161,86,90
160,86,90
156,86,90
153,86,90
152,86,90
153,86,90
153,86,90
152,86,90
151,86,90
149,86,90
147,86,90
146,86,90
147,86,90
149,86,90
153,86,90
156,86,90
158,86,90
157,86,90
153,86,90
150,86,90
152,86,90
150,86,90
144,86,90
141,86,90
139,86,90
136,86,90
135,86,90
134,86,90
131,86,90
130,86,90
128,86,90
126,86,90
124,86,90
120,86,90
117,86,90
116,86,90
115,86,90
115,86,90
114,86,90
113,86,90
111,86,90
109,86,90
105,86,90
104,86,90
101,86,90
100,86,90
99,86,90
98,86,90
98,86,90
99,86,90
99,86,90
99,86,90
94,86,90
94,86,90
94,86,90
94,86,90
95,86,90
96,86,90
97,86,90
97,86,90
99,86,90
100,86,90
101,86,90
102,86,90
103,86,90
104,86,90
105,86,90
106,86,90
110,86,90
111,86,90
112,86,90
114,86,90
115,86,90
115,86,90
114,86,90
112,86,90
111,86,90
109,86,90
108,86,90
107,86,90
107,86,90
108,86,90
107,86,90
106,86,90
105,86,90
106,86,90
107,86,90
108,86,90
108,86,90
108,86,90
107,86,90
107,86,90
106,86,90
105,86,90
104,86,90
104,86,90
104,86,90
104,86,90
102,86,90
100,86,90
99,86,90
98,86,90
98,86,90
97,86,90
96,86,90
91,86,90
89,86,90
87,86,90
86,86,90
85,86,90
84,86,90
81,86,90
75,86,90
70,86,90
68,86,90
67,86,90
67,86,90
68,86,90
69,86,90
69,86,90
69,86,90
67,86,90
63,86,90
59,86,90
52,86,90
48,86,90
45,86,90
43,86,90
43,86,90
41,86,90
39,86,90
37,86,90
36,86,90
37,86,90
37,86,90
