R,G,B
50,46,19
71,46,19
86,46,19
96,46,19
92,46,19
76,46,19
62,46,19
49,46,19
49,46,19
59,46,19
73,46,19
74,46,19
71,46,19
65,46,19
53,46,19
51,46,19
59,46,19
58,46,19
64,46,19
77,46,19
87,46,19
87,46,19
79,46,19
72,46,19
66,46,19
61,46,19
64,46,19
62,46,19
50,46,19
46,46,19
54,46,19
59,46,19
54,46,19
57,46,19
59,46,19
68,46,19
81,46,19
83,46,19
75,46,19
72,46,19
77,46,19
73,46,19
66,46,19
72,46,19
82,46,19
70,46,19
50,46,19
47,46,19
45,46,19
42,46,19
42,46,19
45,46,19
43,46,19
43,46,19
50,46,19
57,46,19
69,46,19
64,46,19
49,46,19
29,46,19
20,46,19
21,46,19
33,46,19
46,46,19
37,46,19
26,46,19
22,46,19
25,46,19
27,46,19
30,46,19
29,46,19
24,46,19
21,46,19
20,46,19
21,46,19
22,46,19
22,46,19
20,46,19
22,46,19
26,46,19
31,46,19
35,46,19
39,46,19
38,46,19
33,46,19
26,46,19
28,46,19
36,46,19
32,46,19
31,46,19
33,46,19
38,46,19
37,46,19
31,46,19
28,46,19
28,46,19
37,46,19
49,46,19
49,46,19
47,46,19
42,46,19
37,46,19
41,46,19
42,46,19
29,46,19
14,46,19
6,46,19
7,46,19
5,46,19
5,46,19
9,46,19
15,46,19
7,46,19
0,46,19
0,46,19
0,46,19
0,46,19
3,46,19
9,46,19
8,46,19
17,46,19
14,46,19
9,46,19
7,46,19
5,46,19
4,46,19
4,46,19
5,46,19
3,46,19
4,46,19
4,46,19
5,46,19
5,46,19
5,46,19
5,46,19
4,46,19
5,46,19
5,46,19
5,46,19
5,46,19
5,46,19
5,46,19
5,46,19
5,46,19
5,46,19
4,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
4,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
3,46,19
2,46,19
2,46,19
2,46,19
2,46,19
2,46,19
3,46,19
2,46,19
2,46,19
2,46,19
2,46,19
2,46,19
2,46,19
2,46,19
2,46,19
3,46,19
4,46,19
5,46,19
5,46,19
5,46,19
5,46,19
5,46,19
5,46,19
4,46,19
2,46,19
1,46,19
3,46,19
3,46,19
1,46,19
0,46,19
0,46,19
0,46,19
8,46,19
17,46,19
13,46,19
4,46,19
1,46,19
5,46,19
9,46,19
7,46,19
16,46,19
21,46,19
80,46,19
82,46,19
48,46,19
56,46,19
91,46,19
113,46,19
151,46,19
160,46,19
132,46,19
128,46,19
131,46,19
167,46,19
