R,G,B
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
8,17,28
6,17,28
6,17,28
6,17,28
7,17,28
8,17,28
9,17,28
11,17,28
11,17,28
12,17,28
13,17,28
13,17,28
13,17,28
12,17,28
12,17,28
11,17,28
11,17,28
11,17,28
10,17,28
10,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
10,17,28
9,17,28
9,17,28
9,17,28
10,17,28
11,17,28
11,17,28
12,17,28
12,17,28
12,17,28
12,17,28
11,17,28
11,17,28
12,17,28
12,17,28
12,17,28
11,17,28
11,17,28
12,17,28
11,17,28
10,17,28
8,17,28
9,17,28
9,17,28
10,17,28
8,17,28
8,17,28
6,17,28
6,17,28
8,17,28
8,17,28
8,17,28
8,17,28
8,17,28
9,17,28
9,17,28
10,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
8,17,28
9,17,28
10,17,28
11,17,28
11,17,28
10,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
12,17,28
12,17,28
13,17,28
13,17,28
14,17,28
14,17,28
18,17,28
10,17,28
19,17,28
12,17,28
8,17,28
69,17,28
131,17,28
183,17,28
199,17,28
193,17,28
190,17,28
193,17,28
194,17,28
192,17,28
191,17,28
189,17,28
188,17,28
192,17,28
196,17,28
199,17,28
200,17,28
200,17,28
201,17,28
202,17,28
204,17,28
209,17,28
204,17,28
200,17,28
203,17,28
202,17,28
198,17,28
200,17,28
207,17,28
217,17,28
223,17,28
224,17,28
224,17,28
224,17,28
222,17,28
223,17,28
221,17,28
219,17,28
217,17,28
216,17,28
215,17,28
216,17,28
215,17,28
215,17,28
214,17,28
215,17,28
215,17,28
216,17,28
217,17,28
218,17,28
218,17,28
219,17,28
220,17,28
219,17,28
218,17,28
217,17,28
216,17,28
216,17,28
215,17,28
215,17,28
215,17,28
217,17,28
217,17,28
216,17,28
217,17,28
219,17,28
217,17,28
213,17,28
215,17,28
219,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
8,17,28
8,17,28
8,17,28
9,17,28
10,17,28
10,17,28
11,17,28
11,17,28
12,17,28
12,17,28
12,17,28
12,17,28
12,17,28
12,17,28
11,17,28
11,17,28
11,17,28
10,17,28
10,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
9,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
10,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
11,17,28
10,17,28
9,17,28
9,17,28
9,17,28
10,17,28
10,17,28
11,17,28
11,17,28
12,17,28
12,17,28
12,17,28
12,17,28
11,17,28
