R,G,B
7,4,0
7,4,0
6,4,0
6,4,0
6,4,0
5,4,0
1,4,0
0,4,0
2,4,0
1,4,0
0,4,0
1,4,0
2,4,0
4,4,0
5,4,0
5,4,0
7,4,0
7,4,0
8,4,0
11,4,0
12,4,0
13,4,0
14,4,0
13,4,0
10,4,0
12,4,0
12,4,0
13,4,0
12,4,0
12,4,0
11,4,0
11,4,0
12,4,0
12,4,0
12,4,0
12,4,0
13,4,0
13,4,0
13,4,0
13,4,0
13,4,0
13,4,0
13,4,0
13,4,0
13,4,0
13,4,0
13,4,0
13,4,0
11,4,0
11,4,0
12,4,0
12,4,0
14,4,0
13,4,0
13,4,0
13,4,0
14,4,0
14,4,0
14,4,0
14,4,0
14,4,0
13,4,0
13,4,0
13,4,0
9,4,0
8,4,0
7,4,0
8,4,0
8,4,0
8,4,0
10,4,0
12,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
15,4,0
17,4,0
17,4,0
12,4,0
12,4,0
12,4,0
13,4,0
13,4,0
13,4,0
13,4,0
14,4,0
14,4,0
14,4,0
14,4,0
14,4,0
14,4,0
14,4,0
14,4,0
14,4,0
18,4,0
16,4,0
16,4,0
16,4,0
14,4,0
12,4,0
11,4,0
9,4,0
8,4,0
7,4,0
5,4,0
4,4,0
2,4,0
2,4,0
2,4,0
0,4,0
5,4,0
5,4,0
4,4,0
5,4,0
5,4,0
6,4,0
7,4,0
8,4,0
8,4,0
9,4,0
9,4,0
10,4,0
10,4,0
10,4,0
9,4,0
9,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
6,4,0
7,4,0
7,4,0
5,4,0
6,4,0
6,4,0
5,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
11,4,0
11,4,0
10,4,0
7,4,0
3,4,0
2,4,0
3,4,0
5,4,0
11,4,0
13,4,0
11,4,0
8,4,0
10,4,0
15,4,0
15,4,0
11,4,0
6,4,0
8,4,0
14,4,0
21,4,0
24,4,0
23,4,0
23,4,0
25,4,0
23,4,0
22,4,0
17,4,0
15,4,0
21,4,0
36,4,0
75,4,0
119,4,0
173,4,0
200,4,0
227,4,0
222,4,0
218,4,0
220,4,0
216,4,0
229,4,0
227,4,0
222,4,0
226,4,0
229,4,0
229,4,0
236,4,0
239,4,0
231,4,0
227,4,0
233,4,0
235,4,0
235,4,0
235,4,0
234,4,0
234,4,0
237,4,0
237,4,0
236,4,0
237,4,0
239,4,0
239,4,0
236,4,0
236,4,0
238,4,0
240,4,0
241,4,0
242,4,0
242,4,0
241,4,0
240,4,0
239,4,0
238,4,0
238,4,0
238,4,0
238,4,0
239,4,0
236,4,0
237,4,0
239,4,0
241,4,0
244,4,0
248,4,0
252,4,0
252,4,0
248,4,0
244,4,0
240,4,0
240,4,0
243,4,0
245,4,0
248,4,0
249,4,0
251,4,0
253,4,0
255,4,0
255,4,0
255,4,0
255,4,0
7,5,0
8,5,0
7,5,0
6,5,0
6,5,0
5,5,0
2,5,0
2,5,0
2,5,0
1,5,0
0,5,0
2,5,0
2,5,0
4,5,0
5,5,0
6,5,0
7,5,0
7,5,0
8,5,0
11,5,0
14,5,0
14,5,0
15,5,0
13,5,0
11,5,0
12,5,0
13,5,0
13,5,0
13,5,0
12,5,0
12,5,0
11,5,0
12,5,0
12,5,0
12,5,0
13,5,0
13,5,0
13,5,0
14,5,0
14,5,0
13,5,0
13,5,0
13,5,0
13,5,0
13,5,0
13,5,0
13,5,0
13,5,0
11,5,0
12,5,0
12,5,0
12,5,0
14,5,0
13,5,0
14,5,0
13,5,0
15,5,0
15,5,0
15,5,0
15,5,0
15,5,0
14,5,0
14,5,0
14,5,0
9,5,0
8,5,0
9,5,0
8,5,0
8,5,0
9,5,0
10,5,0
13,5,0
12,5,0
14,5,0
14,5,0
16,5,0
16,5,0
16,5,0
17,5,0
17,5,0
13,5,0
13,5,0
13,5,0
13,5,0
13,5,0
14,5,0
14,5,0
14,5,0
14,5,0
14,5,0
14,5,0
14,5,0
14,5,0
14,5,0
14,5,0
14,5,0
17,5,0
17,5,0
17,5,0
15,5,0
14,5,0
13,5,0
12,5,0
10,5,0
9,5,0
8,5,0
5,5,0
4,5,0
4,5,0
3,5,0
2,5,0
2,5,0
6,5,0
6,5,0
5,5,0
6,5,0
6,5,0
7,5,0
8,5,0
9,5,0
9,5,0
