R,G,B
15,41,28
16,41,28
16,41,28
17,41,28
15,41,28
14,41,28
12,41,28
13,41,28
10,41,28
11,41,28
11,41,28
9,41,28
8,41,28
8,41,28
10,41,28
11,41,28
8,41,28
8,41,28
8,41,28
8,41,28
8,41,28
8,41,28
8,41,28
8,41,28
9,41,28
8,41,28
8,41,28
7,41,28
8,41,28
8,41,28
7,41,28
6,41,28
8,41,28
8,41,28
7,41,28
6,41,28
6,41,28
6,41,28
6,41,28
6,41,28
6,41,28
6,41,28
6,41,28
6,41,28
5,41,28
5,41,28
5,41,28
5,41,28
7,41,28
5,41,28
2,41,28
3,41,28
5,41,28
5,41,28
9,41,28
13,41,28
26,41,28
37,41,28
44,41,28
48,41,28
51,41,28
58,41,28
62,41,28
61,41,28
66,41,28
67,41,28
70,41,28
73,41,28
78,41,28
85,41,28
88,41,28
91,41,28
94,41,28
96,41,28
99,41,28
102,41,28
106,41,28
107,41,28
111,41,28
111,41,28
115,41,28
119,41,28
122,41,28
124,41,28
126,41,28
127,41,28
125,41,28
124,41,28
124,41,28
123,41,28
123,41,28
121,41,28
120,41,28
120,41,28
120,41,28
121,41,28
121,41,28
118,41,28
119,41,28
118,41,28
120,41,28
126,41,28
135,41,28
135,41,28
116,41,28
123,41,28
131,41,28
143,41,28
144,41,28
134,41,28
130,41,28
128,41,28
118,41,28
113,41,28
111,41,28
101,41,28
75,41,28
77,41,28
78,41,28
79,41,28
86,41,28
92,41,28
77,41,28
112,41,28
120,41,28
121,41,28
120,41,28
112,41,28
109,41,28
103,41,28
100,41,28
106,41,28
116,41,28
124,41,28
128,41,28
135,41,28
136,41,28
138,41,28
143,41,28
147,41,28
150,41,28
154,41,28
156,41,28
158,41,28
152,41,28
153,41,28
153,41,28
151,41,28
148,41,28
145,41,28
143,41,28
143,41,28
137,41,28
128,41,28
116,41,28
107,41,28
103,41,28
101,41,28
106,41,28
113,41,28
120,41,28
122,41,28
140,41,28
149,41,28
132,41,28
121,41,28
190,41,28
253,41,28
255,41,28
255,41,28
247,41,28
252,41,28
232,41,28
160,41,28
97,41,28
133,41,28
144,41,28
159,41,28
162,41,28
155,41,28
152,41,28
152,41,28
153,41,28
155,41,28
154,41,28
148,41,28
144,41,28
141,41,28
138,41,28
134,41,28
134,41,28
133,41,28
125,41,28
120,41,28
116,41,28
118,41,28
121,41,28
122,41,28
125,41,28
129,41,28
130,41,28
130,41,28
127,41,28
125,41,28
121,41,28
115,41,28
111,41,28
108,41,28
110,41,28
103,41,28
96,41,28
90,41,28
82,41,28
72,41,28
46,41,28
19,41,28
9,41,28
9,41,28
8,41,28
12,41,28
26,41,28
41,41,28
54,41,28
63,41,28
64,41,28
67,41,28
70,41,28
74,41,28
76,41,28
76,41,28
79,41,28
88,41,28
92,41,28
99,41,28
110,41,28
118,41,28
124,41,28
129,41,28
137,41,28
144,41,28
149,41,28
140,41,28
159,41,28
202,41,28
231,41,28
240,41,28
239,41,28
232,41,28
198,41,28
170,41,28
14,39,26
15,39,26
15,39,26
17,39,26
16,39,26
14,39,26
13,39,26
13,39,26
11,39,26
11,39,26
10,39,26
9,39,26
8,39,26
8,39,26
9,39,26
9,39,26
8,39,26
8,39,26
8,39,26
8,39,26
8,39,26
8,39,26
8,39,26
8,39,26
9,39,26
8,39,26
8,39,26
7,39,26
8,39,26
8,39,26
7,39,26
6,39,26
8,39,26
8,39,26
7,39,26
6,39,26
6,39,26
6,39,26
6,39,26
6,39,26
6,39,26
6,39,26
6,39,26
6,39,26
5,39,26
5,39,26
5,39,26
5,39,26
6,39,26
5,39,26
4,39,26
4,39,26
5,39,26
4,39,26
7,39,26
9,39,26
21,39,26
33,39,26
43,39,26
47,39,26
51,39,26
57,39,26
61,39,26
61,39,26
62,39,26
64,39,26
68,39,26
72,39,26
78,39,26
84,39,26
87,39,26
89,39,26
93,39,26
95,39,26
99,39,26
102,39,26
106,39,26
107,39,26
111,39,26
112,39,26
116,39,26
119,39,26
121,39,26
122,39,26
125,39,26
126,39,26
124,39,26
123,39,26
124,39,26
123,39,26
122,39,26
121,39,26
120,39,26
120,39,26
120,39,26
120,39,26
117,39,26
115,39,26
116,39,26
116,39,26
118,39,26
122,39,26
128,39,26
124,39,26
108,39,26
118,39,26
126,39,26
137,39,26
138,39,26
130,39,26
127,39,26
124,39,26
114,39,26
111,39,26
104,39,26
92,39,26
74,39,26
73,39,26
64,39,26
66,39,26
95,39,26
106,39,26
77,39,26
88,39,26
99,39,26
113,39,26
116,39,26
106,39,26
105,39,26
101,39,26
98,39,26
99,39,26
109,39,26
117,39,26
124,39,26
131,39,26
133,39,26
135,39,26
139,39,26
144,39,26
148,39,26
150,39,26
154,39,26
155,39,26
150,39,26
149,39,26
148,39,26
147,39,26
145,39,26
143,39,26
141,39,26
140,39,26
132,39,26
121,39,26
112,39,26
105,39,26
103,39,26
106,39,26
113,39,26
120,39,26
129,39,26
135,39,26
144,39,26
146,39,26
129,39,26
121,39,26
186,39,26
227,39,26
255,39,26
246,39,26
247,39,26
249,39,26
214,39,26
147,39,26
93,39,26
118,39,26
134,39,26
149,39,26
157,39,26
158,39,26
158,39,26
157,39,26
155,39,26
154,39,26
155,39,26
149,39,26
144,39,26
142,39,26
137,39,26
133,39,26
131,39,26
129,39,26
122,39,26
117,39,26
113,39,26
114,39,26
115,39,26
117,39,26
119,39,26
124,39,26
125,39,26
125,39,26
124,39,26
122,39,26
119,39,26
114,39,26
109,39,26
107,39,26
108,39,26
102,39,26
93,39,26
86,39,26
79,39,26
67,39,26
46,39,26
20,39,26
7,39,26
8,39,26
7,39,26
10,39,26
24,39,26
38,39,26
52,39,26
61,39,26
67,39,26
70,39,26
71,39,26
74,39,26
76,39,26
75,39,26
77,39,26
81,39,26
86,39,26
90,39,26
97,39,26
107,39,26
113,39,26
120,39,26
125,39,26
130,39,26
135,39,26
129,39,26
141,39,26
172,39,26
204,39,26
228,39,26
239,39,26
240,39,26
246,39,26
228,39,26
16,38,26
15,38,26
16,38,26
17,38,26
18,38,26
15,38,26
13,38,26
12,38,26
11,38,26
12,38,26
10,38,26
10,38,26
9,38,26
8,38,26
8,38,26
8,38,26
9,38,26
9,38,26
9,38,26
9,38,26
9,38,26
9,38,26
9,38,26
9,38,26
9,38,26
9,38,26
8,38,26
8,38,26
8,38,26
8,38,26
7,38,26
6,38,26
8,38,26
8,38,26
7,38,26
6,38,26
6,38,26
6,38,26
6,38,26
6,38,26
6,38,26
6,38,26
6,38,26
6,38,26
5,38,26
5,38,26
5,38,26
5,38,26
5,38,26
5,38,26
5,38,26
4,38,26
5,38,26
4,38,26
3,38,26
4,38,26
13,38,26
27,38,26
38,38,26
45,38,26
50,38,26
55,38,26
58,38,26
58,38,26
59,38,26
61,38,26
66,38,26
71,38,26
77,38,26
83,38,26
85,38,26
88,38,26
91,38,26
94,38,26
98,38,26
102,38,26
105,38,26
109,38,26
111,38,26
113,38,26
116,38,26
118,38,26
121,38,26
121,38,26
123,38,26
124,38,26
123,38,26
122,38,26
124,38,26
123,38,26
122,38,26
120,38,26
120,38,26
119,38,26
119,38,26
119,38,26
114,38,26
112,38,26
112,38,26
113,38,26
114,38,26
119,38,26
117,38,26
112,38,26
100,38,26
114,38,26
122,38,26
130,38,26
129,38,26
125,38,26
124,38,26
120,38,26
115,38,26
113,38,26
98,38,26
88,38,26
79,38,26
71,38,26
53,38,26
64,38,26
110,38,26
121,38,26
75,38,26
60,38,26
76,38,26
96,38,26
102,38,26
97,38,26
100,38,26
98,38,26
94,38,26
92,38,26
99,38,26
109,38,26
118,38,26
124,38,26
127,38,26
130,38,26
133,38,26
136,38,26
141,38,26
144,38,26
148,38,26
149,38,26
146,38,26
145,38,26
143,38,26
143,38,26
143,38,26
141,38,26
137,38,26
135,38,26
123,38,26
114,38,26
105,38,26
104,38,26
107,38,26
112,38,26
121,38,26
127,38,26
138,38,26
147,38,26
147,38,26
142,38,26
121,38,26
116,38,26
173,38,26
187,38,26
214,38,26
217,38,26
229,38,26
216,38,26
160,38,26
114,38,26
86,38,26
105,38,26
118,38,26
133,38,26
147,38,26
155,38,26
160,38,26
160,38,26
157,38,26
155,38,26
