R,G,B
34,33,47
36,33,47
35,33,47
36,33,47
36,33,47
40,33,47
43,33,47
45,33,47
44,33,47
42,33,47
43,33,47
46,33,47
47,33,47
46,33,47
46,33,47
47,33,47
47,33,47
47,33,47
45,33,47
42,33,47
36,33,47
31,33,47
26,33,47
24,33,47
23,33,47
24,33,47
21,33,47
18,33,47
20,33,47
24,33,47
24,33,47
22,33,47
20,33,47
22,33,47
24,33,47
25,33,47
26,33,47
26,33,47
26,33,47
27,33,47
25,33,47
26,33,47
26,33,47
26,33,47
26,33,47
26,33,47
27,33,47
27,33,47
28,33,47
29,33,47
29,33,47
31,33,47
31,33,47
28,33,47
26,33,47
23,33,47
22,33,47
20,33,47
20,33,47
20,33,47
22,33,47
23,33,47
23,33,47
22,33,47
26,33,47
30,33,47
38,33,47
45,33,47
53,33,47
58,33,47
65,33,47
68,33,47
71,33,47
71,33,47
73,33,47
73,33,47
75,33,47
75,33,47
76,33,47
76,33,47
76,33,47
76,33,47
76,33,47
73,33,47
69,33,47
65,33,47
59,33,47
54,33,47
49,33,47
41,33,47
33,33,47
26,33,47
13,33,47
7,33,47
4,33,47
3,33,47
0,33,47
0,33,47
6,33,47
14,33,47
21,33,47
22,33,47
21,33,47
19,33,47
25,33,47
25,33,47
29,33,47
35,33,47
37,33,47
38,33,47
38,33,47
39,33,47
39,33,47
39,33,47
38,33,47
35,33,47
33,33,47
31,33,47
31,33,47
33,33,47
33,33,47
33,33,47
34,33,47
36,33,47
39,33,47
41,33,47
42,33,47
43,33,47
46,33,47
48,33,47
50,33,47
53,33,47
53,33,47
52,33,47
51,33,47
49,33,47
45,33,47
44,33,47
42,33,47
42,33,47
41,33,47
41,33,47
40,33,47
39,33,47
42,33,47
42,33,47
42,33,47
39,33,47
38,33,47
39,33,47
38,33,47
36,33,47
36,33,47
37,33,47
37,33,47
39,33,47
39,33,47
40,33,47
38,33,47
37,33,47
34,33,47
34,33,47
33,33,47
31,33,47
30,33,47
28,33,47
23,33,47
19,33,47
16,33,47
17,33,47
18,33,47
21,33,47
23,33,47
23,33,47
22,33,47
21,33,47
16,33,47
13,33,47
7,33,47
3,33,47
1,33,47
3,33,47
2,33,47
2,33,47
1,33,47
3,33,47
7,33,47
13,33,47
19,33,47
25,33,47
30,33,47
33,33,47
34,33,47
35,33,47
34,33,47
33,33,47
35,33,47
35,33,47
32,33,47
26,33,47
22,33,47
17,33,47
10,33,47
7,33,47
5,33,47
2,33,47
0,33,47
0,33,47
1,33,47
1,33,47
2,33,47
2,33,47
3,33,47
4,33,47
4,33,47
4,33,47
4,33,47
3,33,47
1,33,47
2,33,47
4,33,47
5,33,47
5,33,47
4,33,47
3,33,47
3,33,47
2,33,47
2,33,47
1,33,47
1,33,47
2,33,47
2,33,47
4,33,47
3,33,47
2,33,47
1,33,47
2,33,47
4,33,47
5,33,47
7,33,47
8,33,47
9,33,47
10,33,47
11,33,47
11,33,47
11,33,47
11,33,47
11,33,47
12,33,47
12,33,47
35,36,50
37,36,50
37,36,50
37,36,50
37,36,50
41,36,50
43,36,50
45,36,50
43,36,50
41,36,50
42,36,50
46,36,50
47,36,50
47,36,50
47,36,50
48,36,50
48,36,50
47,36,50
45,36,50
41,36,50
35,36,50
30,36,50
25,36,50
22,36,50
21,36,50
21,36,50
19,36,50
16,36,50
19,36,50
22,36,50
23,36,50
21,36,50
19,36,50
21,36,50
23,36,50
25,36,50
25,36,50
25,36,50
25,36,50
26,36,50
25,36,50
25,36,50
26,36,50
26,36,50
26,36,50
26,36,50
26,36,50
27,36,50
28,36,50
29,36,50
29,36,50
32,36,50
31,36,50
28,36,50
27,36,50
23,36,50
22,36,50
21,36,50
20,36,50
21,36,50
22,36,50
23,36,50
23,36,50
22,36,50
26,36,50
29,36,50
37,36,50
45,36,50
53,36,50
58,36,50
64,36,50
68,36,50
71,36,50
71,36,50
