R,G,B
105,102,83
104,102,83
84,102,83
61,102,83
42,102,83
53,102,83
66,102,83
76,102,83
74,102,83
71,102,83
69,102,83
70,102,83
71,102,83
72,102,83
72,102,83
74,102,83
75,102,83
75,102,83
77,102,83
79,102,83
80,102,83
79,102,83
79,102,83
87,102,83
92,102,83
97,102,83
96,102,83
90,102,83
88,102,83
90,102,83
98,102,83
105,102,83
104,102,83
99,102,83
95,102,83
95,102,83
94,102,83
92,102,83
95,102,83
99,102,83
103,102,83
99,102,83
93,102,83
89,102,83
87,102,83
87,102,83
87,102,83
88,102,83
92,102,83
92,102,83
91,102,83
91,102,83
91,102,83
91,102,83
91,102,83
90,102,83
89,102,83
89,102,83
89,102,83
89,102,83
89,102,83
88,102,83
87,102,83
87,102,83
85,102,83
86,102,83
88,102,83
91,102,83
92,102,83
93,102,83
93,102,83
92,102,83
93,102,83
93,102,83
92,102,83
92,102,83
92,102,83
91,102,83
91,102,83
91,102,83
93,102,83
93,102,83
93,102,83
92,102,83
92,102,83
92,102,83
92,102,83
92,102,83
92,102,83
92,102,83
92,102,83
94,102,83
93,102,83
94,102,83
95,102,83
95,102,83
91,102,83
91,102,83
91,102,83
90,102,83
90,102,83
90,102,83
90,102,83
90,102,83
89,102,83
89,102,83
89,102,83
88,102,83
88,102,83
88,102,83
88,102,83
88,102,83
87,102,83
90,102,83
93,102,83
97,102,83
99,102,83
100,102,83
99,102,83
99,102,83
98,102,83
98,102,83
98,102,83
98,102,83
98,102,83
98,102,83
98,102,83
98,102,83
99,102,83
99,102,83
99,102,83
99,102,83
99,102,83
99,102,83
99,102,83
99,102,83
99,102,83
99,102,83
101,102,83
102,102,83
103,102,83
103,102,83
103,102,83
103,102,83
104,102,83
104,102,83
104,102,83
103,102,83
103,102,83
103,102,83
103,102,83
103,102,83
104,102,83
104,102,83
104,102,83
103,102,83
103,102,83
103,102,83
103,102,83
103,102,83
102,102,83
103,102,83
104,102,83
105,102,83
105,102,83
104,102,83
103,102,83
103,102,83
103,102,83
103,102,83
103,102,83
103,102,83
102,102,83
102,102,83
102,102,83
102,102,83
103,102,83
103,102,83
103,102,83
102,102,83
102,102,83
102,102,83
102,102,83
100,102,83
100,102,83
99,102,83
99,102,83
98,102,83
97,102,83
96,102,83
95,102,83
94,102,83
93,102,83
93,102,83
93,102,83
93,102,83
93,102,83
92,102,83
92,102,83
92,102,83
91,102,83
92,102,83
92,102,83
91,102,83
91,102,83
90,102,83
89,102,83
89,102,83
89,102,83
90,102,83
92,102,83
94,102,83
94,102,83
94,102,83
93,102,83
93,102,83
89,102,83
91,102,83
90,102,83
88,102,83
87,102,83
85,102,83
84,102,83
84,102,83
81,102,83
80,102,83
80,102,83
81,102,83
81,102,83
79,102,83
79,102,83
79,102,83
78,102,83
76,102,83
77,102,83
76,102,83
75,102,83
73,102,83
72,102,83
72,102,83
67,102,83
67,102,83
67,102,83
68,102,83
68,102,83
69,102,83
70,102,83
70,102,83
72,102,83
72,102,83
104,100,81
103,100,81
84,100,81
61,100,81
42,100,81
53,100,81
65,100,81
75,100,81
74,100,81
71,100,81
68,100,81
69,100,81
71,100,81
73,100,81
72,100,81
73,100,81
75,100,81
76,100,81
76,100,81
78,100,81
80,100,81
79,100,81
79,100,81
85,100,81
93,100,81
97,100,81
97,100,81
91,100,81
90,100,81
91,100,81
98,100,81
104,100,81
102,100,81
97,100,81
94,100,81
94,100,81
93,100,81
93,100,81
96,100,81
100,100,81
102,100,81
98,100,81
93,100,81
89,100,81
87,100,81
88,100,81
89,100,81
90,100,81
92,100,81
92,100,81
92,100,81
91,100,81
91,100,81
91,100,81
90,100,81
90,100,81
89,100,81
89,100,81
90,100,81
89,100,81
89,100,81
88,100,81
87,100,81
87,100,81
87,100,81
88,100,81
89,100,81
91,100,81
92,100,81
92,100,81
92,100,81
92,100,81
92,100,81
92,100,81
92,100,81
92,100,81
92,100,81
91,100,81
91,100,81
91,100,81
93,100,81
93,100,81
93,100,81
93,100,81
92,100,81
92,100,81
92,100,81
92,100,81
93,100,81
93,100,81
93,100,81
94,100,81
94,100,81
95,100,81
96,100,81
96,100,81
91,100,81
91,100,81
91,100,81
91,100,81
91,100,81
91,100,81
91,100,81
91,100,81
90,100,81
89,100,81
89,100,81
89,100,81
89,100,81
89,100,81
89,100,81
89,100,81
89,100,81
91,100,81
94,100,81
96,100,81
98,100,81
99,100,81
98,100,81
98,100,81
98,100,81
98,100,81
98,100,81
98,100,81
97,100,81
97,100,81
97,100,81
97,100,81
100,100,81
100,100,81
100,100,81
100,100,81
100,100,81
100,100,81
99,100,81
99,100,81
99,100,81
100,100,81
101,100,81
102,100,81
102,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
103,100,81
101,100,81
102,100,81
103,100,81
104,100,81
104,100,81
104,100,81
103,100,81
102,100,81
103,100,81
103,100,81
103,100,81
103,100,81
102,100,81
102,100,81
102,100,81
102,100,81
101,100,81
101,100,81
101,100,81
101,100,81
101,100,81
101,100,81
101,100,81
100,100,81
98,100,81
98,100,81
97,100,81
97,100,81
96,100,81
95,100,81
94,100,81
94,100,81
93,100,81
93,100,81
93,100,81
93,100,81
92,100,81
92,100,81
92,100,81
92,100,81
92,100,81
92,100,81
91,100,81
91,100,81
91,100,81
90,100,81
90,100,81
90,100,81
89,100,81
90,100,81
92,100,81
93,100,81
94,100,81
93,100,81
93,100,81
92,100,81
90,100,81
89,100,81
90,100,81
88,100,81
87,100,81
85,100,81
84,100,81
83,100,81
80,100,81
80,100,81
79,100,81
79,100,81
79,100,81
79,100,81
79,100,81
78,100,81
77,100,81
76,100,81
76,100,81
76,100,81
75,100,81
73,100,81
73,100,81
70,100,81
68,100,81
68,100,81
68,100,81
68,100,81
69,100,81
70,100,81
71,100,81
71,100,81
72,100,81
72,100,81
102,82,62
102,82,62
83,82,62
61,82,62
41,82,62
52,82,62
62,82,62
74,82,62
74,82,62
70,82,62
67,82,62
69,82,62
72,82,62
74,82,62
73,82,62
73,82,62
75,82,62
75,82,62
73,82,62
75,82,62
78,82,62
78,82,62
79,82,62
84,82,62
93,82,62
98,82,62
98,82,62
94,82,62
93,82,62
96,82,62
99,82,62
104,82,62
100,82,62
95,82,62
91,82,62
92,82,62
94,82,62
96,82,62
98,82,62
101,82,62
102,82,62
99,82,62
93,82,62
90,82,62
89,82,62
90,82,62
92,82,62
93,82,62
97,82,62
97,82,62
96,82,62
96,82,62
95,82,62
95,82,62
95,82,62
94,82,62
94,82,62
94,82,62
94,82,62
94,82,62
93,82,62
92,82,62
92,82,62
91,82,62
92,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
92,82,62
92,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
94,82,62
92,82,62
94,82,62
93,82,62
95,82,62
96,82,62
96,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
93,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
93,82,62
94,82,62
95,82,62
97,82,62
98,82,62
98,82,62
98,82,62
98,82,62
98,82,62
97,82,62
97,82,62
97,82,62
97,82,62
97,82,62
97,82,62
97,82,62
98,82,62
98,82,62
98,82,62
98,82,62
97,82,62
97,82,62
97,82,62
97,82,62
96,82,62
97,82,62
97,82,62
98,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
99,82,62
98,82,62
99,82,62
100,82,62
100,82,62
101,82,62
100,82,62
100,82,62
100,82,62
100,82,62
100,82,62
100,82,62
100,82,62
100,82,62
99,82,62
99,82,62
99,82,62
98,82,62
98,82,62
98,82,62
99,82,62
99,82,62
99,82,62
99,82,62
98,82,62
96,82,62
96,82,62
96,82,62
95,82,62
95,82,62
94,82,62
94,82,62
94,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
92,82,62
91,82,62
91,82,62
91,82,62
91,82,62
91,82,62
91,82,62
91,82,62
91,82,62
92,82,62
92,82,62
93,82,62
93,82,62
92,82,62
92,82,62
90,82,62
89,82,62
88,82,62
86,82,62
86,82,62
85,82,62
83,82,62
83,82,62
80,82,62
79,82,62
79,82,62
79,82,62
79,82,62
79,82,62
78,82,62
78,82,62
76,82,62
75,82,62
76,82,62
76,82,62
74,82,62
73,82,62
73,82,62
70,82,62
68,82,62
68,82,62
69,82,62
69,82,62
70,82,62
71,82,62
72,82,62
72,82,62
74,82,62
74,82,62
99,59,39
100,59,39
81,59,39
60,59,39
39,59,39
50,59,39
62,59,39
75,59,39
74,59,39
69,59,39
67,59,39
70,59,39
73,59,39
75,59,39
74,59,39
74,59,39
76,59,39
74,59,39
70,59,39
71,59,39
75,59,39
77,59,39
81,59,39
84,59,39
92,59,39
97,59,39
98,59,39
96,59,39
97,59,39
99,59,39
102,59,39
106,59,39
101,59,39
94,59,39
89,59,39
92,59,39
98,59,39
102,59,39
103,59,39
101,59,39
100,59,39
98,59,39
95,59,39
93,59,39
92,59,39
94,59,39
96,59,39
97,59,39
101,59,39
101,59,39
101,59,39
100,59,39
100,59,39
99,59,39
99,59,39
99,59,39
98,59,39
98,59,39
98,59,39
98,59,39
97,59,39
97,59,39
96,59,39
95,59,39
95,59,39
94,59,39
93,59,39
92,59,39
92,59,39
91,59,39
91,59,39
91,59,39
92,59,39
92,59,39
92,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
94,59,39
94,59,39
94,59,39
94,59,39
94,59,39
94,59,39
92,59,39
93,59,39
93,59,39
94,59,39
95,59,39
95,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
92,59,39
92,59,39
92,59,39
92,59,39
93,59,39
94,59,39
94,59,39
94,59,39
94,59,39
95,59,39
95,59,39
95,59,39
94,59,39
94,59,39
94,59,39
94,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
92,59,39
92,59,39
92,59,39
92,59,39
92,59,39
92,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
94,59,39
94,59,39
93,59,39
93,59,39
93,59,39
93,59,39
94,59,39
94,59,39
94,59,39
94,59,39
93,59,39
93,59,39
94,59,39
95,59,39
95,59,39
95,59,39
95,59,39
95,59,39
95,59,39
95,59,39
95,59,39
95,59,39
95,59,39
95,59,39
94,59,39
94,59,39
95,59,39
95,59,39
95,59,39
96,59,39
96,59,39
96,59,39
96,59,39
96,59,39
94,59,39
94,59,39
94,59,39
94,59,39
93,59,39
93,59,39
93,59,39
93,59,39
94,59,39
94,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
94,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
93,59,39
94,59,39
92,59,39
91,59,39
91,59,39
92,59,39
92,59,39
92,59,39
92,59,39
91,59,39
90,59,39
89,59,39
87,59,39
85,59,39
84,59,39
82,59,39
81,59,39
81,59,39
79,59,39
78,59,39
78,59,39
78,59,39
78,59,39
78,59,39
78,59,39
77,59,39
77,59,39
76,59,39
76,59,39
74,59,39
73,59,39
73,59,39
70,59,39
70,59,39
68,59,39
68,59,39
68,59,39
69,59,39
71,59,39
72,59,39
73,59,39
74,59,39
76,59,39
76,59,39
97,37,17
97,37,17
78,37,17
57,37,17
38,37,17
48,37,17
61,37,17
74,37,17
73,37,17
69,37,17
68,37,17
70,37,17
74,37,17
76,37,17
76,37,17
75,37,17
77,37,17
75,37,17
70,37,17
68,37,17
73,37,17
77,37,17
82,37,17
86,37,17
91,37,17
96,37,17
98,37,17
99,37,17
100,37,17
101,37,17
103,37,17
106,37,17
101,37,17
93,37,17
88,37,17
91,37,17
100,37,17
105,37,17
104,37,17
102,37,17
100,37,17
99,37,17
98,37,17
97,37,17
95,37,17
96,37,17
98,37,17
100,37,17
103,37,17
103,37,17
103,37,17
102,37,17
102,37,17
102,37,17
102,37,17
101,37,17
101,37,17
101,37,17
101,37,17
101,37,17
100,37,17
100,37,17
99,37,17
98,37,17
97,37,17
96,37,17
95,37,17
93,37,17
92,37,17
91,37,17
91,37,17
91,37,17
92,37,17
93,37,17
93,37,17
93,37,17
93,37,17
94,37,17
94,37,17
94,37,17
95,37,17
94,37,17
95,37,17
95,37,17
95,37,17
95,37,17
95,37,17
96,37,17
95,37,17
95,37,17
94,37,17
94,37,17
94,37,17
94,37,17
95,37,17
95,37,17
95,37,17
95,37,17
95,37,17
96,37,17
96,37,17
96,37,17
96,37,17
96,37,17
95,37,17
95,37,17
95,37,17
95,37,17
95,37,17
95,37,17
95,37,17
95,37,17
96,37,17
96,37,17
95,37,17
95,37,17
94,37,17
94,37,17
95,37,17
95,37,17
93,37,17
93,37,17
93,37,17
93,37,17
93,37,17
93,37,17
93,37,17
93,37,17
92,37,17
92,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
90,37,17
90,37,17
90,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
91,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
92,37,17
93,37,17
93,37,17
93,37,17
93,37,17
94,37,17
94,37,17
94,37,17
94,37,17
93,37,17
93,37,17
93,37,17
92,37,17
92,37,17
92,37,17
92,37,17
