R,G,B
60,63,52
55,63,52
42,63,52
62,63,52
91,63,52
134,63,52
123,63,52
98,63,52
57,63,52
42,63,52
32,63,52
27,63,52
36,63,52
69,63,52
101,63,52
108,63,52
105,63,52
101,63,52
82,63,52
62,63,52
42,63,52
46,63,52
58,63,52
92,63,52
115,63,52
129,63,52
123,63,52
100,63,52
77,63,52
50,63,52
44,63,52
64,63,52
96,63,52
106,63,52
103,63,52
88,63,52
81,63,52
80,63,52
75,63,52
70,63,52
74,63,52
84,63,52
91,63,52
93,63,52
90,63,52
83,63,52
80,63,52
86,63,52
98,63,52
98,63,52
92,63,52
79,63,52
66,63,52
54,63,52
49,63,52
53,63,52
61,63,52
77,63,52
87,63,52
85,63,52
73,63,52
68,63,52
63,63,52
46,63,52
44,63,52
62,63,52
91,63,52
107,63,52
99,63,52
80,63,52
66,63,52
59,63,52
65,63,52
76,63,52
85,63,52
83,63,52
68,63,52
55,63,52
50,63,52
54,63,52
54,63,52
54,63,52
52,63,52
46,63,52
43,63,52
43,63,52
53,63,52
66,63,52
85,63,52
79,63,52
76,63,52
73,63,52
80,63,52
80,63,52
59,63,52
50,63,52
50,63,52
45,63,52
43,63,52
44,63,52
42,63,52
42,63,52
46,63,52
49,63,52
49,63,52
50,63,52
48,63,52
46,63,52
46,63,52
50,63,52
52,63,52
52,63,52
52,63,52
46,63,52
43,63,52
47,63,52
56,63,52
68,63,52
79,63,52
87,63,52
111,63,52
141,63,52
172,63,52
192,63,52
195,63,52
184,63,52
169,63,52
165,63,52
171,63,52
164,63,52
162,63,52
162,63,52
162,63,52
146,63,52
135,63,52
113,63,52
90,63,52
127,63,52
161,63,52
183,63,52
177,63,52
166,63,52
181,63,52
203,63,52
214,63,52
204,63,52
187,63,52
167,63,52
143,63,52
117,63,52
105,63,52
106,63,52
109,63,52
109,63,52
120,63,52
131,63,52
156,63,52
172,63,52
188,63,52
190,63,52
184,63,52
169,63,52
153,63,52
146,63,52
145,63,52
149,63,52
150,63,52
149,63,52
146,63,52
145,63,52
135,63,52
125,63,52
119,63,52
110,63,52
104,63,52
111,63,52
155,63,52
151,63,52
145,63,52
154,63,52
165,63,52
173,63,52
172,63,52
157,63,52
139,63,52
126,63,52
126,63,52
141,63,52
179,63,52
189,63,52
181,63,52
164,63,52
136,63,52
122,63,52
130,63,52
139,63,52
162,63,52
169,63,52
165,63,52
156,63,52
147,63,52
136,63,52
138,63,52
142,63,52
142,63,52
142,63,52
141,63,52
145,63,52
140,63,52
143,63,52
147,63,52
146,63,52
137,63,52
127,63,52
111,63,52
93,63,52
71,63,52
59,63,52
53,63,52
56,63,52
61,63,52
68,63,52
68,63,52
63,63,52
57,63,52
75,63,52
93,63,52
109,63,52
122,63,52
129,63,52
126,63,52
128,63,52
127,63,52
128,63,52
129,63,52
126,63,52
124,63,52
128,63,52
130,63,52
128,63,52
120,63,52
122,63,52
127,63,52
133,63,52
135,63,52
137,63,52
139,63,52
143,63,52
143,63,52
143,63,52
56,56,45
53,56,45
44,56,45
64,56,45
90,56,45
128,56,45
120,56,45
99,56,45
63,56,45
46,56,45
33,56,45
30,56,45
40,56,45
67,56,45
97,56,45
112,56,45
110,56,45
109,56,45
90,56,45
64,56,45
41,56,45
46,56,45
57,56,45
86,56,45
99,56,45
105,56,45
98,56,45
87,56,45
75,56,45
53,56,45
48,56,45
69,56,45
100,56,45
108,56,45
104,56,45
90,56,45
84,56,45
85,56,45
80,56,45
73,56,45
88,56,45
97,56,45
101,56,45
101,56,45
97,56,45
85,56,45
80,56,45
85,56,45
96,56,45
104,56,45
105,56,45
94,56,45
75,56,45
59,56,45
56,56,45
61,56,45
69,56,45
84,56,45
94,56,45
98,56,45
95,56,45
94,56,45
85,56,45
60,56,45
50,56,45
62,56,45
86,56,45
104,56,45
101,56,45
82,56,45
65,56,45
56,56,45
64,56,45
77,56,45
87,56,45
84,56,45
67,56,45
52,56,45
46,56,45
48,56,45
53,56,45
51,56,45
47,56,45
44,56,45
40,56,45
39,56,45
46,56,45
61,56,45
75,56,45
73,56,45
71,56,45
68,56,45
74,56,45
73,56,45
54,56,45
44,56,45
48,56,45
45,56,45
47,56,45
49,56,45
48,56,45
47,56,45
50,56,45
52,56,45
54,56,45
54,56,45
52,56,45
49,56,45
47,56,45
50,56,45
52,56,45
51,56,45
49,56,45
46,56,45
44,56,45
47,56,45
55,56,45
70,56,45
91,56,45
107,56,45
134,56,45
162,56,45
187,56,45
198,56,45
197,56,45
188,56,45
181,56,45
179,56,45
185,56,45
172,56,45
165,56,45
158,56,45
155,56,45
137,56,45
133,56,45
117,56,45
102,56,45
144,56,45
175,56,45
181,56,45
167,56,45
155,56,45
171,56,45
192,56,45
204,56,45
191,56,45
164,56,45
133,56,45
113,56,45
102,56,45
98,56,45
100,56,45
100,56,45
99,56,45
112,56,45
125,56,45
153,56,45
173,56,45
190,56,45
193,56,45
186,56,45
170,56,45
151,56,45
138,56,45
131,56,45
