R,G,B
0,0,2
2,0,2
0,0,2
0,0,2
13,0,2
45,0,2
50,0,2
51,0,2
48,0,2
49,0,2
51,0,2
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
57,0,2
59,0,2
62,0,2
63,0,2
62,0,2
62,0,2
62,0,2
63,0,2
66,0,2
65,0,2
65,0,2
67,0,2
67,0,2
66,0,2
67,0,2
68,0,2
62,0,2
61,0,2
60,0,2
59,0,2
59,0,2
61,0,2
64,0,2
67,0,2
69,0,2
71,0,2
72,0,2
74,0,2
75,0,2
76,0,2
78,0,2
80,0,2
84,0,2
86,0,2
87,0,2
89,0,2
90,0,2
93,0,2
92,0,2
92,0,2
92,0,2
93,0,2
93,0,2
94,0,2
96,0,2
99,0,2
98,0,2
99,0,2
94,0,2
93,0,2
93,0,2
92,0,2
91,0,2
89,0,2
87,0,2
85,0,2
85,0,2
84,0,2
83,0,2
82,0,2
80,0,2
79,0,2
78,0,2
77,0,2
76,0,2
75,0,2
74,0,2
73,0,2
73,0,2
73,0,2
72,0,2
71,0,2
71,0,2
70,0,2
69,0,2
68,0,2
68,0,2
70,0,2
69,0,2
68,0,2
68,0,2
67,0,2
67,0,2
66,0,2
66,0,2
67,0,2
67,0,2
68,0,2
68,0,2
68,0,2
70,0,2
69,0,2
68,0,2
66,0,2
67,0,2
70,0,2
73,0,2
74,0,2
75,0,2
75,0,2
76,0,2
77,0,2
80,0,2
82,0,2
84,0,2
88,0,2
94,0,2
100,0,2
105,0,2
110,0,2
115,0,2
118,0,2
121,0,2
124,0,2
129,0,2
132,0,2
136,0,2
139,0,2
141,0,2
144,0,2
144,0,2
145,0,2
149,0,2
150,0,2
152,0,2
154,0,2
156,0,2
158,0,2
158,0,2
159,0,2
160,0,2
161,0,2
162,0,2
164,0,2
165,0,2
166,0,2
167,0,2
167,0,2
167,0,2
166,0,2
166,0,2
165,0,2
164,0,2
164,0,2
162,0,2
162,0,2
162,0,2
161,0,2
161,0,2
160,0,2
160,0,2
159,0,2
159,0,2
158,0,2
157,0,2
156,0,2
156,0,2
158,0,2
159,0,2
160,0,2
161,0,2
161,0,2
160,0,2
160,0,2
162,0,2
162,0,2
162,0,2
160,0,2
160,0,2
160,0,2
161,0,2
163,0,2
163,0,2
163,0,2
162,0,2
163,0,2
164,0,2
164,0,2
165,0,2
166,0,2
166,0,2
166,0,2
167,0,2
167,0,2
170,0,2
170,0,2
170,0,2
171,0,2
173,0,2
174,0,2
175,0,2
176,0,2
174,0,2
175,0,2
178,0,2
180,0,2
179,0,2
180,0,2
181,0,2
183,0,2
184,0,2
185,0,2
185,0,2
185,0,2
186,0,2
187,0,2
187,0,2
187,0,2
189,0,2
187,0,2
188,0,2
188,0,2
187,0,2
187,0,2
187,0,2
187,0,2
185,0,2
188,0,2
188,0,2
187,0,2
185,0,2
186,0,2
188,0,2
190,0,2
188,0,2
189,0,2
190,0,2
192,0,2
193,0,2
195,0,2
197,0,2
199,0,2
200,0,2
201,0,2
0,2,4
2,2,4
0,2,4
0,2,4
12,2,4
44,2,4
49,2,4
50,2,4
49,2,4
50,2,4
52,2,4
54,2,4
55,2,4
56,2,4
57,2,4
58,2,4
58,2,4
60,2,4
63,2,4
64,2,4
64,2,4
63,2,4
63,2,4
64,2,4
65,2,4
65,2,4
65,2,4
67,2,4
67,2,4
67,2,4
68,2,4
71,2,4
64,2,4
63,2,4
62,2,4
61,2,4
60,2,4
62,2,4
65,2,4
67,2,4
70,2,4
72,2,4
74,2,4
76,2,4
76,2,4
77,2,4
79,2,4
81,2,4
84,2,4
85,2,4
87,2,4
88,2,4
89,2,4
92,2,4
92,2,4
91,2,4
91,2,4
93,2,4
94,2,4
94,2,4
97,2,4
100,2,4
100,2,4
99,2,4
96,2,4
95,2,4
95,2,4
94,2,4
92,2,4
90,2,4
87,2,4
85,2,4
85,2,4
85,2,4
84,2,4
82,2,4
81,2,4
80,2,4
78,2,4
78,2,4
76,2,4
75,2,4
74,2,4
73,2,4
73,2,4
74,2,4
73,2,4
