R,G,B
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
17,12,19
16,12,19
16,12,19
15,12,19
15,12,19
15,12,19
16,12,19
16,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
16,12,19
16,12,19
16,12,19
16,12,19
17,12,19
17,12,19
17,12,19
15,12,19
15,12,19
15,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
15,12,19
16,12,19
17,12,19
16,12,19
15,12,19
14,12,19
14,12,19
14,12,19
17,12,19
16,12,19
15,12,19
15,12,19
15,12,19
15,12,19
16,12,19
17,12,19
18,12,19
18,12,19
18,12,19
18,12,19
18,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
15,12,19
16,12,19
19,12,19
21,12,19
23,12,19
25,12,19
26,12,19
27,12,19
27,12,19
27,12,19
27,12,19
28,12,19
28,12,19
28,12,19
28,12,19
28,12,19
32,12,19
33,12,19
33,12,19
32,12,19
32,12,19
33,12,19
33,12,19
33,12,19
33,12,19
33,12,19
34,12,19
33,12,19
33,12,19
34,12,19
34,12,19
33,12,19
33,12,19
35,12,19
35,12,19
34,12,19
35,12,19
38,12,19
40,12,19
40,12,19
42,12,19
42,12,19
43,12,19
45,12,19
47,12,19
49,12,19
49,12,19
49,12,19
50,12,19
47,12,19
42,12,19
39,12,19
38,12,19
39,12,19
36,12,19
35,12,19
36,12,19
38,12,19
39,12,19
41,12,19
44,12,19
45,12,19
45,12,19
45,12,19
46,12,19
42,12,19
42,12,19
39,12,19
37,12,19
37,12,19
35,12,19
33,12,19
36,12,19
42,12,19
44,12,19
43,12,19
44,12,19
45,12,19
45,12,19
43,12,19
37,12,19
38,12,19
40,12,19
42,12,19
45,12,19
43,12,19
41,12,19
41,12,19
43,12,19
45,12,19
46,12,19
48,12,19
48,12,19
50,12,19
51,12,19
52,12,19
54,12,19
52,12,19
51,12,19
52,12,19
55,12,19
57,12,19
56,12,19
57,12,19
58,12,19
66,12,19
76,12,19
85,12,19
93,12,19
103,12,19
108,12,19
111,12,19
124,12,19
125,12,19
125,12,19
127,12,19
127,12,19
130,12,19
132,12,19
132,12,19
136,12,19
139,12,19
141,12,19
141,12,19
143,12,19
142,12,19
144,12,19
144,12,19
146,12,19
141,12,19
140,12,19
145,12,19
152,12,19
156,12,19
157,12,19
159,12,19
159,12,19
159,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
14,12,19
14,12,19
14,12,19
14,12,19
14,12,19
14,12,19
14,12,19
14,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
17,12,19
16,12,19
16,12,19
15,12,19
15,12,19
15,12,19
15,12,19
16,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
15,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
16,12,19
15,12,19
16,12,19
16,12,19
16,12,19
15,12,19
14,12,19
14,12,19
14,12,19
16,12,19
15,12,19
15,12,19
15,12,19
15,12,19
16,12,19
16,12,19
16,12,19
19,12,19
19,12,19
19,12,19
18,12,19
18,12,19
18,12,19
18,12,19
18,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
17,12,19
16,12,19
17,12,19
18,12,19
21,12,19
23,12,19
24,12,19
26,12,19
27,12,19
27,12,19
27,12,19
28,12,19
28,12,19
28,12,19
28,12,19
28,12,19
29,12,19
32,12,19
33,12,19
32,12,19
32,12,19
32,12,19
33,12,19
33,12,19
33,12,19
33,12,19
33,12,19
34,12,19
33,12,19
33,12,19
34,12,19
34,12,19
33,12,19
35,12,19
36,12,19
36,12,19
35,12,19
35,12,19
37,12,19
39,12,19
39,12,19
42,12,19
42,12,19
43,12,19
45,12,19
47,12,19
49,12,19
49,12,19
49,12,19
49,12,19
47,12,19
41,12,19
39,12,19
39,12,19
38,12,19
36,12,19
35,12,19
36,12,19
38,12,19
39,12,19
41,12,19
43,12,19
44,12,19
44,12,19
43,12,19
45,12,19
43,12,19
40,12,19
37,12,19
34,12,19
34,12,19
33,12,19
34,12,19
38,12,19
42,12,19
44,12,19
45,12,19
47,12,19
49,12,19
50,12,19
49,12,19
43,12,19
43,12,19
44,12,19
47,12,19
47,12,19
47,12,19
45,12,19
46,12,19
43,12,19
45,12,19
46,12,19
45,12,19
46,12,19
49,12,19
55,12,19
62,12,19
66,12,19
66,12,19
66,12,19
67,12,19
67,12,19
67,12,19
65,12,19
66,12,19
64,12,19
75,12,19
85,12,19
95,12,19
104,12,19
111,12,19
116,12,19
115,12,19
126,12,19
127,12,19
128,12,19
131,12,19
131,12,19
132,12,19
135,12,19
136,12,19
138,12,19
140,12,19
144,12,19
144,12,19
145,12,19
145,12,19
145,12,19
147,12,19
147,12,19
143,12,19
141,12,19
144,12,19
151,12,19
157,12,19
158,12,19
158,12,19
157,12,19
158,12,19
14,11,18
14,11,18
14,11,18
14,11,18
14,11,18
14,11,18
14,11,18
14,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
14,11,18
14,11,18
14,11,18
14,11,18
14,11,18
14,11,18
14,11,18
14,11,18
16,11,18
16,11,18
16,11,18
16,11,18
16,11,18
16,11,18
16,11,18
16,11,18
16,11,18
16,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
16,11,18
15,11,18
15,11,18
15,11,18
15,11,18
15,11,18
