R,G,B
28,51,85
30,51,85
30,51,85
32,51,85
34,51,85
35,51,85
35,51,85
33,51,85
31,51,85
30,51,85
28,51,85
27,51,85
25,51,85
21,51,85
15,51,85
12,51,85
9,51,85
8,51,85
7,51,85
7,51,85
6,51,85
4,51,85
4,51,85
4,51,85
4,51,85
2,51,85
1,51,85
5,51,85
12,51,85
17,51,85
23,51,85
31,51,85
44,51,85
55,51,85
69,51,85
80,51,85
93,51,85
106,51,85
120,51,85
134,51,85
138,51,85
144,51,85
145,51,85
146,51,85
150,51,85
151,51,85
154,51,85
157,51,85
160,51,85
161,51,85
160,51,85
159,51,85
158,51,85
153,51,85
150,51,85
147,51,85
142,51,85
139,51,85
134,51,85
129,51,85
125,51,85
122,51,85
119,51,85
119,51,85
120,51,85
118,51,85
116,51,85
118,51,85
119,51,85
120,51,85
119,51,85
119,51,85
124,51,85
126,51,85
127,51,85
128,51,85
127,51,85
124,51,85
123,51,85
122,51,85
128,51,85
124,51,85
121,51,85
122,51,85
121,51,85
121,51,85
118,51,85
115,51,85
115,51,85
112,51,85
110,51,85
111,51,85
113,51,85
115,51,85
119,51,85
124,51,85
128,51,85
130,51,85
133,51,85
136,51,85
139,51,85
142,51,85
145,51,85
147,51,85
151,51,85
154,51,85
158,51,85
158,51,85
160,51,85
160,51,85
164,51,85
165,51,85
164,51,85
163,51,85
160,51,85
158,51,85
156,51,85
155,51,85
154,51,85
154,51,85
149,51,85
150,51,85
150,51,85
152,51,85
153,51,85
154,51,85
154,51,85
154,51,85
155,51,85
157,51,85
158,51,85
160,51,85
160,51,85
160,51,85
158,51,85
156,51,85
156,51,85
156,51,85
154,51,85
154,51,85
153,51,85
153,51,85
151,51,85
151,51,85
152,51,85
150,51,85
141,51,85
139,51,85
142,51,85
136,51,85
111,51,85
74,51,85
84,51,85
121,51,85
194,51,85
230,51,85
255,51,85
241,51,85
221,51,85
193,51,85
221,51,85
239,51,85
237,51,85
231,51,85
230,51,85
226,51,85
226,51,85
223,51,85
227,51,85
230,51,85
230,51,85
231,51,85
227,51,85
221,51,85
212,51,85
205,51,85
202,51,85
196,51,85
190,51,85
188,51,85
188,51,85
187,51,85
186,51,85
188,51,85
186,51,85
186,51,85
185,51,85
184,51,85
184,51,85
187,51,85
188,51,85
189,51,85
190,51,85
189,51,85
189,51,85
189,51,85
189,51,85
191,51,85
192,51,85
193,51,85
192,51,85
192,51,85
191,51,85
191,51,85
192,51,85
194,51,85
195,51,85
196,51,85
197,51,85
196,51,85
194,51,85
194,51,85
195,51,85
195,51,85
193,51,85
192,51,85
193,51,85
192,51,85
192,51,85
193,51,85
194,51,85
195,51,85
195,51,85
195,51,85
194,51,85
193,51,85
193,51,85
194,51,85
195,51,85
194,51,85
192,51,85
190,51,85
189,51,85
190,51,85
191,51,85
191,51,85
191,51,85
191,51,85
190,51,85
189,51,85
189,51,85
189,51,85
189,51,85
189,51,85
190,51,85
191,51,85
192,51,85
192,51,85
189,51,85
189,51,85
26,51,83
28,51,83
29,51,83
31,51,83
33,51,83
34,51,83
34,51,83
32,51,83
30,51,83
30,51,83
28,51,83
27,51,83
24,51,83
21,51,83
15,51,83
12,51,83
9,51,83
9,51,83
7,51,83
6,51,83
4,51,83
4,51,83
5,51,83
6,51,83
4,51,83
3,51,83
2,51,83
7,51,83
12,51,83
19,51,83
26,51,83
34,51,83
49,51,83
60,51,83
73,51,83
84,51,83
97,51,83
109,51,83
122,51,83
135,51,83
140,51,83
146,51,83
149,51,83
151,51,83
155,51,83
156,51,83
155,51,83
157,51,83
163,51,83
162,51,83
159,51,83
158,51,83
158,51,83
155,51,83
152,51,83
148,51,83
142,51,83
141,51,83
137,51,83
132,51,83
128,51,83
124,51,83
123,51,83
121,51,83
121,51,83
121,51,83
122,51,83
122,51,83
121,51,83
121,51,83
120,51,83
123,51,83
126,51,83
128,51,83
129,51,83
131,51,83
130,51,83
128,51,83
126,51,83
124,51,83
125,51,83
125,51,83
123,51,83
124,51,83
124,51,83
123,51,83
120,51,83
116,51,83
114,51,83
111,51,83
109,51,83
109,51,83
111,51,83
112,51,83
117,51,83
121,51,83
130,51,83
129,51,83
131,51,83
133,51,83
136,51,83
139,51,83
143,51,83
145,51,83
150,51,83
152,51,83
156,51,83
158,51,83
158,51,83
161,51,83
162,51,83
165,51,83
162,51,83
161,51,83
160,51,83
158,51,83
155,51,83
154,51,83
154,51,83
154,51,83
152,51,83
151,51,83
151,51,83
153,51,83
154,51,83
155,51,83
154,51,83
153,51,83
154,51,83
156,51,83
157,51,83
159,51,83
160,51,83
159,51,83
157,51,83
156,51,83
156,51,83
156,51,83
154,51,83
154,51,83
153,51,83
153,51,83
151,51,83
150,51,83
152,51,83
149,51,83
139,51,83
138,51,83
136,51,83
124,51,83
98,51,83
64,51,83
88,51,83
138,51,83
216,51,83
238,51,83
246,51,83
229,51,83
217,51,83
198,51,83
223,51,83
238,51,83
234,51,83
228,51,83
228,51,83
226,51,83
225,51,83
222,51,83
226,51,83
228,51,83
228,51,83
228,51,83
226,51,83
219,51,83
209,51,83
202,51,83
199,51,83
194,51,83
190,51,83
188,51,83
188,51,83
186,51,83
185,51,83
187,51,83
185,51,83
185,51,83
185,51,83
184,51,83
184,51,83
185,51,83
188,51,83
188,51,83
190,51,83
190,51,83
190,51,83
189,51,83
190,51,83
191,51,83
192,51,83
193,51,83
193,51,83
193,51,83
192,51,83
193,51,83
194,51,83
195,51,83
197,51,83
198,51,83
197,51,83
196,51,83
195,51,83
