R,G,B
41,51,63
41,51,63
40,51,63
37,51,63
37,51,63
37,51,63
37,51,63
38,51,63
37,51,63
36,51,63
37,51,63
39,51,63
42,51,63
45,51,63
48,51,63
51,51,63
52,51,63
54,51,63
56,51,63
55,51,63
56,51,63
57,51,63
58,51,63
58,51,63
59,51,63
58,51,63
59,51,63
59,51,63
59,51,63
60,51,63
60,51,63
60,51,63
60,51,63
59,51,63
58,51,63
58,51,63
60,51,63
62,51,63
63,51,63
63,51,63
64,51,63
64,51,63
63,51,63
63,51,63
63,51,63
66,51,63
66,51,63
67,51,63
66,51,63
67,51,63
67,51,63
67,51,63
66,51,63
65,51,63
64,51,63
63,51,63
61,51,63
60,51,63
59,51,63
58,51,63
58,51,63
58,51,63
58,51,63
57,51,63
58,51,63
58,51,63
58,51,63
57,51,63
57,51,63
56,51,63
57,51,63
57,51,63
57,51,63
55,51,63
53,51,63
52,51,63
50,51,63
49,51,63
47,51,63
46,51,63
46,51,63
45,51,63
45,51,63
43,51,63
43,51,63
42,51,63
44,51,63
44,51,63
44,51,63
44,51,63
44,51,63
45,51,63
46,51,63
45,51,63
46,51,63
46,51,63
50,51,63
52,51,63
55,51,63
58,51,63
60,51,63
61,51,63
60,51,63
61,51,63
59,51,63
62,51,63
62,51,63
62,51,63
62,51,63
63,51,63
62,51,63
62,51,63
62,51,63
61,51,63
59,51,63
58,51,63
57,51,63
56,51,63
57,51,63
56,51,63
56,51,63
55,51,63
52,51,63
50,51,63
50,51,63
47,51,63
44,51,63
42,51,63
42,51,63
40,51,63
40,51,63
41,51,63
42,51,63
43,51,63
47,51,63
52,51,63
56,51,63
61,51,63
69,51,63
75,51,63
81,51,63
86,51,63
91,51,63
95,51,63
100,51,63
99,51,63
101,51,63
101,51,63
101,51,63
99,51,63
95,51,63
94,51,63
94,51,63
92,51,63
90,51,63
87,51,63
85,51,63
84,51,63
82,51,63
81,51,63
72,51,63
64,51,63
71,51,63
65,51,63
59,51,63
89,51,63
122,51,63
129,51,63
118,51,63
79,51,63
70,51,63
73,51,63
74,51,63
80,51,63
78,51,63
78,51,63
77,51,63
77,51,63
78,51,63
82,51,63
89,51,63
101,51,63
109,51,63
114,51,63
113,51,63
112,51,63
113,51,63
115,51,63
116,51,63
120,51,63
122,51,63
120,51,63
117,51,63
103,51,63
88,51,63
75,51,63
65,51,63
60,51,63
58,51,63
56,51,63
49,51,63
46,51,63
43,51,63
42,51,63
41,51,63
42,51,63
41,51,63
40,51,63
39,51,63
35,51,63
32,51,63
31,51,63
25,51,63
17,51,63
18,51,63
25,51,63
34,51,63
34,51,63
35,51,63
34,51,63
33,51,63
28,51,63
24,51,63
19,51,63
14,51,63
10,51,63
3,51,63
0,51,63
0,51,63
2,51,63
4,51,63
5,51,63
4,51,63
6,51,63
6,51,63
7,51,63
6,51,63
6,51,63
3,51,63
1,51,63
5,51,63
7,51,63
8,51,63
7,51,63
7,51,63
10,51,63
10,51,63
7,51,63
10,51,63
10,51,63
41,50,62
40,50,62
40,50,62
37,50,62
37,50,62
37,50,62
37,50,62
37,50,62
36,50,62
36,50,62
37,50,62
38,50,62
42,50,62
44,50,62
47,50,62
50,50,62
52,50,62
54,50,62
56,50,62
56,50,62
56,50,62
58,50,62
58,50,62
58,50,62
59,50,62
58,50,62
59,50,62
59,50,62
59,50,62
60,50,62
60,50,62
60,50,62
60,50,62
59,50,62
58,50,62
58,50,62
60,50,62
62,50,62
63,50,62
63,50,62
64,50,62
64,50,62
63,50,62
63,50,62
63,50,62
65,50,62
66,50,62
66,50,62
66,50,62
66,50,62
66,50,62
67,50,62
66,50,62
65,50,62
64,50,62
63,50,62
61,50,62
60,50,62
59,50,62
58,50,62
58,50,62
58,50,62
57,50,62
57,50,62
59,50,62
58,50,62
58,50,62
58,50,62
57,50,62
58,50,62
56,50,62
57,50,62
57,50,62
54,50,62
53,50,62
51,50,62
48,50,62
47,50,62
45,50,62
43,50,62
44,50,62
45,50,62
43,50,62
42,50,62
42,50,62
41,50,62
43,50,62
43,50,62
44,50,62
44,50,62
45,50,62
45,50,62
46,50,62
47,50,62
46,50,62
46,50,62
50,50,62
53,50,62
56,50,62
59,50,62
61,50,62
60,50,62
61,50,62
61,50,62
60,50,62
62,50,62
63,50,62
63,50,62
63,50,62
64,50,62
63,50,62
63,50,62
62,50,62
61,50,62
58,50,62
57,50,62
56,50,62
54,50,62
54,50,62
53,50,62
53,50,62
51,50,62
49,50,62
48,50,62
46,50,62
45,50,62
43,50,62
41,50,62
40,50,62
39,50,62
39,50,62
41,50,62
43,50,62
44,50,62
48,50,62
54,50,62
58,50,62
63,50,62
71,50,62
77,50,62
83,50,62
88,50,62
93,50,62
96,50,62
100,50,62
101,50,62
103,50,62
103,50,62
102,50,62
101,50,62
98,50,62
95,50,62
95,50,62
93,50,62
91,50,62
87,50,62
87,50,62
85,50,62
83,50,62
82,50,62
76,50,62
68,50,62
71,50,62
63,50,62
58,50,62
83,50,62
113,50,62
127,50,62
124,50,62
89,50,62
75,50,62
69,50,62
69,50,62
77,50,62
76,50,62
76,50,62
77,50,62
77,50,62
78,50,62
82,50,62
90,50,62
99,50,62
109,50,62
113,50,62
114,50,62
113,50,62
114,50,62
117,50,62
118,50,62
122,50,62
122,50,62
118,50,62
113,50,62
99,50,62
84,50,62
76,50,62
70,50,62
71,50,62
75,50,62
75,50,62
66,50,62
69,50,62
74,50,62
76,50,62
76,50,62
75,50,62
73,50,62
71,50,62
71,50,62
66,50,62
61,50,62
58,50,62
51,50,62
45,50,62
42,50,62
43,50,62
47,50,62
43,50,62
41,50,62
35,50,62
30,50,62
23,50,62
17,50,62
12,50,62
10,50,62
7,50,62
1,50,62
0,50,62
0,50,62
0,50,62
2,50,62
3,50,62
0,50,62
2,50,62
3,50,62
3,50,62
5,50,62
6,50,62
6,50,62
3,50,62
10,50,62
11,50,62
11,50,62
8,50,62
7,50,62
8,50,62
9,50,62
9,50,62
10,50,62
9,50,62
40,49,61
40,49,61
39,49,61
37,49,61
37,49,61
37,49,61
37,49,61
37,49,61
36,49,61
35,49,61
36,49,61
38,49,61
41,49,61
43,49,61
47,49,61
50,49,61
51,49,61
53,49,61
56,49,61
56,49,61
57,49,61
58,49,61
58,49,61
58,49,61
59,49,61
58,49,61
59,49,61
59,49,61
59,49,61
60,49,61
60,49,61
60,49,61
60,49,61
59,49,61
58,49,61
59,49,61
60,49,61
63,49,61
63,49,61
64,49,61
64,49,61
63,49,61
63,49,61
63,49,61
63,49,61
63,49,61
65,49,61
65,49,61
64,49,61
65,49,61
66,49,61
66,49,61
66,49,61
65,49,61
64,49,61
64,49,61
61,49,61
60,49,61
59,49,61
58,49,61
58,49,61
57,49,61
57,49,61
56,49,61
58,49,61
58,49,61
57,49,61
57,49,61
57,49,61
57,49,61
55,49,61
55,49,61
55,49,61
52,49,61
50,49,61
48,49,61
46,49,61
43,49,61
41,49,61
39,49,61
42,49,61
41,49,61
40,49,61
40,49,61
39,49,61
39,49,61
42,49,61
42,49,61
43,49,61
43,49,61
44,49,61
45,49,61
46,49,61
47,49,61
46,49,61
46,49,61
51,49,61
53,49,61
56,49,61
59,49,61
61,49,61
61,49,61
62,49,61
62,49,61
61,49,61
64,49,61
64,49,61
64,49,61
64,49,61
66,49,61
65,49,61
64,49,61
62,49,61
61,49,61
57,49,61
55,49,61
53,49,61
51,49,61
48,49,61
47,49,61
47,49,61
46,49,61
44,49,61
43,49,61
42,49,61
40,49,61
40,49,61
38,49,61
38,49,61
37,49,61
39,49,61
40,49,61
43,49,61
46,49,61
51,49,61
56,49,61
62,49,61
67,49,61
75,49,61
81,49,61
86,49,61
91,49,61
96,49,61
98,49,61
102,49,61
103,49,61
105,49,61
105,49,61
105,49,61
104,49,61
100,49,61
98,49,61
97,49,61
95,49,61
91,49,61
89,49,61
87,49,61
85,49,61
86,49,61
85,49,61
82,49,61
76,49,61
74,49,61
62,49,61
59,49,61
75,49,61
98,49,61
121,49,61
124,49,61
104,49,61
85,49,61
68,49,61
67,49,61
73,49,61
71,49,61
74,49,61
76,49,61
76,49,61
78,49,61
83,49,61
90,49,61
99,49,61
106,49,61
112,49,61
114,49,61
