R,G,B
1,1,0
98,1,0
247,1,0
253,1,0
253,1,0
254,1,0
251,1,0
250,1,0
249,1,0
251,1,0
251,1,0
252,1,0
255,1,0
254,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
250,1,0
252,1,0
252,1,0
252,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
252,1,0
252,1,0
252,1,0
252,1,0
252,1,0
251,1,0
251,1,0
252,1,0
252,1,0
252,1,0
253,1,0
253,1,0
252,1,0
251,1,0
251,1,0
252,1,0
251,1,0
250,1,0
250,1,0
251,1,0
252,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
252,1,0
252,1,0
252,1,0
252,1,0
252,1,0
253,1,0
253,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
254,1,0
254,1,0
253,1,0
253,1,0
252,1,0
253,1,0
253,1,0
253,1,0
252,1,0
252,1,0
251,1,0
250,1,0
250,1,0
251,1,0
252,1,0
253,1,0
252,1,0
251,1,0
251,1,0
251,1,0
250,1,0
250,1,0
249,1,0
250,1,0
249,1,0
249,1,0
251,1,0
251,1,0
249,1,0
247,1,0
247,1,0
249,1,0
251,1,0
252,1,0
252,1,0
252,1,0
250,1,0
249,1,0
249,1,0
249,1,0
249,1,0
249,1,0
249,1,0
249,1,0
250,1,0
250,1,0
251,1,0
251,1,0
251,1,0
251,1,0
251,1,0
253,1,0
253,1,0
253,1,0
254,1,0
254,1,0
252,1,0
252,1,0
254,1,0
253,1,0
253,1,0
251,1,0
250,1,0
249,1,0
248,1,0
248,1,0
248,1,0
249,1,0
250,1,0
250,1,0
250,1,0
250,1,0
250,1,0
250,1,0
249,1,0
249,1,0
248,1,0
247,1,0
247,1,0
246,1,0
250,1,0
249,1,0
249,1,0
248,1,0
248,1,0
249,1,0
249,1,0
250,1,0
249,1,0
249,1,0
250,1,0
250,1,0
249,1,0
248,1,0
246,1,0
246,1,0
244,1,0
246,1,0
248,1,0
249,1,0
248,1,0
247,1,0
247,1,0
248,1,0
245,1,0
246,1,0
246,1,0
246,1,0
245,1,0
244,1,0
244,1,0
244,1,0
244,1,0
244,1,0
245,1,0
246,1,0
249,1,0
249,1,0
247,1,0
246,1,0
247,1,0
243,1,0
243,1,0
242,1,0
239,1,0
245,1,0
248,1,0
246,1,0
242,1,0
237,1,0
240,1,0
231,1,0
234,1,0
228,1,0
235,1,0
209,1,0
145,1,0
75,1,0
30,1,0
23,1,0
37,1,0
60,1,0
66,1,0
60,1,0
59,1,0
51,1,0
57,1,0
49,1,0
33,1,0
34,1,0
39,1,0
39,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
44,1,0
42,1,0
41,1,0
37,1,0
37,1,0
37,1,0
38,1,0
39,1,0
41,1,0
44,1,0
45,1,0
46,1,0
46,1,0
2,97,95
97,97,95
244,97,95
252,97,95
253,97,95
255,97,95
251,97,95
249,97,95
251,97,95
252,97,95
251,97,95
251,97,95
253,97,95
253,97,95
252,97,95
252,97,95
251,97,95
251,97,95
251,97,95
251,97,95
251,97,95
251,97,95
251,97,95
251,97,95
251,97,95
252,97,95
252,97,95
252,97,95
251,97,95
251,97,95
252,97,95
252,97,95
253,97,95
253,97,95
253,97,95
253,97,95
253,97,95
252,97,95
251,97,95
251,97,95
252,97,95
252,97,95
253,97,95
253,97,95
253,97,95
253,97,95
252,97,95
251,97,95
253,97,95
252,97,95
251,97,95
251,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
253,97,95
253,97,95
252,97,95
252,97,95
253,97,95
253,97,95
253,97,95
253,97,95
253,97,95
253,97,95
253,97,95
253,97,95
253,97,95
253,97,95
255,97,95
255,97,95
254,97,95
254,97,95
253,97,95
254,97,95
254,97,95
254,97,95
254,97,95
253,97,95
252,97,95
251,97,95
252,97,95
252,97,95
253,97,95
254,97,95
252,97,95
252,97,95
252,97,95
252,97,95
251,97,95
251,97,95
250,97,95
251,97,95
251,97,95
251,97,95
252,97,95
253,97,95
251,97,95
249,97,95
249,97,95
251,97,95
252,97,95
253,97,95
254,97,95
253,97,95
252,97,95
251,97,95
251,97,95
251,97,95
250,97,95
250,97,95
251,97,95
251,97,95
251,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
252,97,95
253,97,95
253,97,95
253,97,95
254,97,95
253,97,95
252,97,95
253,97,95
254,97,95
253,97,95
254,97,95
252,97,95
251,97,95
251,97,95
249,97,95
249,97,95
249,97,95
250,97,95
251,97,95
252,97,95
251,97,95
251,97,95
252,97,95
251,97,95
251,97,95
250,97,95
250,97,95
249,97,95
249,97,95
249,97,95
251,97,95
251,97,95
250,97,95
250,97,95
250,97,95
250,97,95
251,97,95
251,97,95
251,97,95
252,97,95
252,97,95
252,97,95
251,97,95
250,97,95
248,97,95
248,97,95
245,97,95
246,97,95
247,97,95
248,97,95
248,97,95
248,97,95
247,97,95
248,97,95
247,97,95
248,97,95
248,97,95
247,97,95
246,97,95
246,97,95
246,97,95
247,97,95
248,97,95
248,97,95
248,97,95
249,97,95
252,97,95
251,97,95
250,97,95
249,97,95
249,97,95
248,97,95
245,97,95
243,97,95
241,97,95
243,97,95
245,97,95
243,97,95
244,97,95
239,97,95
238,97,95
236,97,95
241,97,95
234,97,95
214,97,95
178,97,95
115,97,95
66,97,95
38,97,95
35,97,95
47,97,95
67,97,95
70,97,95
61,97,95
52,97,95
42,97,95
49,97,95
47,97,95
38,97,95
44,97,95
48,97,95
45,97,95
42,97,95
43,97,95
44,97,95
45,97,95
45,97,95
44,97,95
42,97,95
40,97,95
36,97,95
36,97,95
37,97,95
38,97,95
40,97,95
42,97,95
44,97,95
46,97,95
46,97,95
46,97,95
3,242,240
96,242,240
242,242,240
251,242,240
254,242,240
255,242,240
252,242,240
248,242,240
252,242,240
252,242,240
251,242,240
250,242,240
252,242,240
253,242,240
252,242,240
253,242,240
252,242,240
252,242,240
252,242,240
252,242,240
252,242,240
252,242,240
252,242,240
252,242,240
252,242,240
253,242,240
253,242,240
252,242,240
251,242,240
251,242,240
252,242,240
253,242,240
254,242,240
254,242,240
254,242,240
254,242,240
253,242,240
253,242,240
252,242,240
251,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
252,242,240
252,242,240
253,242,240
253,242,240
253,242,240
253,242,240
254,242,240
254,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
254,242,240
253,242,240
253,242,240
252,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
254,242,240
254,242,240
253,242,240
253,242,240
253,242,240
253,242,240
253,242,240
254,242,240
253,242,240
253,242,240
252,242,240
252,242,240
252,242,240
252,242,240
253,242,240
253,242,240
252,242,240
252,242,240
251,242,240
251,242,240
251,242,240
250,242,240
250,242,240
251,242,240
251,242,240
252,242,240
252,242,240
253,242,240
251,242,240
250,242,240
250,242,240
251,242,240
252,242,240
253,242,240
254,242,240
254,242,240
253,242,240
253,242,240
253,242,240
253,242,240
251,242,240
251,242,240
252,242,240
252,242,240
252,242,240
252,242,240
252,242,240
252,242,240
252,242,240
251,242,240
251,242,240
252,242,240
251,242,240
250,242,240
251,242,240
251,242,240
250,242,240
250,242,240
252,242,240
252,242,240
253,242,240
252,242,240
251,242,240
251,242,240
249,242,240
249,242,240
250,242,240
251,242,240
252,242,240
252,242,240
251,242,240
250,242,240
251,242,240
251,242,240
251,242,240
251,242,240
250,242,240
250,242,240
250,242,240
250,242,240
251,242,240
251,242,240
251,242,240
251,242,240
251,242,240
251,242,240
251,242,240
251,242,240
252,242,240
252,242,240
253,242,240
253,242,240
252,242,240
251,242,240
250,242,240
249,242,240
248,242,240
248,242,240
248,242,240
249,242,240
249,242,240
250,242,240
250,242,240
249,242,240
250,242,240
250,242,240
250,242,240
249,242,240
249,242,240
249,242,240
250,242,240
251,242,240
252,242,240
251,242,240
250,242,240
252,242,240
252,242,240
252,242,240
251,242,240
250,242,240
250,242,240
250,242,240
246,242,240
245,242,240
246,242,240
243,242,240
241,242,240
243,242,240
252,242,240
238,242,240
230,242,240
237,242,240
248,242,240
241,242,240
182,242,240
123,242,240
79,242,240
58,242,240
53,242,240
52,242,240
57,242,240
76,242,240
74,242,240
56,242,240
44,242,240
35,242,240
45,242,240
49,242,240
45,242,240
53,242,240
55,242,240
50,242,240
42,242,240
44,242,240
46,242,240
47,242,240
46,242,240
44,242,240
40,242,240
39,242,240
34,242,240
35,242,240
36,242,240
38,242,240
41,242,240
43,242,240
45,242,240
46,242,240
47,242,240
47,242,240
2,252,250
96,252,250
243,252,250
252,252,250
254,252,250
255,252,250
252,252,250
250,252,250
252,252,250
253,252,250
251,252,250
250,252,250
253,252,250
253,252,250
252,252,250
253,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
253,252,250
254,252,250
253,252,250
252,252,250
251,252,250
251,252,250
252,252,250
254,252,250
254,252,250
254,252,250
254,252,250
254,252,250
253,252,250
252,252,250
251,252,250
251,252,250
252,252,250
253,252,250
253,252,250
253,252,250
252,252,250
252,252,250
252,252,250
252,252,250
254,252,250
254,252,250
255,252,250
255,252,250
255,252,250
255,252,250
254,252,250
254,252,250
254,252,250
254,252,250
254,252,250
254,252,250
254,252,250
253,252,250
253,252,250
253,252,250
253,252,250
253,252,250
253,252,250
253,252,250
253,252,250
252,252,250
252,252,250
252,252,250
251,252,250
251,252,250
251,252,250
251,252,250
251,252,250
251,252,250
251,252,250
251,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
252,252,250
251,252,250
251,252,250
251,252,250
251,252,250
251,252,250
252,252,250
250,252,250
250,252,250
250,252,250
250,252,250
249,252,250
249,252,250
249,252,250
250,252,250
250,252,250
250,252,250
250,252,250
250,252,250
250,252,250
249,252,250
249,252,250
249,252,250
251,252,250
252,252,250
252,252,250
253,252,250
253,252,250
253,252,250
253,252,250
253,252,250
251,252,250
251,252,250
252,252,250
252,252,250
252,252,250
251,252,250
251,252,250
251,252,250
250,252,250
250,252,250
251,252,250
250,252,250
248,252,250
247,252,250
247,252,250
247,252,250
245,252,250
246,252,250
248,252,250
249,252,250
250,252,250
250,252,250
249,252,250
249,252,250
248,252,250
248,252,250
248,252,250
249,252,250
250,252,250
250,252,250
250,252,250
249,252,250
249,252,250
249,252,250
249,252,250
249,252,250
249,252,250
249,252,250
249,252,250
249,252,250
251,252,250
250,252,250
250,252,250
250,252,250
250,252,250
250,252,250
250,252,250
250,252,250
250,252,250
251,252,250
251,252,250
252,252,250
252,252,250
252,252,250
251,252,250
251,252,250
250,252,250
249,252,250
248,252,250
248,252,250
250,252,250
251,252,250
250,252,250
250,252,250
250,252,250
250,252,250
250,252,250
249,252,250
249,252,250
249,252,250
251,252,250
252,252,250
251,252,250
252,252,250
251,252,250
250,252,250
250,252,250
250,252,250
250,252,250
249,252,250
248,252,250
249,252,250
248,252,250
246,252,250
249,252,250
244,252,250
241,252,250
245,252,250
245,252,250
242,252,250
236,252,250
243,252,250
238,252,250
222,252,250
142,252,250
83,252,250
60,252,250
60,252,250
68,252,250
63,252,250
63,252,250
78,252,250
73,252,250
52,252,250
42,252,250
36,252,250
49,252,250
54,252,250
49,252,250
54,252,250
55,252,250
49,252,250
43,252,250
45,252,250
47,252,250
49,252,250
47,252,250
44,252,250
39,252,250
37,252,250
33,252,250
34,252,250
36,252,250
39,252,250
42,252,250
44,252,250
45,252,250
45,252,250
45,252,250
45,252,250
1,254,252
97,254,252
246,254,252
