R,G,B
0,3,100
0,3,100
0,3,100
1,3,100
1,3,100
2,3,100
1,3,100
1,3,100
1,3,100
1,3,100
2,3,100
3,3,100
3,3,100
3,3,100
3,3,100
2,3,100
2,3,100
2,3,100
2,3,100
2,3,100
2,3,100
2,3,100
2,3,100
2,3,100
3,3,100
3,3,100
3,3,100
3,3,100
3,3,100
3,3,100
3,3,100
3,3,100
3,3,100
3,3,100
3,3,100
3,3,100
2,3,100
3,3,100
3,3,100
4,3,100
5,3,100
5,3,100
5,3,100
6,3,100
6,3,100
7,3,100
7,3,100
7,3,100
8,3,100
7,3,100
6,3,100
4,3,100
3,3,100
3,3,100
1,3,100
1,3,100
0,3,100
0,3,100
0,3,100
0,3,100
1,3,100
2,3,100
4,3,100
5,3,100
6,3,100
6,3,100
6,3,100
6,3,100
6,3,100
6,3,100
6,3,100
5,3,100
4,3,100
5,3,100
6,3,100
6,3,100
6,3,100
6,3,100
6,3,100
5,3,100
6,3,100
7,3,100
6,3,100
6,3,100
7,3,100
8,3,100
9,3,100
8,3,100
8,3,100
6,3,100
6,3,100
6,3,100
6,3,100
6,3,100
6,3,100
6,3,100
8,3,100
9,3,100
10,3,100
10,3,100
9,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
9,3,100
10,3,100
12,3,100
13,3,100
14,3,100
14,3,100
12,3,100
12,3,100
12,3,100
12,3,100
10,3,100
10,3,100
10,3,100
10,3,100
13,3,100
13,3,100
12,3,100
12,3,100
12,3,100
12,3,100
12,3,100
12,3,100
9,3,100
9,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
10,3,100
11,3,100
11,3,100
12,3,100
12,3,100
12,3,100
12,3,100
12,3,100
12,3,100
13,3,100
13,3,100
12,3,100
12,3,100
12,3,100
12,3,100
12,3,100
12,3,100
13,3,100
13,3,100
12,3,100
12,3,100
12,3,100
12,3,100
11,3,100
11,3,100
12,3,100
13,3,100
13,3,100
15,3,100
15,3,100
15,3,100
15,3,100
15,3,100
15,3,100
15,3,100
15,3,100
15,3,100
15,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
16,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
13,3,100
12,3,100
12,3,100
16,3,100
16,3,100
15,3,100
13,3,100
12,3,100
13,3,100
13,3,100
11,3,100
10,3,100
16,3,100
22,3,100
26,3,100
23,3,100
17,3,100
15,3,100
16,3,100
28,3,100
29,3,100
29,3,100
28,3,100
25,3,100
24,3,100
27,3,100
28,3,100
30,3,100
34,3,100
30,3,100
33,3,100
24,3,100
14,3,100
30,3,100
42,3,100
25,3,100
16,3,100
28,3,100
39,3,100
36,3,100
20,3,100
5,3,100
18,3,100
72,3,100
136,3,100
0,2,103
0,2,103
0,2,103
0,2,103
1,2,103
1,2,103
1,2,103
1,2,103
2,2,103
2,2,103
3,2,103
3,2,103
4,2,103
3,2,103
3,2,103
2,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
4,2,103
4,2,103
5,2,103
6,2,103
6,2,103
7,2,103
7,2,103
8,2,103
8,2,103
9,2,103
9,2,103
9,2,103
9,2,103
7,2,103
7,2,103
5,2,103
4,2,103
4,2,103
2,2,103
2,2,103
1,2,103
1,2,103
0,2,103
1,2,103
2,2,103
4,2,103
5,2,103
6,2,103
7,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
5,2,103
4,2,103
6,2,103
7,2,103
8,2,103
7,2,103
7,2,103
6,2,103
7,2,103
7,2,103
6,2,103
7,2,103
5,2,103
5,2,103
6,2,103
8,2,103
9,2,103
8,2,103
8,2,103
8,2,103
8,2,103
8,2,103
8,2,103
8,2,103
8,2,103
8,2,103
9,2,103
10,2,103
11,2,103
11,2,103
11,2,103
10,2,103
10,2,103
11,2,103
11,2,103
11,2,103
11,2,103
12,2,103
13,2,103
15,2,103
15,2,103
15,2,103
14,2,103
14,2,103
14,2,103
14,2,103
12,2,103
12,2,103
12,2,103
12,2,103
15,2,103
15,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
11,2,103
11,2,103
11,2,103
12,2,103
12,2,103
12,2,103
12,2,103
12,2,103
12,2,103
12,2,103
11,2,103
11,2,103
11,2,103
12,2,103
12,2,103
13,2,103
15,2,103
15,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
16,2,103
14,2,103
14,2,103
14,2,103
14,2,103
13,2,103
13,2,103
14,2,103
15,2,103
15,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
16,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
17,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
14,2,103
16,2,103
16,2,103
15,2,103
13,2,103
12,2,103
15,2,103
15,2,103
10,2,103
13,2,103
17,2,103
21,2,103
25,2,103
23,2,103
17,2,103
15,2,103
16,2,103
30,2,103
31,2,103
32,2,103
32,2,103
30,2,103
28,2,103
26,2,103
26,2,103
26,2,103
25,2,103
29,2,103
32,2,103
35,2,103
35,2,103
28,2,103
27,2,103
12,2,103
24,2,103
39,2,103
48,2,103
27,2,103
9,2,103
17,2,103
73,2,103
139,2,103
191,2,103
1,2,108
1,2,108
1,2,108
1,2,108
2,2,108
1,2,108
1,2,108
2,2,108
2,2,108
3,2,108
3,2,108
4,2,108
4,2,108
4,2,108
3,2,108
3,2,108
4,2,108
4,2,108
4,2,108
4,2,108
4,2,108
4,2,108
4,2,108
4,2,108
3,2,108
3,2,108
3,2,108
3,2,108
3,2,108
3,2,108
3,2,108
3,2,108
3,2,108
4,2,108
4,2,108
4,2,108
3,2,108
3,2,108
4,2,108
5,2,108
5,2,108
6,2,108
6,2,108
7,2,108
7,2,108
8,2,108
8,2,108
8,2,108
8,2,108
9,2,108
9,2,108
7,2,108
7,2,108
6,2,108
4,2,108
4,2,108
4,2,108
3,2,108
2,2,108
3,2,108
4,2,108
5,2,108
6,2,108
7,2,108
8,2,108
8,2,108
8,2,108
6,2,108
6,2,108
6,2,108
6,2,108
5,2,108
5,2,108
5,2,108
6,2,108
6,2,108
6,2,108
4,2,108
4,2,108
4,2,108
6,2,108
7,2,108
6,2,108
6,2,108
7,2,108
7,2,108
8,2,108
7,2,108
7,2,108
7,2,108
7,2,108
7,2,108
7,2,108
6,2,108
6,2,108
6,2,108
11,2,108
12,2,108
13,2,108
13,2,108
12,2,108
12,2,108
12,2,108
13,2,108
13,2,108
12,2,108
12,2,108
13,2,108
14,2,108
15,2,108
16,2,108
16,2,108
16,2,108
16,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
17,2,108
16,2,108
16,2,108
16,2,108
16,2,108
16,2,108
16,2,108
16,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
14,2,108
15,2,108
15,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
18,2,108
17,2,108
17,2,108
17,2,108
16,2,108
16,2,108
16,2,108
17,2,108
18,2,108
17,2,108
17,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
19,2,108
17,2,108
17,2,108
17,2,108
17,2,108
17,2,108
17,2,108
17,2,108
17,2,108
17,2,108
17,2,108
17,2,108
17,2,108
16,2,108
16,2,108
16,2,108
16,2,108
17,2,108
17,2,108
17,2,108
15,2,108
14,2,108
17,2,108
16,2,108
11,2,108
15,2,108
18,2,108
22,2,108
25,2,108
23,2,108
20,2,108
16,2,108
17,2,108
28,2,108
29,2,108
30,2,108
31,2,108
32,2,108
29,2,108
25,2,108
