R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5,0,0
6,0,0
36,0,0
54,0,0
61,0,0
67,0,0
73,0,0
71,0,0
66,0,0
64,0,0
67,0,0
73,0,0
77,0,0
79,0,0
78,0,0
83,0,0
87,0,0
91,0,0
94,0,0
94,0,0
98,0,0
103,0,0
105,0,0
111,0,0
114,0,0
114,0,0
112,0,0
110,0,0
109,0,0
113,0,0
123,0,0
120,0,0
116,0,0
113,0,0
111,0,0
112,0,0
114,0,0
114,0,0
118,0,0
123,0,0
127,0,0
129,0,0
134,0,0
144,0,0
154,0,0
158,0,0
165,0,0
170,0,0
177,0,0
182,0,0
187,0,0
187,0,0
188,0,0
187,0,0
187,0,0
188,0,0
187,0,0
187,0,0
185,0,0
184,0,0
185,0,0
186,0,0
184,0,0
187,0,0
188,0,0
189,0,0
191,0,0
192,0,0
193,0,0
190,0,0
193,0,0
191,0,0
190,0,0
191,0,0
191,0,0
188,0,0
185,0,0
182,0,0
178,0,0
177,0,0
174,0,0
170,0,0
168,0,0
168,0,0
167,0,0
165,0,0
163,0,0
163,0,0
163,0,0
163,0,0
162,0,0
160,0,0
157,0,0
155,0,0
154,0,0
151,0,0
149,0,0
140,0,0
128,0,0
118,0,0
108,0,0
96,0,0
89,0,0
87,0,0
91,0,0
102,0,0
100,0,0
89,0,0
86,0,0
91,0,0
105,0,0
99,0,0
92,0,0
96,0,0
110,0,0
113,0,0
105,0,0
95,0,0
100,0,0
93,0,0
77,0,0
66,0,0
72,0,0
75,0,0
69,0,0
61,0,0
93,0,0
112,0,0
123,0,0
125,0,0
135,0,0
143,0,0
150,0,0
157,0,0
163,0,0
167,0,0
171,0,0
172,0,0
174,0,0
177,0,0
179,0,0
179,0,0
180,0,0
179,0,0
178,0,0
178,0,0
181,0,0
185,0,0
184,0,0
182,0,0
177,0,0
181,0,0
185,0,0
186,0,0
185,0,0
184,0,0
182,0,0
178,0,0
184,0,0
180,0,0
188,0,0
185,0,0
170,0,0
147,0,0
151,0,0
197,0,0
