R,G,B
15,4,0
59,4,0
106,4,0
104,4,0
107,4,0
111,4,0
116,4,0
114,4,0
115,4,0
119,4,0
122,4,0
119,4,0
116,4,0
116,4,0
118,4,0
119,4,0
122,4,0
122,4,0
122,4,0
120,4,0
121,4,0
120,4,0
122,4,0
124,4,0
125,4,0
127,4,0
130,4,0
132,4,0
134,4,0
136,4,0
139,4,0
141,4,0
141,4,0
140,4,0
138,4,0
136,4,0
136,4,0
138,4,0
136,4,0
130,4,0
130,4,0
129,4,0
130,4,0
131,4,0
134,4,0
136,4,0
137,4,0
138,4,0
138,4,0
138,4,0
139,4,0
138,4,0
137,4,0
136,4,0
136,4,0
136,4,0
134,4,0
137,4,0
137,4,0
135,4,0
137,4,0
141,4,0
141,4,0
138,4,0
132,4,0
131,4,0
128,4,0
127,4,0
128,4,0
130,4,0
133,4,0
138,4,0
142,4,0
147,4,0
152,4,0
154,4,0
154,4,0
155,4,0
155,4,0
151,4,0
144,4,0
141,4,0
141,4,0
141,4,0
137,4,0
137,4,0
137,4,0
137,4,0
138,4,0
139,4,0
139,4,0
139,4,0
139,4,0
135,4,0
134,4,0
135,4,0
126,4,0
126,4,0
125,4,0
123,4,0
122,4,0
119,4,0
118,4,0
119,4,0
121,4,0
121,4,0
121,4,0
118,4,0
113,4,0
112,4,0
115,4,0
115,4,0
117,4,0
117,4,0
116,4,0
116,4,0
118,4,0
124,4,0
129,4,0
133,4,0
138,4,0
142,4,0
147,4,0
149,4,0
150,4,0
152,4,0
154,4,0
154,4,0
154,4,0
153,4,0
151,4,0
148,4,0
142,4,0
140,4,0
136,4,0
130,4,0
128,4,0
125,4,0
120,4,0
117,4,0
114,4,0
109,4,0
104,4,0
103,4,0
101,4,0
98,4,0
93,4,0
89,4,0
80,4,0
73,4,0
75,4,0
81,4,0
93,4,0
107,4,0
121,4,0
139,4,0
152,4,0
157,4,0
164,4,0
167,4,0
173,4,0
177,4,0
178,4,0
177,4,0
176,4,0
177,4,0
177,4,0
176,4,0
176,4,0
176,4,0
178,4,0
175,4,0
171,4,0
175,4,0
177,4,0
177,4,0
166,4,0
162,4,0
143,4,0
121,4,0
106,4,0
104,4,0
117,4,0
120,4,0
112,4,0
97,4,0
86,4,0
81,4,0
75,4,0
67,4,0
62,4,0
60,4,0
62,4,0
62,4,0
62,4,0
62,4,0
63,4,0
64,4,0
64,4,0
64,4,0
68,4,0
67,4,0
69,4,0
71,4,0
68,4,0
67,4,0
68,4,0
69,4,0
72,4,0
71,4,0
72,4,0
74,4,0
74,4,0
75,4,0
79,4,0
84,4,0
80,4,0
79,4,0
77,4,0
77,4,0
78,4,0
79,4,0
80,4,0
80,4,0
80,4,0
80,4,0
79,4,0
78,4,0
77,4,0
77,4,0
77,4,0
78,4,0
81,4,0
82,4,0
83,4,0
85,4,0
86,4,0
85,4,0
83,4,0
81,4,0
84,4,0
87,4,0
89,4,0
90,4,0
90,4,0
91,4,0
94,4,0
97,4,0
96,4,0
97,4,0
10,33,15
44,33,15
82,33,15
77,33,15
79,33,15
82,33,15
87,33,15
85,33,15
92,33,15
95,33,15
96,33,15
94,33,15
92,33,15
92,33,15
94,33,15
93,33,15
95,33,15
95,33,15
96,33,15
96,33,15
96,33,15
97,33,15
97,33,15
100,33,15
102,33,15
102,33,15
102,33,15
104,33,15
105,33,15
107,33,15
106,33,15
106,33,15
105,33,15
106,33,15
107,33,15
108,33,15
109,33,15
110,33,15
104,33,15
98,33,15
101,33,15
102,33,15
104,33,15
106,33,15
108,33,15
108,33,15
107,33,15
106,33,15
106,33,15
106,33,15
107,33,15
107,33,15
110,33,15
111,33,15
110,33,15
110,33,15
110,33,15
111,33,15
109,33,15
105,33,15
106,33,15
108,33,15
108,33,15
106,33,15
103,33,15
101,33,15
98,33,15
95,33,15
95,33,15
99,33,15
102,33,15
106,33,15
111,33,15
117,33,15
124,33,15
123,33,15
119,33,15
118,33,15
119,33,15
118,33,15
114,33,15
112,33,15
112,33,15
111,33,15
109,33,15
107,33,15
109,33,15
109,33,15
111,33,15
110,33,15
111,33,15
111,33,15
109,33,15
107,33,15
107,33,15
109,33,15
105,33,15
105,33,15
105,33,15
102,33,15
100,33,15
98,33,15
95,33,15
96,33,15
95,33,15
96,33,15
97,33,15
96,33,15
92,33,15
94,33,15
95,33,15
94,33,15
93,33,15
92,33,15
92,33,15
92,33,15
94,33,15
100,33,15
105,33,15
108,33,15
116,33,15
122,33,15
125,33,15
126,33,15
125,33,15
126,33,15
128,33,15
128,33,15
128,33,15
124,33,15
123,33,15
119,33,15
114,33,15
111,33,15
107,33,15
102,33,15
95,33,15
90,33,15
88,33,15
85,33,15
82,33,15
74,33,15
71,33,15
71,33,15
73,33,15
69,33,15
66,33,15
64,33,15
64,33,15
62,33,15
65,33,15
69,33,15
85,33,15
101,33,15
117,33,15
137,33,15
152,33,15
158,33,15
169,33,15
174,33,15
182,33,15
184,33,15
186,33,15
185,33,15
184,33,15
187,33,15
187,33,15
183,33,15
182,33,15
183,33,15
184,33,15
184,33,15
177,33,15
175,33,15
178,33,15
182,33,15
171,33,15
155,33,15
123,33,15
107,33,15
103,33,15
107,33,15
117,33,15
116,33,15
112,33,15
97,33,15
86,33,15
81,33,15
75,33,15
66,33,15
62,33,15
60,33,15
61,33,15
61,33,15
62,33,15
63,33,15
63,33,15
64,33,15
64,33,15
64,33,15
65,33,15
64,33,15
68,33,15
70,33,15
69,33,15
69,33,15
71,33,15
72,33,15
73,33,15
72,33,15
73,33,15
75,33,15
76,33,15
76,33,15
79,33,15
84,33,15
80,33,15
79,33,15
77,33,15
77,33,15
78,33,15
79,33,15
80,33,15
80,33,15
81,33,15
81,33,15
82,33,15
82,33,15
81,33,15
81,33,15
82,33,15
83,33,15
84,33,15
84,33,15
84,33,15
85,33,15
86,33,15
85,33,15
83,33,15
81,33,15
83,33,15
86,33,15
88,33,15
89,33,15
89,33,15
90,33,15
93,33,15
95,33,15
98,33,15
99,33,15
7,48,52
31,48,52
60,48,52
52,48,52
56,48,52
58,48,52
63,48,52
63,48,52
