R,G,B
107,89,41
107,89,41
108,89,41
108,89,41
109,89,41
109,89,41
108,89,41
107,89,41
107,89,41
108,89,41
109,89,41
108,89,41
107,89,41
106,89,41
105,89,41
105,89,41
108,89,41
108,89,41
110,89,41
111,89,41
112,89,41
110,89,41
111,89,41
111,89,41
112,89,41
113,89,41
114,89,41
115,89,41
114,89,41
111,89,41
109,89,41
108,89,41
107,89,41
106,89,41
106,89,41
106,89,41
106,89,41
106,89,41
106,89,41
105,89,41
104,89,41
105,89,41
106,89,41
108,89,41
109,89,41
110,89,41
110,89,41
110,89,41
111,89,41
109,89,41
108,89,41
110,89,41
109,89,41
105,89,41
104,89,41
105,89,41
108,89,41
107,89,41
107,89,41
106,89,41
106,89,41
106,89,41
105,89,41
104,89,41
107,89,41
108,89,41
108,89,41
107,89,41
108,89,41
110,89,41
110,89,41
109,89,41
112,89,41
112,89,41
114,89,41
115,89,41
113,89,41
110,89,41
109,89,41
109,89,41
112,89,41
114,89,41
114,89,41
112,89,41
113,89,41
113,89,41
113,89,41
109,89,41
106,89,41
105,89,41
106,89,41
105,89,41
106,89,41
105,89,41
104,89,41
104,89,41
108,89,41
107,89,41
106,89,41
106,89,41
107,89,41
108,89,41
108,89,41
108,89,41
108,89,41
107,89,41
105,89,41
104,89,41
104,89,41
105,89,41
106,89,41
106,89,41
108,89,41
109,89,41
111,89,41
110,89,41
109,89,41
107,89,41
107,89,41
107,89,41
106,89,41
105,89,41
107,89,41
110,89,41
111,89,41
110,89,41
109,89,41
108,89,41
109,89,41
109,89,41
109,89,41
110,89,41
111,89,41
111,89,41
111,89,41
110,89,41
110,89,41
110,89,41
111,89,41
111,89,41
111,89,41
111,89,41
112,89,41
112,89,41
112,89,41
114,89,41
116,89,41
117,89,41
118,89,41
117,89,41
116,89,41
113,89,41
111,89,41
111,89,41
110,89,41
110,89,41
109,89,41
109,89,41
107,89,41
106,89,41
100,89,41
101,89,41
102,89,41
98,89,41
91,89,41
83,89,41
77,89,41
73,89,41
72,89,41
65,89,41
65,89,41
67,89,41
66,89,41
66,89,41
66,89,41
64,89,41
61,89,41
59,89,41
56,89,41
54,89,41
53,89,41
52,89,41
53,89,41
52,89,41
50,89,41
50,89,41
49,89,41
49,89,41
48,89,41
47,89,41
46,89,41
44,89,41
44,89,41
46,89,41
47,89,41
48,89,41
47,89,41
45,89,41
44,89,41
43,89,41
42,89,41
41,89,41
38,89,41
35,89,41
35,89,41
38,89,41
40,89,41
41,89,41
42,89,41
43,89,41
43,89,41
41,89,41
38,89,41
39,89,41
37,89,41
30,89,41
23,89,41
21,89,41
18,89,41
16,89,41
15,89,41
16,89,41
18,89,41
20,89,41
23,89,41
21,89,41
20,89,41
20,89,41
20,89,41
19,89,41
20,89,41
21,89,41
22,89,41
21,89,41
21,89,41
22,89,41
24,89,41
26,89,41
27,89,41
27,89,41
27,89,41
20,89,41
9,89,41
1,89,41
2,89,41
6,89,41
13,89,41
19,89,41
20,89,41
23,89,41
106,88,42
106,88,42
106,88,42
107,88,42
108,88,42
108,88,42
107,88,42
106,88,42
106,88,42
106,88,42
107,88,42
107,88,42
106,88,42
105,88,42
105,88,42
104,88,42
106,88,42
106,88,42
107,88,42
108,88,42
108,88,42
109,88,42
109,88,42
111,88,42
111,88,42
112,88,42
113,88,42
111,88,42
111,88,42
111,88,42
110,88,42
109,88,42
110,88,42
110,88,42
110,88,42
110,88,42
110,88,42
110,88,42
109,88,42
109,88,42
108,88,42
107,88,42
107,88,42
108,88,42
108,88,42
109,88,42
110,88,42
110,88,42
111,88,42
109,88,42
110,88,42
111,88,42
110,88,42
106,88,42
105,88,42
107,88,42
110,88,42
110,88,42
109,88,42
109,88,42
108,88,42
107,88,42
107,88,42
107,88,42
110,88,42
112,88,42
112,88,42
111,88,42
111,88,42
112,88,42
112,88,42
112,88,42
113,88,42
113,88,42
113,88,42
113,88,42
111,88,42
107,88,42
104,88,42
104,88,42
108,88,42
110,88,42
110,88,42
109,88,42
107,88,42
110,88,42
108,88,42
105,88,42
104,88,42
104,88,42
104,88,42
104,88,42
103,88,42
103,88,42
102,88,42
102,88,42
103,88,42
102,88,42
102,88,42
103,88,42
104,88,42
106,88,42
107,88,42
107,88,42
106,88,42
105,88,42
104,88,42
103,88,42
103,88,42
104,88,42
105,88,42
105,88,42
109,88,42
110,88,42
111,88,42
110,88,42
107,88,42
106,88,42
106,88,42
106,88,42
109,88,42
108,88,42
109,88,42
112,88,42
113,88,42
111,88,42
110,88,42
110,88,42
110,88,42
110,88,42
110,88,42
111,88,42
112,88,42
112,88,42
112,88,42
111,88,42
111,88,42
111,88,42
111,88,42
111,88,42
110,88,42
110,88,42
110,88,42
110,88,42
112,88,42
114,88,42
115,88,42
116,88,42
117,88,42
114,88,42
113,88,42
112,88,42
110,88,42
109,88,42
107,88,42
107,88,42
108,88,42
109,88,42
109,88,42
109,88,42
102,88,42
103,88,42
100,88,42
97,88,42
92,88,42
85,88,42
77,88,42
74,88,42
70,88,42
64,88,42
63,88,42
65,88,42
64,88,42
63,88,42
63,88,42
61,88,42
61,88,42
57,88,42
53,88,42
53,88,42
54,88,42
57,88,42
54,88,42
52,88,42
48,88,42
48,88,42
47,88,42
47,88,42
47,88,42
46,88,42
45,88,42
44,88,42
43,88,42
44,88,42
45,88,42
45,88,42
44,88,42
43,88,42
42,88,42
41,88,42
41,88,42
41,88,42
38,88,42
36,88,42
35,88,42
38,88,42
40,88,42
40,88,42
40,88,42
41,88,42
42,88,42
40,88,42
37,88,42
38,88,42
37,88,42
32,88,42
28,88,42
26,88,42
22,88,42
17,88,42
14,88,42
14,88,42
16,88,42
18,88,42
21,88,42
20,88,42
19,88,42
19,88,42
18,88,42
17,88,42
19,88,42
20,88,42
22,88,42
22,88,42
21,88,42
21,88,42
22,88,42
23,88,42
25,88,42
26,88,42
28,88,42
23,88,42
12,88,42
3,88,42
2,88,42
4,88,42
8,88,42
14,88,42
19,88,42
22,88,42
98,80,40
98,80,40
98,80,40
98,80,40
99,80,40
99,80,40
99,80,40
98,80,40
97,80,40
99,80,40
100,80,40
100,80,40
99,80,40
98,80,40
98,80,40
98,80,40
97,80,40
98,80,40
98,80,40
101,80,40
101,80,40
103,80,40
104,80,40
105,80,40
107,80,40
107,80,40
105,80,40
105,80,40
106,80,40
106,80,40
105,80,40
105,80,40
104,80,40
104,80,40
104,80,40
105,80,40
104,80,40
103,80,40
103,80,40
102,80,40
104,80,40
103,80,40
102,80,40
101,80,40
101,80,40
103,80,40
104,80,40
105,80,40
104,80,40
103,80,40
104,80,40
106,80,40
104,80,40
101,80,40
100,80,40
101,80,40
105,80,40
105,80,40
104,80,40
103,80,40
101,80,40
101,80,40
102,80,40
103,80,40
107,80,40
109,80,40
110,80,40
108,80,40
107,80,40
107,80,40
108,80,40
108,80,40
112,80,40
113,80,40
113,80,40
113,80,40
111,80,40
107,80,40
104,80,40
104,80,40
105,80,40
107,80,40
107,80,40
104,80,40
105,80,40
107,80,40
104,80,40
102,80,40
104,80,40
105,80,40
105,80,40
104,80,40
104,80,40
104,80,40
102,80,40
101,80,40
99,80,40
98,80,40
98,80,40
99,80,40
100,80,40
101,80,40
101,80,40
101,80,40
101,80,40
100,80,40
99,80,40
99,80,40
99,80,40
100,80,40
100,80,40
100,80,40
109,80,40
110,80,40
110,80,40
108,80,40
107,80,40
106,80,40
107,80,40
108,80,40
109,80,40
108,80,40
108,80,40
109,80,40
110,80,40
109,80,40
108,80,40
108,80,40
110,80,40
110,80,40
110,80,40
111,80,40
112,80,40
113,80,40
112,80,40
111,80,40
112,80,40
111,80,40
111,80,40
110,80,40
110,80,40
109,80,40
109,80,40
109,80,40
111,80,40
111,80,40
113,80,40
113,80,40
113,80,40
112,80,40
111,80,40
110,80,40
108,80,40
107,80,40
104,80,40
104,80,40
106,80,40
108,80,40
110,80,40
111,80,40
106,80,40
102,80,40
98,80,40
94,80,40
90,80,40
85,80,40
79,80,40
75,80,40
68,80,40
62,80,40
61,80,40
62,80,40
61,80,40
60,80,40
59,80,40
58,80,40
61,80,40
56,80,40
52,80,40
52,80,40
56,80,40
57,80,40
54,80,40
51,80,40
45,80,40
44,80,40
44,80,40
44,80,40
44,80,40
44,80,40
43,80,40
43,80,40
41,80,40
42,80,40
42,80,40
42,80,40
40,80,40
39,80,40
38,80,40
38,80,40
39,80,40
39,80,40
36,80,40
34,80,40
34,80,40
36,80,40
37,80,40
37,80,40
37,80,40
39,80,40
40,80,40
39,80,40
35,80,40
36,80,40
37,80,40
35,80,40
34,80,40
31,80,40
26,80,40
19,80,40
13,80,40
11,80,40
13,80,40
15,80,40
16,80,40
16,80,40
15,80,40
16,80,40
15,80,40
14,80,40
16,80,40
19,80,40
21,80,40
21,80,40
20,80,40
19,80,40
18,80,40
20,80,40
23,80,40
26,80,40
30,80,40
26,80,40
15,80,40
6,80,40
2,80,40
2,80,40
5,80,40
9,80,40
18,80,40
22,80,40
80,63,27
79,63,27
