R,G,B
33,34,36
34,34,36
33,34,36
33,34,36
34,34,36
33,34,36
32,34,36
32,34,36
30,34,36
32,34,36
32,34,36
33,34,36
33,34,36
33,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
34,34,36
33,34,36
33,34,36
33,34,36
33,34,36
34,34,36
35,34,36
35,34,36
32,34,36
32,34,36
31,34,36
31,34,36
31,34,36
31,34,36
31,34,36
31,34,36
31,34,36
31,34,36
31,34,36
29,34,36
28,34,36
26,34,36
26,34,36
26,34,36
26,34,36
26,34,36
26,34,36
27,34,36
27,34,36
27,34,36
27,34,36
27,34,36
24,34,36
23,34,36
22,34,36
22,34,36
23,34,36
23,34,36
23,34,36
22,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
23,34,36
24,34,36
24,34,36
23,34,36
24,34,36
25,34,36
25,34,36
24,34,36
23,34,36
23,34,36
24,34,36
22,34,36
23,34,36
24,34,36
24,34,36
24,34,36
24,34,36
25,34,36
26,34,36
25,34,36
25,34,36
25,34,36
25,34,36
25,34,36
25,34,36
25,34,36
25,34,36
26,34,36
26,34,36
25,34,36
25,34,36
26,34,36
26,34,36
26,34,36
26,34,36
26,34,36
28,34,36
28,34,36
29,34,36
28,34,36
28,34,36
29,34,36
29,34,36
25,34,36
25,34,36
25,34,36
24,34,36
24,34,36
24,34,36
25,34,36
26,34,36
25,34,36
24,34,36
24,34,36
24,34,36
23,34,36
24,34,36
24,34,36
24,34,36
23,34,36
22,34,36
23,34,36
23,34,36
24,34,36
25,34,36
26,34,36
26,34,36
27,34,36
27,34,36
27,34,36
26,34,36
26,34,36
26,34,36
26,34,36
26,34,36
27,34,36
26,34,36
25,34,36
24,34,36
24,34,36
24,34,36
24,34,36
24,34,36
23,34,36
22,34,36
21,34,36
21,34,36
20,34,36
20,34,36
20,34,36
20,34,36
15,34,36
14,34,36
15,34,36
17,34,36
20,34,36
26,34,36
31,34,36
39,34,36
46,34,36
50,34,36
55,34,36
59,34,36
60,34,36
61,34,36
60,34,36
60,34,36
57,34,36
58,34,36
57,34,36
57,34,36
56,34,36
56,34,36
56,34,36
55,34,36
53,34,36
52,34,36
51,34,36
48,34,36
46,34,36
45,34,36
44,34,36
42,34,36
43,34,36
41,34,36
38,34,36
36,34,36
37,34,36
36,34,36
36,34,36
35,34,36
36,34,36
36,34,36
31,34,36
28,34,36
26,34,36
26,34,36
23,34,36
23,34,36
16,34,36
13,34,36
7,34,36
5,34,36
8,34,36
7,34,36
6,34,36
14,34,36
30,34,36
50,34,36
83,34,36
123,34,36
165,34,36
201,34,36
221,34,36
228,34,36
227,34,36
224,34,36
222,34,36
221,34,36
220,34,36
218,34,36
216,34,36
217,34,36
218,34,36
218,34,36
32,36,37
32,36,37
33,36,37
33,36,37
33,36,37
32,36,37
32,36,37
30,36,37
29,36,37
30,36,37
32,36,37
33,36,37
33,36,37
33,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
33,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
34,36,37
33,36,37
33,36,37
33,36,37
33,36,37
33,36,37
33,36,37
34,36,37
34,36,37
33,36,37
33,36,37
32,36,37
32,36,37
31,36,37
31,36,37
31,36,37
32,36,37
32,36,37
32,36,37
32,36,37
31,36,37
29,36,37
28,36,37
28,36,37
28,36,37
28,36,37
28,36,37
28,36,37
28,36,37
28,36,37
28,36,37
28,36,37
28,36,37
24,36,37
23,36,37
23,36,37
23,36,37
24,36,37
24,36,37
23,36,37
23,36,37
23,36,37
23,36,37
23,36,37
23,36,37
23,36,37
23,36,37
23,36,37
23,36,37
24,36,37
23,36,37
23,36,37
23,36,37
23,36,37
23,36,37
24,36,37
24,36,37
24,36,37
25,36,37
26,36,37
26,36,37
25,36,37
24,36,37
