R,G,B
134,133,128
129,133,128
124,133,128
120,133,128
121,133,128
127,133,128
134,133,128
139,133,128
142,133,128
142,133,128
143,133,128
144,133,128
144,133,128
147,133,128
148,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
149,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
149,133,128
149,133,128
149,133,128
149,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
148,133,128
149,133,128
149,133,128
150,133,128
150,133,128
150,133,128
148,133,128
149,133,128
151,133,128
153,133,128
153,133,128
153,133,128
153,133,128
152,133,128
153,133,128
154,133,128
154,133,128
155,133,128
155,133,128
155,133,128
154,133,128
154,133,128
155,133,128
155,133,128
155,133,128
155,133,128
155,133,128
155,133,128
155,133,128
155,133,128
154,133,128
154,133,128
154,133,128
154,133,128
153,133,128
153,133,128
153,133,128
152,133,128
153,133,128
154,133,128
156,133,128
156,133,128
154,133,128
153,133,128
153,133,128
153,133,128
158,133,128
156,133,128
153,133,128
153,133,128
155,133,128
156,133,128
154,133,128
152,133,128
148,133,128
125,133,128
88,133,128
41,133,128
40,133,128
36,133,128
45,133,128
42,133,128
33,133,128
30,133,128
37,133,128
40,133,128
42,133,128
41,133,128
40,133,128
53,133,128
60,133,128
68,133,128
79,133,128
93,133,128
107,133,128
115,133,128
124,133,128
132,133,128
134,133,128
138,133,128
144,133,128
145,133,128
147,133,128
148,133,128
152,133,128
153,133,128
152,133,128
145,133,128
137,133,128
131,133,128
129,133,128
128,133,128
126,133,128
122,133,128
116,133,128
118,133,128
120,133,128
125,133,128
133,133,128
145,133,128
156,133,128
163,133,128
165,133,128
163,133,128
161,133,128
163,133,128
164,133,128
164,133,128
165,133,128
166,133,128
166,133,128
168,133,128
171,133,128
175,133,128
176,133,128
175,133,128
174,133,128
174,133,128
172,133,128
174,133,128
174,133,128
173,133,128
171,133,128
166,133,128
161,133,128
158,133,128
157,133,128
157,133,128
157,133,128
158,133,128
160,133,128
161,133,128
161,133,128
161,133,128
159,133,128
159,133,128
159,133,128
159,133,128
159,133,128
159,133,128
159,133,128
160,133,128
155,133,128
153,133,128
135,133,128
109,133,128
66,133,128
38,133,128
21,133,128
26,133,128
25,133,128
19,133,128
20,133,128
23,133,128
20,133,128
21,133,128
25,133,128
25,133,128
21,133,128
23,133,128
22,133,128
22,133,128
22,133,128
24,133,128
24,133,128
24,133,128
23,133,128
23,133,128
23,133,128
23,133,128
23,133,128
23,133,128
23,133,128
23,133,128
23,133,128
24,133,128
24,133,128
23,133,128
22,133,128
21,133,128
21,133,128
21,133,128
21,133,128
21,133,128
134,128,122
127,128,122
120,128,122
116,128,122
119,128,122
126,128,122
133,128,122
137,128,122
141,128,122
142,128,122
143,128,122
144,128,122
144,128,122
146,128,122
147,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
147,128,122
147,128,122
147,128,122
147,128,122
147,128,122
147,128,122
147,128,122
147,128,122
147,128,122
147,128,122
147,128,122
148,128,122
148,128,122
148,128,122
148,128,122
149,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
148,128,122
149,128,122
149,128,122
150,128,122
150,128,122
150,128,122
150,128,122
150,128,122
151,128,122
152,128,122
153,128,122
153,128,122
153,128,122
153,128,122
153,128,122
153,128,122
154,128,122
154,128,122
155,128,122
155,128,122
155,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
154,128,122
155,128,122
155,128,122
155,128,122
155,128,122
155,128,122
154,128,122
155,128,122
157,128,122
157,128,122
157,128,122
156,128,122
155,128,122
155,128,122
163,128,122
160,128,122
158,128,122
157,128,122
158,128,122
158,128,122
157,128,122
156,128,122
154,128,122
133,128,122
94,128,122
44,128,122
37,128,122
35,128,122
44,128,122
41,128,122
33,128,122
31,128,122
39,128,122
43,128,122
44,128,122
43,128,122
42,128,122
55,128,122
62,128,122
71,128,122
82,128,122
95,128,122
108,128,122
116,128,122
123,128,122
131,128,122
132,128,122
137,128,122
142,128,122
146,128,122
147,128,122
150,128,122
153,128,122
156,128,122
153,128,122
149,128,122
141,128,122
136,128,122
134,128,122
134,128,122
132,128,122
129,128,122
124,128,122
125,128,122
127,128,122
133,128,122
139,128,122
148,128,122
155,128,122
160,128,122
163,128,122
161,128,122
161,128,122
162,128,122
163,128,122
165,128,122
167,128,122
168,128,122
167,128,122
169,128,122
173,128,122
177,128,122
177,128,122
175,128,122
173,128,122
172,128,122
173,128,122
176,128,122
177,128,122
176,128,122
174,128,122
168,128,122
163,128,122
159,128,122
156,128,122
156,128,122
156,128,122
157,128,122
158,128,122
161,128,122
161,128,122
161,128,122
160,128,122
159,128,122
159,128,122
158,128,122
159,128,122
160,128,122
160,128,122
161,128,122
155,128,122
151,128,122
133,128,122
108,128,122
66,128,122
38,128,122
22,128,122
25,128,122
25,128,122
20,128,122
21,128,122
23,128,122
19,128,122
20,128,122
24,128,122
25,128,122
21,128,122
23,128,122
22,128,122
22,128,122
22,128,122
23,128,122
24,128,122
25,128,122
23,128,122
23,128,122
23,128,122
23,128,122
23,128,122
23,128,122
23,128,122
23,128,122
23,128,122
23,128,122
23,128,122
22,128,122
21,128,122
21,128,122
21,128,122
21,128,122
21,128,122
21,128,122
133,118,112
125,118,112
117,118,112
114,118,112
119,118,112
127,118,112
132,118,112
135,118,112
139,118,112
141,118,112
142,118,112
143,118,112
142,118,112
144,118,112
145,118,112
147,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
145,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
147,118,112
147,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
147,118,112
147,118,112
147,118,112
147,118,112
148,118,112
148,118,112
148,118,112
148,118,112
149,118,112
149,118,112
149,118,112
150,118,112
150,118,112
150,118,112
150,118,112
150,118,112
151,118,112
151,118,112
151,118,112
152,118,112
152,118,112
152,118,112
152,118,112
151,118,112
151,118,112
151,118,112
151,118,112
151,118,112
151,118,112
151,118,112
151,118,112
151,118,112
152,118,112
152,118,112
152,118,112
152,118,112
153,118,112
153,118,112
154,118,112
154,118,112
152,118,112
153,118,112
154,118,112
156,118,112
156,118,112
155,118,112
154,118,112
153,118,112
161,118,112
160,118,112
157,118,112
155,118,112
155,118,112
155,118,112
154,118,112
154,118,112
154,118,112
137,118,112
101,118,112
55,118,112
38,118,112
32,118,112
38,118,112
36,118,112
30,118,112
31,118,112
40,118,112
44,118,112
46,118,112
45,118,112
46,118,112
57,118,112
63,118,112
71,118,112
84,118,112
96,118,112
108,118,112
116,118,112
121,118,112
126,118,112
130,118,112
135,118,112
140,118,112
145,118,112
147,118,112
149,118,112
153,118,112
156,118,112
157,118,112
152,118,112
148,118,112
143,118,112
141,118,112
140,118,112
139,118,112
137,118,112
134,118,112
135,118,112
139,118,112
143,118,112
148,118,112
151,118,112
155,118,112
157,118,112
160,118,112
161,118,112
162,118,112
162,118,112
164,118,112
166,118,112
169,118,112
171,118,112
168,118,112
170,118,112
175,118,112
180,118,112
180,118,112
176,118,112
173,118,112
173,118,112
174,118,112
177,118,112
178,118,112
178,118,112
176,118,112
172,118,112
165,118,112
160,118,112
157,118,112
157,118,112
157,118,112
157,118,112
158,118,112
159,118,112
159,118,112
158,118,112
158,118,112
157,118,112
158,118,112
158,118,112
159,118,112
161,118,112
162,118,112
162,118,112
155,118,112
152,118,112
134,118,112
110,118,112
70,118,112
41,118,112
22,118,112
26,118,112
25,118,112
23,118,112
24,118,112
23,118,112
20,118,112
19,118,112
23,118,112
26,118,112
21,118,112
23,118,112
22,118,112
21,118,112
21,118,112
23,118,112
24,118,112
25,118,112
23,118,112
25,118,112
23,118,112
23,118,112
23,118,112
23,118,112
23,118,112
23,118,112
23,118,112
23,118,112
23,118,112
22,118,112
21,118,112
20,118,112
20,118,112
21,118,112
21,118,112
21,118,112
132,118,112
125,118,112
118,118,112
117,118,112
121,118,112
129,118,112
134,118,112
137,118,112
138,118,112
140,118,112
142,118,112
143,118,112
141,118,112
143,118,112
144,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
145,118,112
146,118,112
146,118,112
146,118,112
145,118,112
145,118,112
145,118,112
145,118,112
146,118,112
146,118,112
146,118,112
146,118,112
145,118,112
145,118,112
145,118,112
145,118,112
146,118,112
146,118,112
146,118,112
146,118,112
147,118,112
147,118,112
146,118,112
146,118,112
146,118,112
146,118,112
146,118,112
147,118,112
147,118,112
147,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
148,118,112
149,118,112
149,118,112
149,118,112
149,118,112
149,118,112
149,118,112
150,118,112
151,118,112
152,118,112
151,118,112
149,118,112
147,118,112
154,118,112
153,118,112
151,118,112
148,118,112
146,118,112
146,118,112
147,118,112
148,118,112
149,118,112
136,118,112
112,118,112
75,118,112
47,118,112
30,118,112
30,118,112
32,118,112
29,118,112
25,118,112
34,118,112
39,118,112
42,118,112
48,118,112
50,118,112
58,118,112
63,118,112
72,118,112
83,118,112
95,118,112
107,118,112
114,118,112
120,118,112
124,118,112
128,118,112
133,118,112
139,118,112
144,118,112
146,118,112
148,118,112
153,118,112
155,118,112
158,118,112
157,118,112
155,118,112
152,118,112
148,118,112
148,118,112
147,118,112
146,118,112
145,118,112
147,118,112
148,118,112
151,118,112
153,118,112
156,118,112
155,118,112
154,118,112
156,118,112
159,118,112
161,118,112
162,118,112
163,118,112
166,118,112
168,118,112
170,118,112
167,118,112
169,118,112
173,118,112
178,118,112
178,118,112
175,118,112
174,118,112
174,118,112
173,118,112
176,118,112
180,118,112
179,118,112
177,118,112
173,118,112
166,118,112
159,118,112
157,118,112
156,118,112
157,118,112
158,118,112
159,118,112
159,118,112
159,118,112
158,118,112
159,118,112
157,118,112
156,118,112
156,118,112
160,118,112
162,118,112
163,118,112
163,118,112
154,118,112
153,118,112
138,118,112
117,118,112
75,118,112
43,118,112
24,118,112
26,118,112
24,118,112
24,118,112
24,118,112
23,118,112
19,118,112
19,118,112
24,118,112
28,118,112
22,118,112
21,118,112
22,118,112
21,118,112
23,118,112
24,118,112
25,118,112
28,118,112
26,118,112
26,118,112
26,118,112
24,118,112
24,118,112
24,118,112
24,118,112
24,118,112
25,118,112
25,118,112
25,118,112
23,118,112
21,118,112
20,118,112
20,118,112
20,118,112
21,118,112
21,118,112
130,127,121
126,127,121
123,127,121
122,127,121
126,127,121
133,127,121
138,127,121
141,127,121
142,127,121
143,127,121
144,127,121
144,127,121
143,127,121
144,127,121
146,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
146,127,121
146,127,121
146,127,121
146,127,121
146,127,121
146,127,121
146,127,121
146,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
147,127,121
148,127,121
148,127,121
148,127,121
148,127,121
149,127,121
148,127,121
147,127,121
147,127,121
146,127,121
147,127,121
147,127,121
148,127,121
148,127,121
148,127,121
148,127,121
149,127,121
149,127,121
149,127,121
148,127,121
148,127,121
149,127,121
149,127,121
149,127,121
149,127,121
149,127,121
149,127,121
149,127,121
149,127,121
148,127,121
148,127,121
148,127,121
148,127,121
148,127,121
148,127,121
148,127,121
148,127,121
149,127,121
149,127,121
149,127,121
150,127,121
150,127,121
149,127,121
147,127,121
145,127,121
153,127,121
152,127,121
150,127,121
147,127,121
145,127,121
145,127,121
146,127,121
147,127,121
152,127,121
141,127,121
126,127,121
102,127,121
58,127,121
27,127,121
23,127,121
31,127,121
27,127,121
20,127,121
26,127,121
31,127,121
37,127,121
49,127,121
52,127,121
56,127,121
62,127,121
72,127,121
83,127,121
95,127,121
108,127,121
115,127,121
120,127,121
123,127,121
130,127,121
135,127,121
141,127,121
145,127,121
145,127,121
147,127,121
152,127,121
155,127,121
162,127,121
163,127,121
161,127,121
160,127,121
158,127,121
157,127,121
157,127,121
157,127,121
154,127,121
154,127,121
155,127,121
155,127,121
156,127,121
157,127,121
156,127,121
154,127,121
156,127,121
159,127,121
161,127,121
162,127,121
161,127,121
165,127,121
168,127,121
167,127,121
165,127,121
168,127,121
170,127,121
172,127,121
172,127,121
172,127,121
170,127,121
171,127,121
172,127,121
176,127,121
179,127,121
179,127,121
177,127,121
173,127,121
166,127,121
161,127,121
156,127,121
156,127,121
156,127,121
157,127,121
158,127,121
158,127,121
158,127,121
158,127,121
159,127,121
158,127,121
156,127,121
156,127,121
158,127,121
160,127,121
161,127,121
161,127,121
151,127,121
155,127,121
144,127,121
126,127,121
81,127,121
48,127,121
24,127,121
26,127,121
24,127,121
26,127,121
25,127,121
22,127,121
19,127,121
21,127,121
24,127,121
30,127,121
22,127,121
21,127,121
22,127,121
22,127,121
23,127,121
24,127,121
28,127,121
29,127,121
28,127,121
28,127,121
28,127,121
28,127,121
26,127,121
26,127,121
26,127,121
26,127,121
27,127,121
27,127,121
26,127,121
24,127,121
22,127,121
21,127,121
20,127,121
20,127,121
21,127,121
21,127,121
129,137,131
126,137,131
124,137,131
125,137,131
129,137,131
136,137,131
141,137,131
144,137,131
146,137,131
146,137,131
146,137,131
146,137,131
145,137,131
147,137,131
148,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
150,137,131
150,137,131
150,137,131
150,137,131
150,137,131
150,137,131
150,137,131
150,137,131
149,137,131
149,137,131
149,137,131
149,137,131
149,137,131
150,137,131
150,137,131
150,137,131
151,137,131
151,137,131
151,137,131
151,137,131
151,137,131
152,137,131
152,137,131
152,137,131
152,137,131
152,137,131
151,137,131
150,137,131
150,137,131
150,137,131
151,137,131
151,137,131
151,137,131
151,137,131
152,137,131
152,137,131
153,137,131
152,137,131
152,137,131
152,137,131
151,137,131
151,137,131
151,137,131
151,137,131
151,137,131
151,137,131
151,137,131
151,137,131
152,137,131
152,137,131
152,137,131
152,137,131
151,137,131
151,137,131
151,137,131
151,137,131
153,137,131
152,137,131
152,137,131
152,137,131
152,137,131
151,137,131
150,137,131
149,137,131
158,137,131
157,137,131
156,137,131
153,137,131
152,137,131
152,137,131
153,137,131
153,137,131
158,137,131
151,137,131
141,137,131
122,137,131
68,137,131
32,137,131
21,137,131
30,137,131
26,137,131
16,137,131
18,137,131
23,137,131
30,137,131
43,137,131
50,137,131
52,137,131
60,137,131
70,137,131
82,137,131
94,137,131
106,137,131
115,137,131
120,137,131
124,137,131
134,137,131
139,137,131
145,137,131
145,137,131
145,137,131
147,137,131
151,137,131
155,137,131
162,137,131
165,137,131
166,137,131
167,137,131
167,137,131
166,137,131
166,137,131
166,137,131
163,137,131
161,137,131
159,137,131
160,137,131
159,137,131
158,137,131
156,137,131
155,137,131
155,137,131
159,137,131
160,137,131
159,137,131
158,137,131
160,137,131
163,137,131
163,137,131
