R,G,B
45,27,17
45,27,17
43,27,17
41,27,17
37,27,17
37,27,17
37,27,17
35,27,17
34,27,17
33,27,17
31,27,17
30,27,17
28,27,17
27,27,17
26,27,17
26,27,17
27,27,17
27,27,17
27,27,17
23,27,17
22,27,17
22,27,17
22,27,17
22,27,17
21,27,17
22,27,17
23,27,17
21,27,17
17,27,17
15,27,17
14,27,17
12,27,17
11,27,17
11,27,17
13,27,17
14,27,17
14,27,17
14,27,17
14,27,17
14,27,17
15,27,17
15,27,17
14,27,17
13,27,17
11,27,17
9,27,17
8,27,17
8,27,17
8,27,17
8,27,17
7,27,17
6,27,17
6,27,17
6,27,17
5,27,17
5,27,17
3,27,17
3,27,17
3,27,17
2,27,17
2,27,17
2,27,17
1,27,17
1,27,17
4,27,17
4,27,17
4,27,17
5,27,17
5,27,17
7,27,17
7,27,17
7,27,17
7,27,17
7,27,17
7,27,17
8,27,17
8,27,17
6,27,17
6,27,17
7,27,17
6,27,17
6,27,17
6,27,17
6,27,17
6,27,17
8,27,17
8,27,17
8,27,17
9,27,17
8,27,17
9,27,17
8,27,17
9,27,17
9,27,17
10,27,17
10,27,17
13,27,17
15,27,17
16,27,17
16,27,17
16,27,17
16,27,17
15,27,17
17,27,17
16,27,17
17,27,17
18,27,17
19,27,17
19,27,17
19,27,17
20,27,17
20,27,17
24,27,17
26,27,17
28,27,17
29,27,17
28,27,17
28,27,17
26,27,17
24,27,17
22,27,17
20,27,17
18,27,17
14,27,17
14,27,17
12,27,17
12,27,17
12,27,17
12,27,17
13,27,17
14,27,17
14,27,17
16,27,17
18,27,17
20,27,17
20,27,17
22,27,17
26,27,17
29,27,17
30,27,17
31,27,17
31,27,17
29,27,17
26,27,17
22,27,17
16,27,17
10,27,17
8,27,17
9,27,17
12,27,17
14,27,17
14,27,17
13,27,17
12,27,17
11,27,17
10,27,17
9,27,17
14,27,17
24,27,17
34,27,17
45,27,17
58,27,17
74,27,17
89,27,17
98,27,17
97,27,17
91,27,17
88,27,17
104,27,17
126,27,17
154,27,17
173,27,17
183,27,17
185,27,17
180,27,17
175,27,17
163,27,17
163,27,17
162,27,17
162,27,17
161,27,17
162,27,17
166,27,17
169,27,17
174,27,17
176,27,17
177,27,17
184,27,17
196,27,17
203,27,17
204,27,17
203,27,17
203,27,17
200,27,17
197,27,17
197,27,17
201,27,17
207,27,17
210,27,17
210,27,17
214,27,17
218,27,17
204,27,17
194,27,17
183,27,17
165,27,17
146,27,17
128,27,17
104,27,17
86,27,17
86,27,17
107,27,17
130,27,17
132,27,17
154,27,17
169,27,17
181,27,17
179,27,17
177,27,17
176,27,17
179,27,17
186,27,17
196,27,17
202,27,17
206,27,17
202,27,17
200,27,17
199,27,17
201,27,17
202,27,17
205,27,17
208,27,17
210,27,17
211,27,17
209,27,17
206,27,17
204,27,17
205,27,17
206,27,17
206,27,17
204,27,17
204,27,17
202,27,17
203,27,17
203,27,17
202,27,17
202,27,17
202,27,17
202,27,17
202,27,17
41,22,13
42,22,13
41,22,13
39,22,13
38,22,13
39,22,13
37,22,13
35,22,13
34,22,13
33,22,13
31,22,13
29,22,13
26,22,13
25,22,13
24,22,13
24,22,13
26,22,13
26,22,13
26,22,13
27,22,13
26,22,13
27,22,13
27,22,13
28,22,13
24,22,13
23,22,13
20,22,13
19,22,13
15,22,13
14,22,13
13,22,13
13,22,13
12,22,13
12,22,13
12,22,13
12,22,13
12,22,13
12,22,13
13,22,13
13,22,13
14,22,13
14,22,13
14,22,13
14,22,13
12,22,13
11,22,13
10,22,13
9,22,13
9,22,13
9,22,13
8,22,13
7,22,13
7,22,13
5,22,13
6,22,13
6,22,13
3,22,13
3,22,13
3,22,13
2,22,13
1,22,13
1,22,13
1,22,13
1,22,13
3,22,13
3,22,13
3,22,13
6,22,13
6,22,13
6,22,13
6,22,13
7,22,13
7,22,13
7,22,13
7,22,13
8,22,13
8,22,13
8,22,13
8,22,13
8,22,13
6,22,13
6,22,13
6,22,13
6,22,13
8,22,13
8,22,13
8,22,13
8,22,13
8,22,13
8,22,13
9,22,13
8,22,13
9,22,13
9,22,13
10,22,13
10,22,13
12,22,13
14,22,13
14,22,13
15,22,13
15,22,13
15,22,13
15,22,13
17,22,13
17,22,13
17,22,13
19,22,13
20,22,13
20,22,13
20,22,13
21,22,13
21,22,13
25,22,13
26,22,13
28,22,13
29,22,13
29,22,13
29,22,13
27,22,13
24,22,13
21,22,13
18,22,13
16,22,13
13,22,13
13,22,13
12,22,13
13,22,13
13,22,13
14,22,13
14,22,13
15,22,13
15,22,13
17,22,13
18,22,13
22,22,13
22,22,13
23,22,13
24,22,13
29,22,13
32,22,13
36,22,13
34,22,13
31,22,13
27,22,13
18,22,13
15,22,13
11,22,13
9,22,13
8,22,13
11,22,13
13,22,13
15,22,13
14,22,13
12,22,13
8,22,13
9,22,13
11,22,13
20,22,13
33,22,13
43,22,13
56,22,13
66,22,13
75,22,13
79,22,13
83,22,13
86,22,13
96,22,13
105,22,13
122,22,13
142,22,13
159,22,13
170,22,13
174,22,13
173,22,13
170,22,13
167,22,13
167,22,13
166,22,13
165,22,13
162,22,13
162,22,13
166,22,13
173,22,13
176,22,13
182,22,13
189,22,13
192,22,13
194,22,13
196,22,13
196,22,13
197,22,13
199,22,13
201,22,13
203,22,13
205,22,13
207,22,13
209,22,13
207,22,13
201,22,13
194,22,13
199,22,13
206,22,13
198,22,13
190,22,13
184,22,13
166,22,13
144,22,13
122,22,13
99,22,13
102,22,13
115,22,13
133,22,13
148,22,13
143,22,13
158,22,13
166,22,13
181,22,13
182,22,13
184,22,13
183,22,13
185,22,13
187,22,13
192,22,13
196,22,13
201,22,13
199,22,13
198,22,13
199,22,13
203,22,13
205,22,13
209,22,13
212,22,13
213,22,13
213,22,13
212,22,13
210,22,13
209,22,13
210,22,13
210,22,13
210,22,13
208,22,13
208,22,13
205,22,13
205,22,13
204,22,13
203,22,13
205,22,13
205,22,13
202,22,13
202,22,13
38,19,10
40,19,10
39,19,10
38,19,10
39,19,10
38,19,10
38,19,10
36,19,10
33,19,10
33,19,10
30,19,10
27,19,10
