R,G,B
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
