R,G,B
157,156,110
158,156,110
158,156,110
158,156,110
159,156,110
159,156,110
160,156,110
160,156,110
160,156,110
160,156,110
161,156,110
161,156,110
161,156,110
160,156,110
160,156,110
159,156,110
159,156,110
159,156,110
158,156,110
158,156,110
158,156,110
157,156,110
157,156,110
157,156,110
158,156,110
157,156,110
154,156,110
152,156,110
153,156,110
156,156,110
159,156,110
161,156,110
161,156,110
159,156,110
158,156,110
157,156,110
157,156,110
159,156,110
161,156,110
162,156,110
162,156,110
161,156,110
155,156,110
141,156,110
128,156,110
114,156,110
101,156,110
93,156,110
73,156,110
65,156,110
57,156,110
49,156,110
45,156,110
45,156,110
44,156,110
40,156,110
36,156,110
32,156,110
29,156,110
27,156,110
26,156,110
24,156,110
22,156,110
21,156,110
22,156,110
20,156,110
21,156,110
22,156,110
22,156,110
22,156,110
22,156,110
25,156,110
22,156,110
20,156,110
18,156,110
16,156,110
14,156,110
11,156,110
8,156,110
5,156,110
7,156,110
7,156,110
8,156,110
12,156,110
20,156,110
22,156,110
22,156,110
22,156,110
19,156,110
18,156,110
17,156,110
15,156,110
17,156,110
18,156,110
20,156,110
22,156,110
29,156,110
23,156,110
15,156,110
10,156,110
10,156,110
14,156,110
21,156,110
25,156,110
30,156,110
35,156,110
40,156,110
43,156,110
45,156,110
47,156,110
48,156,110
47,156,110
40,156,110
33,156,110
27,156,110
21,156,110
15,156,110
10,156,110
7,156,110
8,156,110
8,156,110
9,156,110
12,156,110
12,156,110
13,156,110
14,156,110
14,156,110
13,156,110
17,156,110
16,156,110
14,156,110
12,156,110
12,156,110
13,156,110
14,156,110
14,156,110
15,156,110
13,156,110
11,156,110
11,156,110
13,156,110
14,156,110
18,156,110
25,156,110
26,156,110
25,156,110
31,156,110
34,156,110
43,156,110
49,156,110
46,156,110
53,156,110
68,156,110
95,156,110
131,156,110
159,156,110
186,156,110
175,156,110
174,156,110
185,156,110
223,156,110
202,156,110
162,156,110
131,156,110
168,156,110
204,156,110
248,156,110
255,156,110
255,156,110
247,156,110
242,156,110
237,156,110
236,156,110
240,156,110
242,156,110
243,156,110
251,156,110
250,156,110
249,156,110
248,156,110
246,156,110
243,156,110
243,156,110
242,156,110
241,156,110
241,156,110
242,156,110
241,156,110
242,156,110
243,156,110
242,156,110
241,156,110
241,156,110
239,156,110
234,156,110
231,156,110
227,156,110
224,156,110
223,156,110
223,156,110
223,156,110
223,156,110
222,156,110
226,156,110
234,156,110
236,156,110
237,156,110
241,156,110
245,156,110
235,156,110
200,156,110
155,156,110
147,156,110
147,156,110
157,156,110
164,156,110
169,156,110
159,156,110
161,156,110
154,156,110
153,156,110
163,156,110
179,156,110
208,156,110
209,156,110
236,156,110
254,156,110
255,156,110
255,156,110
244,156,110
231,156,110
224,156,110
217,156,110
213,156,110
213,156,110
217,156,110
224,156,110
229,156,110
231,156,110
229,156,110
233,156,110
231,156,110
230,156,110
229,156,110
229,156,110
229,156,110
231,156,110
234,156,110
242,156,110
244,156,110
158,157,111
158,157,111
158,157,111
159,157,111
159,157,111
160,157,111
160,157,111
160,157,111
160,157,111
161,157,111
161,157,111
161,157,111
161,157,111
160,157,111
160,157,111
160,157,111
159,157,111
159,157,111
159,157,111
158,157,111
158,157,111
158,157,111
157,157,111
157,157,111
158,157,111
157,157,111
155,157,111
153,157,111
154,157,111
156,157,111
159,157,111
161,157,111
161,157,111
160,157,111
158,157,111
158,157,111
158,157,111
160,157,111
162,157,111
162,157,111
163,157,111
163,157,111
157,157,111
147,157,111
134,157,111
123,157,111
109,157,111
99,157,111
87,157,111
74,157,111
63,157,111
55,157,111
50,157,111
48,157,111
46,157,111
40,157,111
40,157,111
39,157,111
35,157,111
34,157,111
31,157,111
29,157,111
27,157,111
25,157,111
26,157,111
26,157,111
27,157,111
31,157,111
30,157,111
25,157,111
23,157,111
22,157,111
25,157,111
24,157,111
22,157,111
20,157,111
17,157,111
14,157,111
9,157,111
7,157,111
10,157,111
9,157,111
9,157,111
11,157,111
16,157,111
18,157,111
18,157,111
19,157,111
17,157,111
18,157,111
18,157,111
18,157,111
17,157,111
18,157,111
17,157,111
17,157,111
18,157,111
16,157,111
15,157,111
13,157,111
14,157,111
17,157,111
21,157,111
23,157,111
29,157,111
34,157,111
39,157,111
42,157,111
44,157,111
45,157,111
43,157,111
41,157,111
37,157,111
32,157,111
26,157,111
19,157,111
13,157,111
8,157,111
7,157,111
7,157,111
11,157,111
14,157,111
16,157,111
16,157,111
14,157,111
15,157,111
15,157,111
15,157,111
16,157,111
15,157,111
13,157,111
12,157,111
12,157,111
13,157,111
15,157,111
17,157,111
18,157,111
18,157,111
18,157,111
20,157,111
19,157,111
18,157,111
20,157,111
26,157,111
29,157,111
28,157,111
31,157,111
36,157,111
46,157,111
53,157,111
51,157,111
61,157,111
75,157,111
106,157,111
148,157,111
174,157,111
193,157,111
177,157,111
171,157,111
181,157,111
218,157,111
202,157,111
167,157,111
135,157,111
170,157,111
203,157,111
247,157,111
255,157,111
255,157,111
248,157,111
242,157,111
238,157,111
238,157,111
240,157,111
242,157,111
243,157,111
251,157,111
250,157,111
249,157,111
248,157,111
246,157,111
243,157,111
243,157,111
242,157,111
241,157,111
241,157,111
242,157,111
241,157,111
242,157,111
243,157,111
242,157,111
241,157,111
242,157,111
240,157,111
235,157,111
232,157,111
227,157,111
226,157,111
225,157,111
224,157,111
222,157,111
222,157,111
222,157,111
225,157,111
233,157,111
235,157,111
239,157,111
243,157,111
246,157,111
237,157,111
205,157,111
157,157,111
147,157,111
146,157,111
158,157,111
166,157,111
169,157,111
158,157,111
153,157,111
144,157,111
144,157,111
160,157,111
183,157,111
219,157,111
223,157,111
245,157,111
255,157,111
255,157,111
251,157,111
242,157,111
230,157,111
227,157,111
221,157,111
219,157,111
219,157,111
221,157,111
226,157,111
229,157,111
229,157,111
230,157,111
232,157,111
230,157,111
229,157,111
229,157,111
229,157,111
230,157,111
233,157,111
237,157,111
241,157,111
243,157,111
158,157,111
158,157,111
158,157,111
159,157,111
160,157,111
160,157,111
161,157,111
161,157,111
160,157,111
161,157,111
161,157,111
161,157,111
161,157,111
161,157,111
160,157,111
160,157,111
160,157,111
160,157,111
159,157,111
159,157,111
158,157,111
158,157,111
158,157,111
158,157,111
158,157,111
157,157,111
156,157,111
155,157,111
155,157,111
157,157,111
159,157,111
160,157,111
160,157,111
160,157,111
159,157,111
159,157,111
160,157,111
161,157,111
162,157,111
162,157,111
162,157,111
162,157,111
159,157,111
152,157,111
145,157,111
137,157,111
125,157,111
114,157,111
95,157,111
81,157,111
70,157,111
65,157,111
62,157,111
62,157,111
60,157,111
57,157,111
44,157,111
42,157,111
41,157,111
41,157,111
38,157,111
36,157,111
34,157,111
32,157,111
32,157,111
33,157,111
34,157,111
37,157,111
35,157,111
30,157,111
26,157,111
22,157,111
30,157,111
29,157,111
28,157,111
26,157,111
24,157,111
19,157,111
15,157,111
12,157,111
8,157,111
8,157,111
7,157,111
5,157,111
6,157,111
6,157,111
7,157,111
8,157,111
13,157,111
16,157,111
18,157,111
21,157,111
20,157,111
18,157,111
17,157,111
15,157,111
9,157,111
10,157,111
10,157,111
12,157,111
14,157,111
18,157,111
21,157,111
23,157,111
34,157,111
38,157,111
43,157,111
44,157,111
44,157,111
43,157,111
37,157,111
35,157,111
27,157,111
23,157,111
19,157,111
13,157,111
10,157,111
8,157,111
7,157,111
8,157,111
15,157,111
18,157,111
23,157,111
23,157,111
22,157,111
20,157,111
17,157,111
15,157,111
11,157,111
9,157,111
7,157,111
6,157,111
6,157,111
8,157,111
11,157,111
12,157,111
23,157,111
26,157,111
28,157,111
30,157,111
28,157,111
25,157,111
26,157,111
31,157,111
32,157,111
30,157,111
33,157,111
39,157,111
49,157,111
54,157,111
57,157,111
72,157,111
93,157,111
128,157,111
171,157,111
192,157,111
204,157,111
182,157,111
176,157,111
185,157,111
212,157,111
195,157,111
164,157,111
135,157,111
176,157,111
211,157,111
248,157,111
255,157,111
254,157,111
248,157,111
