R,G,B
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
132,0,0
254,0,0
252,0,0
248,0,0
246,0,0
247,0,0
248,0,0
245,0,0
241,0,0
233,0,0
223,0,0
208,0,0
193,0,0
188,0,0
194,0,0
209,0,0
228,0,0
241,0,0
246,0,0
247,0,0
238,0,0
221,0,0
210,0,0
202,0,0
205,0,0
206,0,0
207,0,0
211,0,0
214,0,0
221,0,0
228,0,0
231,0,0
231,0,0
227,0,0
225,0,0
226,0,0
224,0,0
221,0,0
220,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
228,0,0
227,0,0
224,0,0
221,0,0
220,0,0
221,0,0
224,0,0
230,0,0
230,0,0
214,0,0
189,0,0
172,0,0
169,0,0
171,0,0
168,0,0
165,0,0
178,0,0
176,0,0
174,0,0
172,0,0
171,0,0
170,0,0
166,0,0
166,0,0
167,0,0
166,0,0
165,0,0
166,0,0
167,0,0
168,0,0
170,0,0
171,0,0
169,0,0
173,0,0
179,0,0
186,0,0
192,0,0
200,0,0
210,0,0
220,0,0
231,0,0
238,0,0
237,0,0
228,0,0
222,0,0
217,0,0
204,0,0
191,0,0
194,0,0
196,0,0
209,0,0
227,0,0
238,0,0
234,0,0
227,0,0
222,0,0
220,0,0
228,0,0
233,0,0
229,0,0
222,0,0
216,0,0
214,0,0
212,0,0
218,0,0
220,0,0
220,0,0
219,0,0
219,0,0
219,0,0
219,0,0
219,0,0
219,0,0
219,0,0
218,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
217,0,0
218,0,0
217,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
215,0,0
216,0,0
216,0,0
215,0,0
217,0,0
213,0,0
218,0,0
215,0,0
209,0,0
211,0,0
207,0,0
206,0,0
159,0,0
73,0,0
26,0,0
11,0,0
8,0,0
14,0,0
7,0,0
10,0,0
10,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
7,0,0
5,0,0
7,0,0
7,0,0
8,0,0
9,0,0
10,0,0
10,0,0
11,0,0
11,0,0
12,0,0
12,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
130,0,0
248,0,0
246,0,0
245,0,0
247,0,0
250,0,0
