R,G,B
3,0,4
1,0,4
0,0,4
0,0,4
0,0,4
1,0,4
0,0,4
0,0,4
0,0,4
4,0,4
28,0,4
75,0,4
88,0,4
91,0,4
88,0,4
85,0,4
88,0,4
89,0,4
89,0,4
89,0,4
90,0,4
90,0,4
90,0,4
90,0,4
90,0,4
90,0,4
90,0,4
90,0,4
90,0,4
90,0,4
90,0,4
90,0,4
92,0,4
93,0,4
93,0,4
94,0,4
94,0,4
95,0,4
94,0,4
94,0,4
93,0,4
93,0,4
93,0,4
92,0,4
92,0,4
92,0,4
93,0,4
93,0,4
92,0,4
92,0,4
92,0,4
92,0,4
92,0,4
93,0,4
93,0,4
94,0,4
93,0,4
91,0,4
91,0,4
90,0,4
90,0,4
91,0,4
92,0,4
93,0,4
89,0,4
90,0,4
90,0,4
89,0,4
89,0,4
89,0,4
88,0,4
87,0,4
85,0,4
84,0,4
81,0,4
80,0,4
81,0,4
83,0,4
87,0,4
88,0,4
86,0,4
84,0,4
81,0,4
80,0,4
81,0,4
85,0,4
86,0,4
81,0,4
79,0,4
78,0,4
80,0,4
82,0,4
81,0,4
79,0,4
74,0,4
69,0,4
65,0,4
64,0,4
63,0,4
62,0,4
60,0,4
60,0,4
62,0,4
66,0,4
68,0,4
70,0,4
71,0,4
70,0,4
67,0,4
67,0,4
71,0,4
77,0,4
83,0,4
86,0,4
89,0,4
88,0,4
87,0,4
88,0,4
89,0,4
89,0,4
84,0,4
80,0,4
74,0,4
71,0,4
70,0,4
70,0,4
70,0,4
70,0,4
69,0,4
67,0,4
67,0,4
66,0,4
62,0,4
58,0,4
54,0,4
50,0,4
46,0,4
42,0,4
40,0,4
37,0,4
36,0,4
36,0,4
37,0,4
37,0,4
39,0,4
39,0,4
42,0,4
44,0,4
48,0,4
50,0,4
52,0,4
54,0,4
54,0,4
55,0,4
56,0,4
56,0,4
55,0,4
55,0,4
55,0,4
54,0,4
52,0,4
53,0,4
53,0,4
52,0,4
54,0,4
54,0,4
55,0,4
58,0,4
59,0,4
55,0,4
58,0,4
52,0,4
50,0,4
47,0,4
47,0,4
69,0,4
83,0,4
94,0,4
89,0,4
69,0,4
53,0,4
40,0,4
29,0,4
28,0,4
27,0,4
30,0,4
32,0,4
33,0,4
32,0,4
32,0,4
32,0,4
32,0,4
31,0,4
31,0,4
31,0,4
31,0,4
31,0,4
31,0,4
31,0,4
31,0,4
33,0,4
33,0,4
34,0,4
35,0,4
35,0,4
35,0,4
34,0,4
34,0,4
35,0,4
35,0,4
35,0,4
36,0,4
36,0,4
36,0,4
36,0,4
36,0,4
36,0,4
35,0,4
35,0,4
35,0,4
35,0,4
36,0,4
36,0,4
36,0,4
38,0,4
39,0,4
39,0,4
39,0,4
42,0,4
44,0,4
42,0,4
39,0,4
41,0,4
58,0,4
93,0,4
145,0,4
192,0,4
225,0,4
250,0,4
255,0,4
255,0,4
255,0,4
252,0,4
245,0,4
240,0,4
237,0,4
234,0,4
234,0,4
236,0,4
238,0,4
3,0,2
1,0,2
0,0,2
0,0,2
0,0,2
1,0,2
0,0,2
0,0,2
0,0,2
4,0,2
28,0,2
75,0,2
88,0,2
91,0,2
88,0,2
85,0,2
89,0,2
89,0,2
89,0,2
89,0,2
90,0,2
90,0,2
90,0,2
91,0,2
90,0,2
90,0,2
90,0,2
90,0,2
90,0,2
90,0,2
90,0,2
90,0,2
92,0,2
93,0,2
94,0,2
94,0,2
95,0,2
95,0,2
95,0,2
94,0,2
94,0,2
93,0,2
93,0,2
93,0,2
92,0,2
93,0,2
93,0,2
93,0,2
92,0,2
92,0,2
92,0,2
92,0,2
92,0,2
93,0,2
94,0,2
94,0,2
93,0,2
92,0,2
91,0,2
90,0,2
90,0,2
91,0,2
92,0,2
93,0,2
91,0,2
90,0,2
90,0,2
90,0,2
90,0,2
89,0,2
88,0,2
87,0,2
86,0,2
84,0,2
82,0,2
80,0,2
81,0,2
85,0,2
86,0,2
88,0,2
86,0,2
84,0,2
82,0,2
81,0,2
81,0,2
85,0,2
86,0,2
81,0,2
79,0,2
78,0,2
80,0,2
82,0,2
81,0,2
79,0,2
74,0,2
69,0,2
65,0,2
63,0,2
62,0,2
62,0,2
60,0,2
59,0,2
62,0,2
66,0,2
68,0,2
70,0,2
71,0,2
70,0,2
67,0,2
67,0,2
71,0,2
77,0,2
83,0,2
86,0,2
88,0,2
88,0,2
87,0,2
88,0,2
89,0,2
89,0,2
84,0,2
80,0,2
75,0,2
72,0,2
70,0,2
70,0,2
70,0,2
70,0,2
69,0,2
68,0,2
67,0,2
66,0,2
62,0,2
58,0,2
55,0,2
50,0,2
46,0,2
42,0,2
40,0,2
37,0,2
36,0,2
37,0,2
38,0,2
38,0,2
39,0,2
39,0,2
42,0,2
44,0,2
48,0,2
50,0,2
52,0,2
53,0,2
55,0,2
55,0,2
56,0,2
56,0,2
55,0,2
55,0,2
54,0,2
54,0,2
52,0,2
54,0,2
53,0,2
52,0,2
54,0,2
54,0,2
55,0,2
57,0,2
59,0,2
56,0,2
57,0,2
50,0,2
49,0,2
49,0,2
54,0,2
77,0,2
91,0,2
95,0,2
84,0,2
64,0,2
50,0,2
37,0,2
28,0,2
27,0,2
26,0,2
29,0,2
31,0,2
32,0,2
32,0,2
31,0,2
31,0,2
32,0,2
30,0,2
30,0,2
30,0,2
30,0,2
30,0,2
30,0,2
30,0,2
30,0,2
32,0,2
32,0,2
32,0,2
33,0,2
33,0,2
33,0,2
33,0,2
33,0,2
35,0,2
35,0,2
35,0,2
35,0,2
36,0,2
36,0,2
36,0,2
36,0,2
36,0,2
35,0,2
35,0,2
35,0,2
35,0,2
36,0,2
36,0,2
36,0,2
39,0,2
39,0,2
39,0,2
38,0,2
40,0,2
42,0,2
42,0,2
40,0,2
37,0,2
51,0,2
78,0,2
121,0,2
166,0,2
205,0,2
236,0,2
251,0,2
255,0,2
255,0,2
254,0,2
248,0,2
243,0,2
240,0,2
235,0,2
235,0,2
236,0,2
238,0,2
3,1,0
1,1,0
0,1,0
0,1,0
0,1,0
1,1,0
0,1,0
0,1,0
0,1,0
4,1,0
28,1,0
76,1,0
89,1,0
91,1,0
89,1,0
85,1,0
89,1,0
89,1,0
89,1,0
90,1,0
90,1,0
90,1,0
91,1,0
91,1,0
91,1,0
91,1,0
91,1,0
91,1,0
91,1,0
91,1,0
91,1,0
91,1,0
93,1,0
93,1,0
94,1,0
94,1,0
95,1,0
95,1,0
95,1,0
95,1,0
94,1,0
94,1,0
93,1,0
93,1,0
93,1,0
93,1,0
93,1,0
93,1,0
93,1,0
93,1,0
93,1,0
93,1,0
93,1,0
