R,G,B
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
24,25,53
24,25,53
24,25,53
24,25,53
23,25,53
23,25,53
23,25,53
22,25,53
22,25,53
22,25,53
23,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
23,25,53
23,25,53
21,25,53
22,25,53
23,25,53
24,25,53
25,25,53
26,25,53
26,25,53
28,25,53
26,25,53
27,25,53
27,25,53
27,25,53
27,25,53
30,25,53
30,25,53
30,25,53
34,25,53
34,25,53
35,25,53
35,25,53
37,25,53
36,25,53
37,25,53
40,25,53
42,25,53
43,25,53
44,25,53
47,25,53
48,25,53
48,25,53
49,25,53
49,25,53
60,25,53
62,25,53
60,25,53
55,25,53
53,25,53
51,25,53
55,25,53
61,25,53
61,25,53
65,25,53
76,25,53
85,25,53
104,25,53
126,25,53
132,25,53
137,25,53
134,25,53
133,25,53
134,25,53
135,25,53
135,25,53
135,25,53
135,25,53
134,25,53
132,25,53
132,25,53
132,25,53
133,25,53
135,25,53
135,25,53
132,25,53
131,25,53
128,25,53
129,25,53
130,25,53
130,25,53
129,25,53
128,25,53
128,25,53
127,25,53
127,25,53
125,25,53
127,25,53
127,25,53
127,25,53
126,25,53
124,25,53
123,25,53
125,25,53
127,25,53
129,25,53
132,25,53
133,25,53
133,25,53
133,25,53
133,25,53
135,25,53
138,25,53
141,25,53
145,25,53
150,25,53
148,25,53
135,25,53
121,25,53
107,25,53
93,25,53
81,25,53
78,25,53
82,25,53
86,25,53
88,25,53
92,25,53
90,25,53
91,25,53
92,25,53
93,25,53
94,25,53
98,25,53
100,25,53
102,25,53
101,25,53
101,25,53
103,25,53
103,25,53
106,25,53
105,25,53
105,25,53
105,25,53
105,25,53
103,25,53
103,25,53
104,25,53
107,25,53
109,25,53
112,25,53
114,25,53
112,25,53
114,25,53
115,25,53
117,25,53
116,25,53
117,25,53
118,25,53
120,25,53
124,25,53
125,25,53
124,25,53
119,25,53
117,25,53
116,25,53
119,25,53
125,25,53
135,25,53
156,25,53
176,25,53
190,25,53
196,25,53
195,25,53
189,25,53
184,25,53
179,25,53
177,25,53
173,25,53
172,25,53
174,25,53
175,25,53
171,25,53
166,25,53
163,25,53
165,25,53
163,25,53
163,25,53
159,25,53
146,25,53
123,25,53
89,25,53
60,25,53
30,25,53
28,25,53
30,25,53
34,25,53
41,25,53
75,25,53
104,25,53
118,25,53
136,25,53
151,25,53
165,25,53
184,25,53
197,25,53
200,25,53
199,25,53
204,25,53
204,25,53
204,25,53
205,25,53
207,25,53
212,25,53
217,25,53
220,25,53
223,25,53
225,25,53
225,25,53
223,25,53
222,25,53
221,25,53
217,25,53
213,25,53
206,25,53
205,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
25,25,53
24,25,53
24,25,53
24,25,53
24,25,53
23,25,53
23,25,53
23,25,53
22,25,53
22,25,53
22,25,53
23,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
24,25,53
23,25,53
23,25,53
21,25,53
22,25,53
23,25,53
24,25,53
26,25,53
26,25,53
26,25,53
28,25,53
26,25,53
27,25,53
27,25,53
27,25,53
27,25,53
28,25,53
30,25,53
31,25,53
34,25,53
34,25,53
34,25,53
35,25,53
35,25,53
37,25,53
38,25,53
39,25,53
41,25,53
42,25,53
44,25,53
46,25,53
47,25,53
48,25,53
48,25,53
47,25,53
58,25,53
60,25,53
58,25,53
52,25,53
50,25,53
50,25,53
55,25,53
60,25,53
63,25,53
65,25,53
78,25,53
89,25,53
106,25,53
127,25,53
133,25,53
136,25,53
135,25,53
135,25,53
134,25,53
134,25,53
134,25,53
134,25,53
133,25,53
131,25,53
127,25,53
