R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
5,0,0
7,0,0
23,0,0
24,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
26,0,0
25,0,0
25,0,0
25,0,0
25,0,0
25,0,0
26,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
30,0,0
30,0,0
30,0,0
30,0,0
29,0,0
28,0,0
27,0,0
27,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
31,0,0
31,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
27,0,0
26,0,0
25,0,0
25,0,0
24,0,0
22,0,0
25,0,0
26,0,0
28,0,0
30,0,0
30,0,0
32,0,0
33,0,0
31,0,0
42,0,0
30,0,0
33,0,0
40,0,0
31,0,0
30,0,0
36,0,0
42,0,0
98,0,0
202,0,0
239,0,0
253,0,0
242,0,0
245,0,0
255,0,0
254,0,0
245,0,0
233,0,0
233,0,0
227,0,0
218,0,0
199,0,0
192,0,0
189,0,0
170,0,0
143,0,0
128,0,0
114,0,0
114,0,0
116,0,0
101,0,0
