R,G,B
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
4,0,0
8,0,0
65,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
92,0,0
92,0,0
92,0,0
93,0,0
93,0,0
93,0,0
93,0,0
93,0,0
94,0,0
94,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
96,0,0
96,0,0
96,0,0
96,0,0
97,0,0
97,0,0
97,0,0
96,0,0
97,0,0
96,0,0
91,0,0
86,0,0
80,0,0
72,0,0
66,0,0
61,0,0
61,0,0
61,0,0
60,0,0
57,0,0
54,0,0
56,0,0
58,0,0
59,0,0
60,0,0
63,0,0
67,0,0
72,0,0
78,0,0
82,0,0
85,0,0
98,0,0
100,0,0
104,0,0
108,0,0
111,0,0
113,0,0
115,0,0
117,0,0
117,0,0
118,0,0
119,0,0
122,0,0
124,0,0
124,0,0
123,0,0
122,0,0
123,0,0
122,0,0
121,0,0
122,0,0
124,0,0
127,0,0
131,0,0
131,0,0
133,0,0
135,0,0
132,0,0
123,0,0
104,0,0
86,0,0
81,0,0
87,0,0
99,0,0
106,0,0
103,0,0
87,0,0
79,0,0
69,0,0
62,0,0
77,0,0
99,0,0
109,0,0
103,0,0
89,0,0
88,0,0
96,0,0
105,0,0
117,0,0
121,0,0
121,0,0
120,0,0
121,0,0
126,0,0
130,0,0
135,0,0
141,0,0
141,0,0
141,0,0
139,0,0
134,0,0
129,0,0
127,0,0
125,0,0
122,0,0
123,0,0
122,0,0
120,0,0
120,0,0
119,0,0
109,0,0
93,0,0
80,0,0
67,0,0
62,0,0
59,0,0
61,0,0
66,0,0
71,0,0
80,0,0
88,0,0
97,0,0
102,0,0
106,0,0
106,0,0
103,0,0
100,0,0
96,0,0
92,0,0
86,0,0
82,0,0
75,0,0
70,0,0
66,0,0
61,0,0
56,0,0
52,0,0
47,0,0
38,0,0
35,0,0
38,0,0
43,0,0
58,0,0
75,0,0
81,0,0
84,0,0
80,0,0
78,0,0
80,0,0
89,0,0
98,0,0
104,0,0
106,0,0
113,0,0
116,0,0
115,0,0
114,0,0
114,0,0
114,0,0
121,0,0
136,0,0
156,0,0
172,0,0
186,0,0
187,0,0
186,0,0
189,0,0
192,0,0
196,0,0
204,0,0
207,0,0
209,0,0
208,0,0
207,0,0
208,0,0
210,0,0
211,0,0
210,0,0
210,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
4,0,0
8,0,0
