R,G,B
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
12,1,0
150,1,0
230,1,0
228,1,0
229,1,0
228,1,0
228,1,0
228,1,0
228,1,0
229,1,0
229,1,0
229,1,0
230,1,0
231,1,0
231,1,0
231,1,0
231,1,0
231,1,0
232,1,0
233,1,0
231,1,0
231,1,0
230,1,0
230,1,0
229,1,0
228,1,0
227,1,0
228,1,0
229,1,0
229,1,0
229,1,0
229,1,0
229,1,0
230,1,0
230,1,0
230,1,0
230,1,0
230,1,0
230,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
232,1,0
233,1,0
233,1,0
233,1,0
232,1,0
232,1,0
231,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,1,0
236,1,0
236,1,0
235,1,0
234,1,0
231,1,0
230,1,0
230,1,0
232,1,0
235,1,0
237,1,0
238,1,0
237,1,0
230,1,0
229,1,0
233,1,0
235,1,0
232,1,0
228,1,0
225,1,0
225,1,0
218,1,0
211,1,0
197,1,0
189,1,0
163,1,0
132,1,0
115,1,0
93,1,0
83,1,0
90,1,0
105,1,0
131,1,0
161,1,0
183,1,0
201,1,0
214,1,0
221,1,0
229,1,0
235,1,0
237,1,0
236,1,0
235,1,0
232,1,0
230,1,0
225,1,0
220,1,0
216,1,0
213,1,0
211,1,0
208,1,0
204,1,0
200,1,0
193,1,0
188,1,0
179,1,0
172,1,0
164,1,0
154,1,0
143,1,0
136,1,0
130,1,0
125,1,0
120,1,0
116,1,0
115,1,0
114,1,0
111,1,0
107,1,0
99,1,0
95,1,0
89,1,0
82,1,0
77,1,0
73,1,0
68,1,0
65,1,0
62,1,0
61,1,0
60,1,0
59,1,0
59,1,0
56,1,0
55,1,0
51,1,0
52,1,0
50,1,0
50,1,0
53,1,0
55,1,0
56,1,0
56,1,0
57,1,0
60,1,0
63,1,0
61,1,0
63,1,0
68,1,0
62,1,0
54,1,0
57,1,0
60,1,0
69,1,0
108,1,0
149,1,0
196,1,0
219,1,0
230,1,0
234,1,0
233,1,0
231,1,0
229,1,0
229,1,0
230,1,0
229,1,0
229,1,0
229,1,0
232,1,0
231,1,0
230,1,0
228,1,0
230,1,0
234,1,0
234,1,0
233,1,0
229,1,0
229,1,0
230,1,0
234,1,0
237,1,0
238,1,0
234,1,0
228,1,0
228,1,0
227,1,0
226,1,0
225,1,0
225,1,0
224,1,0
225,1,0
226,1,0
223,1,0
221,1,0
219,1,0
220,1,0
223,1,0
224,1,0
223,1,0
220,1,0
219,1,0
221,1,0
225,1,0
225,1,0
220,1,0
215,1,0
214,1,0
216,1,0
228,1,0
230,1,0
232,1,0
232,1,0
231,1,0
232,1,0
231,1,0
229,1,0
227,1,0
227,1,0
227,1,0
227,1,0
227,1,0
229,1,0
231,1,0
232,1,0
231,1,0
231,1,0
232,1,0
232,1,0
233,1,0
233,1,0
233,1,0
233,1,0
233,1,0
233,1,0
0,0,0
