R,G,B
27,64,80
25,64,80
25,64,80
26,64,80
29,64,80
34,64,80
38,64,80
37,64,80
38,64,80
38,64,80
27,64,80
11,64,80
4,64,80
4,64,80
4,64,80
4,64,80
8,64,80
10,64,80
12,64,80
11,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
11,64,80
12,64,80
14,64,80
15,64,80
15,64,80
14,64,80
13,64,80
12,64,80
11,64,80
10,64,80
10,64,80
12,64,80
11,64,80
13,64,80
21,64,80
29,64,80
30,64,80
24,64,80
17,64,80
12,64,80
11,64,80
13,64,80
14,64,80
15,64,80
14,64,80
14,64,80
15,64,80
15,64,80
15,64,80
15,64,80
16,64,80
18,64,80
17,64,80
14,64,80
12,64,80
10,64,80
11,64,80
10,64,80
10,64,80
10,64,80
10,64,80
10,64,80
11,64,80
12,64,80
11,64,80
13,64,80
14,64,80
12,64,80
13,64,80
13,64,80
13,64,80
13,64,80
14,64,80
15,64,80
15,64,80
16,64,80
15,64,80
16,64,80
16,64,80
14,64,80
12,64,80
13,64,80
15,64,80
16,64,80
17,64,80
17,64,80
16,64,80
14,64,80
14,64,80
15,64,80
15,64,80
15,64,80
14,64,80
14,64,80
14,64,80
14,64,80
14,64,80
15,64,80
15,64,80
15,64,80
10,64,80
9,64,80
9,64,80
9,64,80
10,64,80
11,64,80
12,64,80
12,64,80
14,64,80
13,64,80
13,64,80
13,64,80
13,64,80
14,64,80
13,64,80
13,64,80
13,64,80
13,64,80
13,64,80
13,64,80
13,64,80
13,64,80
13,64,80
13,64,80
11,64,80
12,64,80
13,64,80
14,64,80
15,64,80
16,64,80
15,64,80
14,64,80
13,64,80
12,64,80
11,64,80
11,64,80
12,64,80
13,64,80
14,64,80
14,64,80
14,64,80
15,64,80
16,64,80
16,64,80
15,64,80
15,64,80
16,64,80
17,64,80
16,64,80
16,64,80
16,64,80
16,64,80
16,64,80
16,64,80
16,64,80
16,64,80
16,64,80
16,64,80
16,64,80
15,64,80
13,64,80
14,64,80
16,64,80
18,64,80
18,64,80
18,64,80
18,64,80
18,64,80
18,64,80
17,64,80
18,64,80
18,64,80
18,64,80
18,64,80
18,64,80
18,64,80
18,64,80
18,64,80
18,64,80
18,64,80
17,64,80
16,64,80
16,64,80
18,64,80
19,64,80
18,64,80
19,64,80
20,64,80
18,64,80
18,64,80
19,64,80
20,64,80
20,64,80
21,64,80
24,64,80
26,64,80
23,64,80
16,64,80
19,64,80
21,64,80
23,64,80
24,64,80
15,64,80
11,64,80
15,64,80
12,64,80
12,64,80
23,64,80
37,64,80
57,64,80
100,64,80
147,64,80
202,64,80
230,64,80
246,64,80
238,64,80
231,64,80
234,64,80
235,64,80
231,64,80
232,64,80
234,64,80
237,64,80
237,64,80
233,64,80
227,64,80
225,64,80
226,64,80
230,64,80
229,64,80
228,64,80
228,64,80
229,64,80
230,64,80
230,64,80
229,64,80
229,64,80
229,64,80
27,62,78
25,62,78
26,62,78
27,62,78
28,62,78
34,62,78
39,62,78
38,62,78
38,62,78
39,62,78
28,62,78
12,62,78
5,62,78
2,62,78
2,62,78
3,62,78
8,62,78
11,62,78
12,62,78
11,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
11,62,78
13,62,78
14,62,78
14,62,78
13,62,78
12,62,78
12,62,78
10,62,78
10,62,78
11,62,78
12,62,78
11,62,78
13,62,78
21,62,78
30,62,78
31,62,78
25,62,78
17,62,78
12,62,78
11,62,78
13,62,78
14,62,78
15,62,78
14,62,78
14,62,78
14,62,78
14,62,78
14,62,78
15,62,78
16,62,78
18,62,78
17,62,78
15,62,78
12,62,78
11,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
10,62,78
11,62,78
11,62,78
11,62,78
12,62,78
14,62,78
12,62,78
13,62,78
13,62,78
13,62,78
14,62,78
14,62,78
15,62,78
15,62,78
16,62,78
16,62,78
16,62,78
15,62,78
13,62,78
12,62,78
11,62,78
13,62,78
16,62,78
16,62,78
16,62,78
15,62,78
