R,G,B
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
249,249,244
250,249,244
251,249,244
251,249,244
251,249,244
250,249,244
250,249,244
249,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
246,249,244
246,249,244
245,249,244
245,249,244
245,249,244
244,249,244
244,249,244
244,249,244
246,249,244
246,249,244
247,249,244
248,249,244
248,249,244
247,249,244
245,249,244
243,249,244
241,249,244
243,249,244
244,249,244
243,249,244
242,249,244
240,249,244
239,249,244
239,249,244
239,249,244
237,249,244
235,249,244
236,249,244
235,249,244
234,249,244
234,249,244
236,249,244
236,249,244
235,249,244
234,249,244
233,249,244
233,249,244
232,249,244
231,249,244
229,249,244
229,249,244
228,249,244
227,249,244
227,249,244
226,249,244
225,249,244
223,249,244
222,249,244
221,249,244
221,249,244
220,249,244
219,249,244
219,249,244
218,249,244
218,249,244
218,249,244
218,249,244
217,249,244
217,249,244
216,249,244
216,249,244
215,249,244
215,249,244
215,249,244
215,249,244
215,249,244
214,249,244
214,249,244
214,249,244
214,249,244
214,249,244
214,249,244
214,249,244
214,249,244
214,249,244
213,249,244
213,249,244
214,249,244
214,249,244
214,249,244
212,249,244
212,249,244
213,249,244
213,249,244
213,249,244
213,249,244
212,249,244
212,249,244
212,249,244
211,249,244
211,249,244
210,249,244
210,249,244
210,249,244
211,249,244
211,249,244
210,249,244
209,249,244
209,249,244
209,249,244
211,249,244
212,249,244
212,249,244
212,249,244
211,249,244
211,249,244
211,249,244
211,249,244
212,249,244
212,249,244
211,249,244
210,249,244
210,249,244
211,249,244
211,249,244
211,249,244
210,249,244
210,249,244
209,249,244
210,249,244
209,249,244
209,249,244
210,249,244
209,249,244
208,249,244
207,249,244
206,249,244
205,249,244
206,249,244
206,249,244
206,249,244
206,249,244
206,249,244
206,249,244
206,249,244
206,249,244
207,249,244
208,249,244
209,249,244
210,249,244
210,249,244
210,249,244
209,249,244
208,249,244
208,249,244
208,249,244
207,249,244
207,249,244
206,249,244
206,249,244
206,249,244
206,249,244
206,249,244
205,249,244
205,249,244
205,249,244
206,249,244
206,249,244
206,249,244
205,249,244
205,249,244
204,249,244
204,249,244
204,249,244
203,249,244
203,249,244
203,249,244
203,249,244
202,249,244
202,249,244
201,249,244
201,249,244
201,249,244
200,249,244
200,249,244
200,249,244
199,249,244
199,249,244
199,249,244
199,249,244
199,249,244
199,249,244
199,249,244
199,249,244
199,249,244
199,249,244
199,249,244
200,249,244
200,249,244
200,249,244
201,249,244
201,249,244
199,249,244
198,249,244
198,249,244
198,249,244
198,249,244
198,249,244
197,249,244
196,249,244
194,249,244
197,249,244
198,249,244
196,249,244
194,249,244
194,249,244
194,249,244
193,249,244
193,249,244
193,249,244
194,249,244
195,249,244
195,249,244
196,249,244
196,249,244
197,249,244
198,249,244
199,249,244
199,249,244
197,249,244
197,249,244
197,249,244
195,249,244
192,249,244
195,249,244
195,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
249,249,244
250,249,244
251,249,244
251,249,244
251,249,244
250,249,244
250,249,244
249,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
248,249,244
246,249,244
246,249,244
245,249,244
245,249,244
245,249,244
244,249,244
244,249,244
244,249,244
246,249,244
246,249,244
247,249,244
248,249,244
248,249,244
247,249,244
245,249,244
243,249,244
243,249,244
244,249,244
244,249,244
244,249,244
243,249,244
241,249,244
240,249,244
240,249,244
239,249,244
237,249,244
236,249,244
236,249,244
235,249,244
234,249,244
234,249,244
235,249,244
