R,G,B
0,5,0
0,5,0
3,5,0
67,5,0
119,5,0
137,5,0
138,5,0
136,5,0
133,5,0
135,5,0
136,5,0
137,5,0
137,5,0
140,5,0
146,5,0
156,5,0
150,5,0
155,5,0
156,5,0
146,5,0
136,5,0
129,5,0
125,5,0
139,5,0
148,5,0
149,5,0
154,5,0
156,5,0
152,5,0
155,5,0
161,5,0
164,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
157,5,0
158,5,0
158,5,0
158,5,0
158,5,0
158,5,0
158,5,0
158,5,0
159,5,0
160,5,0
160,5,0
160,5,0
160,5,0
160,5,0
161,5,0
160,5,0
160,5,0
160,5,0
160,5,0
160,5,0
160,5,0
160,5,0
160,5,0
160,5,0
160,5,0
160,5,0
161,5,0
162,5,0
163,5,0
163,5,0
162,5,0
162,5,0
162,5,0
162,5,0
162,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
163,5,0
164,5,0
164,5,0
164,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
165,5,0
166,5,0
166,5,0
167,5,0
167,5,0
167,5,0
167,5,0
167,5,0
167,5,0
167,5,0
167,5,0
167,5,0
167,5,0
166,5,0
164,5,0
163,5,0
161,5,0
161,5,0
163,5,0
164,5,0
166,5,0
168,5,0
173,5,0
176,5,0
175,5,0
171,5,0
170,5,0
172,5,0
174,5,0
173,5,0
173,5,0
171,5,0
170,5,0
168,5,0
167,5,0
167,5,0
170,5,0
172,5,0
172,5,0
174,5,0
173,5,0
174,5,0
173,5,0
173,5,0
172,5,0
171,5,0
172,5,0
171,5,0
168,5,0
166,5,0
167,5,0
166,5,0
167,5,0
165,5,0
166,5,0
166,5,0
166,5,0
170,5,0
174,5,0
178,5,0
182,5,0
184,5,0
187,5,0
186,5,0
187,5,0
185,5,0
185,5,0
187,5,0
187,5,0
187,5,0
186,5,0
186,5,0
175,5,0
167,5,0
161,5,0
157,5,0
159,5,0
159,5,0
161,5,0
163,5,0
168,5,0
169,5,0
167,5,0
165,5,0
162,5,0
160,5,0
158,5,0
158,5,0
163,5,0
162,5,0
162,5,0
165,5,0
162,5,0
154,5,0
148,5,0
152,5,0
160,5,0
158,5,0
160,5,0
153,5,0
130,5,0
74,5,0
34,5,0
12,5,0
9,5,0
7,5,0
3,5,0
1,5,0
1,5,0
2,5,0
5,5,0
6,5,0
6,5,0
6,5,0
7,5,0
8,5,0
10,5,0
11,5,0
10,5,0
9,5,0
7,5,0
8,5,0
8,5,0
9,5,0
10,5,0
11,5,0
11,5,0
11,5,0
10,5,0
8,5,0
0,2,0
0,2,0
4,2,0
69,2,0
121,2,0
137,2,0
136,2,0
133,2,0
132,2,0
134,2,0
134,2,0
132,2,0
129,2,0
131,2,0
138,2,0
146,2,0
139,2,0
143,2,0
147,2,0
142,2,0
138,2,0
132,2,0
130,2,0
146,2,0
153,2,0
153,2,0
156,2,0
156,2,0
151,2,0
153,2,0
159,2,0
161,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
157,2,0
158,2,0
158,2,0
158,2,0
158,2,0
158,2,0
158,2,0
158,2,0
159,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
161,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
160,2,0
162,2,0
162,2,0
162,2,0
162,2,0
162,2,0
162,2,0
162,2,0
162,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
163,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
165,2,0
166,2,0
166,2,0
167,2,0
167,2,0
167,2,0
167,2,0
167,2,0
167,2,0
167,2,0
167,2,0
167,2,0
167,2,0
166,2,0
164,2,0
163,2,0
161,2,0
161,2,0
163,2,0
166,2,0
168,2,0
170,2,0
173,2,0
176,2,0
171,2,0
167,2,0
163,2,0
166,2,0
169,2,0
169,2,0
168,2,0
169,2,0
168,2,0
167,2,0
166,2,0
168,2,0
168,2,0
169,2,0
171,2,0
170,2,0
170,2,0
171,2,0
172,2,0
171,2,0
171,2,0
171,2,0
171,2,0
172,2,0
173,2,0
173,2,0
173,2,0
171,2,0
172,2,0
172,2,0
171,2,0
171,2,0
170,2,0
172,2,0
175,2,0
180,2,0
183,2,0
185,2,0
184,2,0
184,2,0
184,2,0
183,2,0
183,2,0
183,2,0
184,2,0
186,2,0
189,2,0
190,2,0
181,2,0
175,2,0
171,2,0
169,2,0
164,2,0
161,2,0
160,2,0
161,2,0
168,2,0
169,2,0
167,2,0
165,2,0
162,2,0
160,2,0
159,2,0
158,2,0
163,2,0
162,2,0
162,2,0
163,2,0
160,2,0
154,2,0
151,2,0
154,2,0
153,2,0
157,2,0
167,2,0
152,2,0
106,2,0
55,2,0
31,2,0
25,2,0
17,2,0
15,2,0
12,2,0
9,2,0
7,2,0
5,2,0
5,2,0
5,2,0
8,2,0
8,2,0
8,2,0
9,2,0
10,2,0
10,2,0
9,2,0
9,2,0
7,2,0
7,2,0
8,2,0
8,2,0
9,2,0
9,2,0
10,2,0
10,2,0
14,2,0
11,2,0
0,0,0
1,0,0
6,0,0
77,0,0
130,0,0
141,0,0
140,0,0
136,0,0
131,0,0
134,0,0
136,0,0
135,0,0
134,0,0
137,0,0
147,0,0
155,0,0
149,0,0
145,0,0
147,0,0
144,0,0
142,0,0
132,0,0
130,0,0
148,0,0
157,0,0
156,0,0
155,0,0
154,0,0
151,0,0
152,0,0
157,0,0
159,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
157,0,0
158,0,0
158,0,0
158,0,0
158,0,0
158,0,0
158,0,0
158,0,0
159,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
161,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
160,0,0
162,0,0
162,0,0
162,0,0
162,0,0
162,0,0
162,0,0
162,0,0
162,0,0
162,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
163,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
165,0,0
166,0,0
166,0,0
167,0,0
167,0,0
167,0,0
167,0,0
167,0,0
167,0,0
167,0,0
167,0,0
167,0,0
167,0,0
166,0,0
164,0,0
163,0,0
163,0,0
162,0,0
163,0,0
166,0,0
168,0,0
170,0,0
174,0,0
177,0,0
172,0,0
163,0,0
157,0,0
163,0,0
168,0,0
169,0,0
168,0,0
170,0,0
170,0,0
170,0,0
169,0,0
169,0,0
170,0,0
171,0,0
170,0,0
168,0,0
169,0,0
170,0,0
171,0,0
171,0,0
170,0,0
171,0,0
172,0,0
173,0,0
172,0,0
172,0,0
172,0,0
170,0,0
170,0,0
169,0,0
169,0,0
169,0,0
173,0,0
174,0,0
178,0,0
179,0,0
182,0,0
182,0,0
179,0,0
176,0,0
171,0,0
168,0,0
165,0,0
165,0,0
166,0,0
170,0,0
173,0,0
175,0,0
176,0,0
175,0,0
174,0,0
173,0,0
170,0,0
165,0,0
161,0,0
159,0,0
166,0,0
166,0,0
167,0,0
164,0,0
162,0,0
161,0,0
159,0,0
158,0,0
162,0,0
163,0,0
161,0,0
158,0,0
156,0,0
156,0,0
154,0,0
154,0,0
157,0,0
154,0,0
161,0,0
131,0,0
76,0,0
41,0,0
26,0,0
22,0,0
6,0,0
3,0,0
1,0,0
2,0,0
1,0,0
0,0,0
1,0,0
3,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
3,0,0
2,0,0
1,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
7,0,0
7,0,0
7,0,0
7,0,0
6,0,0
4,60,71
3,60,71
7,60,71
86,60,71
144,60,71
153,60,71
150,60,71
144,60,71
141,60,71
143,60,71
146,60,71
144,60,71
138,60,71
140,60,71
148,60,71
155,60,71
153,60,71
141,60,71
136,60,71
140,60,71
139,60,71
134,60,71
133,60,71
150,60,71
159,60,71
156,60,71
154,60,71
152,60,71
149,60,71
153,60,71
157,60,71
158,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
157,60,71
158,60,71
158,60,71
158,60,71
158,60,71
158,60,71
158,60,71
158,60,71
159,60,71
160,60,71
160,60,71
160,60,71
160,60,71
160,60,71
161,60,71
160,60,71
160,60,71
160,60,71
160,60,71
160,60,71
160,60,71
160,60,71
160,60,71
160,60,71
160,60,71
160,60,71
161,60,71
162,60,71
162,60,71
162,60,71
162,60,71
162,60,71
162,60,71
162,60,71
162,60,71
162,60,71
162,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
163,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
165,60,71
166,60,71
166,60,71
167,60,71
167,60,71
167,60,71
167,60,71
167,60,71
167,60,71
166,60,71
167,60,71
167,60,71
167,60,71
167,60,71
166,60,71
166,60,71
164,60,71
163,60,71
162,60,71
164,60,71
167,60,71
169,60,71
173,60,71
174,60,71
177,60,71
177,60,71
165,60,71
158,60,71
165,60,71
171,60,71
173,60,71
174,60,71
179,60,71
179,60,71
179,60,71
179,60,71
178,60,71
178,60,71
177,60,71
175,60,71
173,60,71
174,60,71
174,60,71
174,60,71
174,60,71
173,60,71
173,60,71
173,60,71
174,60,71
171,60,71
171,60,71
171,60,71
169,60,71
168,60,71
167,60,71
167,60,71
167,60,71
177,60,71
178,60,71
179,60,71
180,60,71
180,60,71
177,60,71
173,60,71
168,60,71
162,60,71
158,60,71
155,60,71
153,60,71
153,60,71
155,60,71
156,60,71
158,60,71
163,60,71
162,60,71
162,60,71
166,60,71
167,60,71
168,60,71
163,60,71
161,60,71
163,60,71
164,60,71
164,60,71
164,60,71
163,60,71
161,60,71
159,60,71
158,60,71
160,60,71
162,60,71
159,60,71
157,60,71
155,60,71
158,60,71
159,60,71
156,60,71
159,60,71
161,60,71
144,60,71
99,60,71
52,60,71
36,60,71
24,60,71
18,60,71
9,60,71
3,60,71
0,60,71
0,60,71
3,60,71
4,60,71
5,60,71
8,60,71
5,60,71
5,60,71
6,60,71
6,60,71
7,60,71
7,60,71
7,60,71
7,60,71
13,60,71
13,60,71
13,60,71
12,60,71
12,60,71
12,60,71
12,60,71
12,60,71
8,60,71
7,60,71
7,131,146
4,131,146
4,131,146
93,131,146
162,131,146
168,131,146
162,131,146
153,131,146
151,131,146
154,131,146
159,131,146
156,131,146
149,131,146
149,131,146
154,131,146
156,131,146
157,131,146
135,131,146
126,131,146
131,131,146
134,131,146
131,131,146
133,131,146
150,131,146
159,131,146
156,131,146
152,131,146
151,131,146
149,131,146
152,131,146
156,131,146
158,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
157,131,146
158,131,146
158,131,146
158,131,146
158,131,146
158,131,146
158,131,146
158,131,146
159,131,146
160,131,146
160,131,146
160,131,146
160,131,146
160,131,146
161,131,146
160,131,146
160,131,146
160,131,146
160,131,146
160,131,146
160,131,146
161,131,146
161,131,146
161,131,146
160,131,146
160,131,146
161,131,146
162,131,146
162,131,146
162,131,146
162,131,146
162,131,146
162,131,146
162,131,146
162,131,146
162,131,146
163,131,146
163,131,146
163,131,146
163,131,146
163,131,146
163,131,146
163,131,146
163,131,146
163,131,146
163,131,146
164,131,146
163,131,146
163,131,146
163,131,146
163,131,146
163,131,146
163,131,146
164,131,146
164,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
165,131,146
166,131,146
166,131,146
167,131,146
167,131,146
167,131,146
167,131,146
167,131,146
167,131,146
166,131,146
166,131,146
167,131,146
167,131,146
167,131,146
166,131,146
166,131,146
164,131,146
164,131,146
163,131,146
164,131,146
168,131,146
171,131,146
174,131,146
176,131,146
179,131,146
179,131,146
167,131,146
159,131,146
167,131,146
178,131,146
182,131,146
183,131,146
190,131,146
190,131,146
191,131,146
190,131,146
189,131,146
187,131,146
187,131,146
184,131,146
182,131,146
182,131,146
182,131,146
182,131,146
181,131,146
180,131,146
180,131,146
181,131,146
182,131,146
181,131,146
181,131,146
180,131,146
179,131,146
178,131,146
177,131,146
176,131,146
175,131,146
185,131,146
185,131,146
185,131,146
