R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
10,0,0
46,0,0
54,0,0
57,0,0
57,0,0
57,0,0
53,0,0
55,0,0
56,0,0
55,0,0
53,0,0
55,0,0
55,0,0
54,0,0
53,0,0
52,0,0
50,0,0
46,0,0
43,0,0
42,0,0
44,0,0
47,0,0
50,0,0
52,0,0
52,0,0
49,0,0
45,0,0
43,0,0
42,0,0
41,0,0
43,0,0
45,0,0
48,0,0
49,0,0
50,0,0
50,0,0
51,0,0
51,0,0
51,0,0
51,0,0
52,0,0
53,0,0
55,0,0
56,0,0
54,0,0
52,0,0
51,0,0
53,0,0
54,0,0
59,0,0
68,0,0
87,0,0
113,0,0
138,0,0
151,0,0
155,0,0
143,0,0
134,0,0
128,0,0
140,0,0
150,0,0
164,0,0
164,0,0
169,0,0
171,0,0
174,0,0
178,0,0
180,0,0
177,0,0
177,0,0
178,0,0
178,0,0
176,0,0
173,0,0
172,0,0
172,0,0
176,0,0
178,0,0
169,0,0
161,0,0
162,0,0
158,0,0
154,0,0
132,0,0
108,0,0
83,0,0
78,0,0
85,0,0
102,0,0
125,0,0
145,0,0
159,0,0
171,0,0
175,0,0
168,0,0
168,0,0
168,0,0
165,0,0
165,0,0
166,0,0
168,0,0
169,0,0
168,0,0
168,0,0
165,0,0
160,0,0
150,0,0
138,0,0
127,0,0
119,0,0
125,0,0
132,0,0
142,0,0
154,0,0
162,0,0
164,0,0
166,0,0
165,0,0
161,0,0
154,0,0
146,0,0
140,0,0
138,0,0
137,0,0
139,0,0
141,0,0
149,0,0
152,0,0
153,0,0
148,0,0
137,0,0
119,0,0
93,0,0
70,0,0
49,0,0
41,0,0
37,0,0
42,0,0
43,0,0
44,0,0
43,0,0
44,0,0
43,0,0
45,0,0
47,0,0
46,0,0
46,0,0
42,0,0
40,0,0
38,0,0
36,0,0
39,0,0
41,0,0
44,0,0
47,0,0
50,0,0
48,0,0
45,0,0
43,0,0
40,0,0
38,0,0
38,0,0
38,0,0
40,0,0
44,0,0
45,0,0
