R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
97,0,0
185,0,0
186,0,0
186,0,0
187,0,0
188,0,0
188,0,0
187,0,0
188,0,0
188,0,0
187,0,0
188,0,0
187,0,0
187,0,0
188,0,0
188,0,0
188,0,0
189,0,0
189,0,0
190,0,0
190,0,0
190,0,0
190,0,0
189,0,0
189,0,0
187,0,0
187,0,0
187,0,0
188,0,0
188,0,0
188,0,0
189,0,0
191,0,0
191,0,0
191,0,0
191,0,0
192,0,0
193,0,0
197,0,0
203,0,0
211,0,0
215,0,0
216,0,0
215,0,0
214,0,0
215,0,0
218,0,0
219,0,0
220,0,0
220,0,0
220,0,0
222,0,0
222,0,0
222,0,0
222,0,0
222,0,0
220,0,0
220,0,0
220,0,0
220,0,0
221,0,0
222,0,0
223,0,0
223,0,0
222,0,0
222,0,0
222,0,0
222,0,0
222,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
223,0,0
224,0,0
224,0,0
224,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
226,0,0
226,0,0
226,0,0
227,0,0
227,0,0
227,0,0
227,0,0
227,0,0
228,0,0
228,0,0
228,0,0
228,0,0
228,0,0
228,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
230,0,0
232,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
232,0,0
232,0,0
232,0,0
232,0,0
232,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
233,0,0
234,0,0
234,0,0
234,0,0
235,0,0
235,0,0
235,0,0
236,0,0
236,0,0
236,0,0
236,0,0
