R,G,B
149,166,114
150,166,114
153,166,114
156,166,114
157,166,114
156,166,114
157,166,114
158,166,114
157,166,114
158,166,114
160,166,114
160,166,114
160,166,114
159,166,114
159,166,114
160,166,114
165,166,114
166,166,114
166,166,114
164,166,114
162,166,114
160,166,114
158,166,114
158,166,114
160,166,114
159,166,114
157,166,114
153,166,114
150,166,114
152,166,114
157,166,114
162,166,114
155,166,114
139,166,114
141,166,114
163,166,114
167,166,114
159,166,114
163,166,114
181,166,114
201,166,114
179,166,114
152,166,114
114,166,114
90,166,114
88,166,114
84,166,114
92,166,114
81,166,114
76,166,114
69,166,114
59,166,114
49,166,114
47,166,114
54,166,114
59,166,114
50,166,114
51,166,114
56,166,114
63,166,114
62,166,114
60,166,114
54,166,114
43,166,114
38,166,114
47,166,114
51,166,114
46,166,114
47,166,114
60,166,114
81,166,114
98,166,114
122,166,114
153,166,114
175,166,114
181,166,114
185,166,114
192,166,114
207,166,114
224,166,114
245,166,114
249,166,114
250,166,114
249,166,114
255,166,114
255,166,114
248,166,114
255,166,114
242,166,114
208,166,114
172,166,114
154,166,114
145,166,114
140,166,114
143,166,114
146,166,114
158,166,114
160,166,114
154,166,114
141,166,114
127,166,114
122,166,114
126,166,114
136,166,114
155,166,114
161,166,114
167,166,114
170,166,114
170,166,114
169,166,114
170,166,114
174,166,114
172,166,114
177,166,114
179,166,114
174,166,114
170,166,114
173,166,114
178,166,114
180,166,114
181,166,114
183,166,114
184,166,114
184,166,114
184,166,114
183,166,114
183,166,114
183,166,114
181,166,114
180,166,114
180,166,114
180,166,114
182,166,114
181,166,114
179,166,114
178,166,114
176,166,114
174,166,114
171,166,114
166,166,114
161,166,114
155,166,114
149,166,114
145,166,114
155,166,114
154,166,114
154,166,114
152,166,114
152,166,114
155,166,114
158,166,114
157,166,114
152,166,114
149,166,114
147,166,114
145,166,114
140,166,114
137,166,114
138,166,114
139,166,114
138,166,114
137,166,114
143,166,114
139,166,114
136,166,114
152,166,114
201,166,114
255,166,114
255,166,114
255,166,114
255,166,114
255,166,114
255,166,114
255,166,114
255,166,114
255,166,114
254,166,114
255,166,114
255,166,114
254,166,114
255,166,114
255,166,114
254,166,114
254,166,114
254,166,114
252,166,114
252,166,114
250,166,114
249,166,114
251,166,114
251,166,114
251,166,114
251,166,114
239,166,114
223,166,114
186,166,114
131,166,114
99,166,114
83,166,114
64,166,114
63,166,114
67,166,114
70,166,114
67,166,114
59,166,114
57,166,114
55,166,114
50,166,114
51,166,114
54,166,114
57,166,114
57,166,114
51,166,114
45,166,114
48,166,114
60,166,114
49,166,114
47,166,114
46,166,114
52,166,114
56,166,114
59,166,114
57,166,114
54,166,114
67,166,114
64,166,114
61,166,114
63,166,114
68,166,114
71,166,114
70,166,114
68,166,114
70,166,114
73,166,114
76,166,114
75,166,114
72,166,114
70,166,114
67,166,114
65,166,114
51,166,114
49,166,114
48,166,114
47,166,114
46,166,114
44,166,114
43,166,114
44,166,114
39,166,114
39,166,114
150,168,116
151,168,116
154,168,116
156,168,116
156,168,116
155,168,116
157,168,116
159,168,116
158,168,116
160,168,116
161,168,116
161,168,116
161,168,116
160,168,116
160,168,116
163,168,116
166,168,116
166,168,116
166,168,116
165,168,116
164,168,116
162,168,116
161,168,116
160,168,116
161,168,116
160,168,116
158,168,116
155,168,116
153,168,116
154,168,116
158,168,116
161,168,116
158,168,116
145,168,116
148,168,116
170,168,116
176,168,116
168,168,116
166,168,116
170,168,116
180,168,116
171,168,116
157,168,116
124,168,116
102,168,116
96,168,116
86,168,116
85,168,116
72,168,116
66,168,116
65,168,116
67,168,116
64,168,116
60,168,116
56,168,116
53,168,116
48,168,116
51,168,116
60,168,116
66,168,116
63,168,116
57,168,116
51,168,116
43,168,116
39,168,116
49,168,116
52,168,116
45,168,116
45,168,116
56,168,116
68,168,116
76,168,116
82,168,116
99,168,116
110,168,116
116,168,116
121,168,116
122,168,116
132,168,116
146,168,116
169,168,116
179,168,116
188,168,116
193,168,116
202,168,116
202,168,116
199,168,116
215,168,116
223,168,116
200,168,116
179,168,116
169,168,116
160,168,116
155,168,116
161,168,116
168,168,116
166,168,116
159,168,116
145,168,116
133,168,116
129,168,116
135,168,116
144,168,116
154,168,116
163,168,116
167,168,116
169,168,116
170,168,116
169,168,116
168,168,116
168,168,116
171,168,116
170,168,116
175,168,116
177,168,116
173,168,116
170,168,116
172,168,116
176,168,116
178,168,116
180,168,116
182,168,116
183,168,116
183,168,116
183,168,116
182,168,116
182,168,116
182,168,116
180,168,116
179,168,116
178,168,116
178,168,116
179,168,116
179,168,116
180,168,116
180,168,116
178,168,116
176,168,116
172,168,116
170,168,116
165,168,116
158,168,116
152,168,116
148,168,116
154,168,116
155,168,116
156,168,116
156,168,116
155,168,116
155,168,116
156,168,116
155,168,116
149,168,116
147,168,116
147,168,116
145,168,116
142,168,116
138,168,116
140,168,116
142,168,116
142,168,116
139,168,116
143,168,116
141,168,116
136,168,116
150,168,116
192,168,116
247,168,116
255,168,116
255,168,116
255,168,116
255,168,116
255,168,116
255,168,116
255,168,116
251,168,116
254,168,116
254,168,116
254,168,116
254,168,116
254,168,116
254,168,116
255,168,116
254,168,116
253,168,116
254,168,116
253,168,116
252,168,116
250,168,116
250,168,116
249,168,116
248,168,116
252,168,116
246,168,116
242,168,116
226,168,116
198,168,116
171,168,116
137,168,116
102,168,116
75,168,116
68,168,116
67,168,116
69,168,116
70,168,116
69,168,116
67,168,116
65,168,116
63,168,116
59,168,116
55,168,116
56,168,116
60,168,116
59,168,116
