R,G,B
36,62,121
36,62,121
35,62,121
35,62,121
39,62,121
37,62,121
33,62,121
32,62,121
31,62,121
36,62,121
41,62,121
51,62,121
63,62,121
76,62,121
97,62,121
114,62,121
133,62,121
145,62,121
157,62,121
163,62,121
166,62,121
167,62,121
169,62,121
168,62,121
162,62,121
158,62,121
156,62,121
164,62,121
178,62,121
190,62,121
198,62,121
201,62,121
202,62,121
205,62,121
209,62,121
211,62,121
211,62,121
211,62,121
213,62,121
215,62,121
216,62,121
214,62,121
212,62,121
211,62,121
210,62,121
207,62,121
201,62,121
197,62,121
197,62,121
196,62,121
189,62,121
178,62,121
166,62,121
153,62,121
136,62,121
122,62,121
104,62,121
92,62,121
85,62,121
82,62,121
75,62,121
61,62,121
50,62,121
43,62,121
37,62,121
36,62,121
39,62,121
42,62,121
42,62,121
42,62,121
43,62,121
43,62,121
38,62,121
38,62,121
39,62,121
40,62,121
40,62,121
40,62,121
40,62,121
40,62,121
40,62,121
40,62,121
40,62,121
40,62,121
40,62,121
40,62,121
41,62,121
41,62,121
40,62,121
38,62,121
38,62,121
39,62,121
38,62,121
40,62,121
41,62,121
39,62,121
37,62,121
37,62,121
38,62,121
39,62,121
40,62,121
40,62,121
40,62,121
40,62,121
39,62,121
40,62,121
40,62,121
41,62,121
40,62,121
39,62,121
38,62,121
37,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
37,62,121
37,62,121
38,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
40,62,121
39,62,121
39,62,121
39,62,121
39,62,121
38,62,121
38,62,121
38,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
36,62,121
38,62,121
38,62,121
38,62,121
39,62,121
39,62,121
39,62,121
40,62,121
40,62,121
38,62,121
38,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
39,62,121
41,62,121
41,62,121
41,62,121
41,62,121
41,62,121
41,62,121
39,62,121
39,62,121
41,62,121
41,62,121
41,62,121
42,62,121
42,62,121
42,62,121
42,62,121
42,62,121
42,62,121
42,62,121
41,62,121
41,62,121
41,62,121
41,62,121
45,62,121
45,62,121
46,62,121
46,62,121
46,62,121
47,62,121
48,62,121
47,62,121
47,62,121
44,62,121
45,62,121
46,62,121
48,62,121
51,62,121
54,62,121
53,62,121
42,62,121
39,62,121
39,62,121
43,62,121
43,62,121
42,62,121
41,62,121
40,62,121
41,62,121
44,62,121
44,62,121
48,62,121
53,62,121
56,62,121
60,62,121
67,62,121
90,62,121
99,62,121
113,62,121
129,62,121
145,62,121
157,62,121
164,62,121
170,62,121
177,62,121
184,62,121
192,62,121
201,62,121
211,62,121
221,62,121
230,62,121
233,62,121
245,62,121
245,62,121
246,62,121
247,62,121
246,62,121
246,62,121
244,62,121
243,62,121
241,62,121
240,62,121
36,63,120
37,63,120
35,63,120
36,63,120
38,63,120
35,63,120
32,63,120
32,63,120
34,63,120
39,63,120
46,63,120
60,63,120
76,63,120
93,63,120
111,63,120
128,63,120
145,63,120
156,63,120
166,63,120
168,63,120
166,63,120
166,63,120
168,63,120
168,63,120
166,63,120
163,63,120
163,63,120
169,63,120
181,63,120
192,63,120
200,63,120
203,63,120
204,63,120
207,63,120
211,63,120
212,63,120
212,63,120
212,63,120
214,63,120
216,63,120
218,63,120
218,63,120
217,63,120
216,63,120
215,63,120
212,63,120
207,63,120
204,63,120
202,63,120
201,63,120
194,63,120
183,63,120
171,63,120
159,63,120
143,63,120
131,63,120
117,63,120
106,63,120
99,63,120
96,63,120
89,63,120
77,63,120
62,63,120
51,63,120
40,63,120
38,63,120
39,63,120
42,63,120
42,63,120
42,63,120
43,63,120
42,63,120
39,63,120
39,63,120
40,63,120
40,63,120
40,63,120
40,63,120
40,63,120
40,63,120
40,63,120
40,63,120
40,63,120
40,63,120
40,63,120
40,63,120
41,63,120
41,63,120
40,63,120
38,63,120
38,63,120
39,63,120
38,63,120
40,63,120
41,63,120
39,63,120
37,63,120
38,63,120
38,63,120
39,63,120
40,63,120
40,63,120
40,63,120
40,63,120
39,63,120
40,63,120
40,63,120
41,63,120
40,63,120
39,63,120
38,63,120
38,63,120
36,63,120
36,63,120
36,63,120
36,63,120
36,63,120
36,63,120
36,63,120
36,63,120
36,63,120
37,63,120
37,63,120
38,63,120
38,63,120
39,63,120
39,63,120
39,63,120
