R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
4,0,0
4,0,0
4,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
5,0,0
5,0,0
3,0,0
2,0,0
3,0,0
4,0,0
3,0,0
5,0,0
7,0,0
7,0,0
6,0,0
5,0,0
6,0,0
8,0,0
6,0,0
4,0,0
2,0,0
3,0,0
7,0,0
8,0,0
7,0,0
9,0,0
4,0,0
30,0,0
71,0,0
123,0,0
147,0,0
138,0,0
128,0,0
123,0,0
112,0,0
102,0,0
100,0,0
102,0,0
103,0,0
121,0,0
124,0,0
104,0,0
109,0,0
121,0,0
134,0,0
128,0,0
118,0,0
117,0,0
123,0,0
139,0,0
164,0,0
177,0,0
191,0,0
193,0,0
192,0,0
193,0,0
198,0,0
207,0,0
208,0,0
207,0,0
203,0,0
200,0,0
195,0,0
192,0,0
188,0,0
186,0,0
186,0,0
184,0,0
182,0,0
181,0,0
181,0,0
180,0,0
179,0,0
178,0,0
178,0,0
175,0,0
172,0,0
171,0,0
169,0,0
166,0,0
164,0,0
165,0,0
162,0,0
162,0,0
163,0,0
163,0,0
160,0,0
160,0,0
167,0,0
171,0,0
