R,G,B
170,157,140
174,157,140
173,157,140
171,157,140
172,157,140
171,157,140
166,157,140
162,157,140
161,157,140
166,157,140
169,157,140
168,157,140
164,157,140
161,157,140
160,157,140
160,157,140
160,157,140
153,157,140
150,157,140
154,157,140
154,157,140
152,157,140
158,157,140
169,157,140
167,157,140
164,157,140
162,157,140
163,157,140
165,157,140
165,157,140
165,157,140
164,157,140
170,157,140
175,157,140
173,157,140
166,157,140
162,157,140
161,157,140
162,157,140
164,157,140
167,157,140
167,157,140
164,157,140
163,157,140
164,157,140
167,157,140
168,157,140
166,157,140
164,157,140
164,157,140
164,157,140
164,157,140
164,157,140
163,157,140
162,157,140
162,157,140
163,157,140
165,157,140
168,157,140
166,157,140
161,157,140
162,157,140
162,157,140
154,157,140
146,157,140
149,157,140
152,157,140
156,157,140
159,157,140
172,157,140
189,157,140
187,157,140
182,157,140
172,157,140
165,157,140
162,157,140
157,157,140
154,157,140
152,157,140
150,157,140
151,157,140
156,157,140
162,157,140
164,157,140
162,157,140
160,157,140
160,157,140
161,157,140
159,157,140
155,157,140
153,157,140
154,157,140
157,157,140
159,157,140
159,157,140
160,157,140
165,157,140
169,157,140
168,157,140
163,157,140
159,157,140
155,157,140
150,157,140
149,157,140
142,157,140
142,157,140
142,157,140
144,157,140
149,157,140
153,157,140
151,157,140
146,157,140
144,157,140
146,157,140
148,157,140
151,157,140
152,157,140
149,157,140
144,157,140
139,157,140
139,157,140
139,157,140
137,157,140
138,157,140
143,157,140
149,157,140
148,157,140
144,157,140
139,157,140
142,157,140
144,157,140
141,157,140
139,157,140
137,157,140
136,157,140
135,157,140
137,157,140
138,157,140
139,157,140
142,157,140
145,157,140
148,157,140
149,157,140
150,157,140
145,157,140
144,157,140
143,157,140
142,157,140
142,157,140
145,157,140
149,157,140
151,157,140
146,157,140
137,157,140
131,157,140
138,157,140
138,157,140
128,157,140
145,157,140
182,157,140
183,157,140
171,157,140
149,157,140
133,157,140
119,157,140
111,157,140
114,157,140
112,157,140
112,157,140
114,157,140
112,157,140
111,157,140
114,157,140
114,157,140
112,157,140
115,157,140
112,157,140
110,157,140
108,157,140
106,157,140
103,157,140
103,157,140
103,157,140
104,157,140
102,157,140
103,157,140
103,157,140
102,157,140
101,157,140
99,157,140
97,157,140
95,157,140
95,157,140
94,157,140
94,157,140
93,157,140
92,157,140
88,157,140
87,157,140
86,157,140
85,157,140
86,157,140
88,157,140
87,157,140
84,157,140
80,157,140
78,157,140
78,157,140
78,157,140
79,157,140
81,157,140
80,157,140
79,157,140
78,157,140
77,157,140
77,157,140
78,157,140
77,157,140
76,157,140
76,157,140
76,157,140
77,157,140
77,157,140
77,157,140
75,157,140
75,157,140
74,157,140
70,157,140
66,157,140
62,157,140
59,157,140
59,157,140
57,157,140
50,157,140
48,157,140
50,157,140
48,157,140
46,157,140
50,157,140
53,157,140
53,157,140
49,157,140
46,157,140
42,157,140
36,157,140
28,157,140
21,157,140
16,157,140
14,157,140
21,157,140
167,157,140
170,157,140
170,157,140
169,157,140
171,157,140
169,157,140
166,157,140
164,157,140
161,157,140
166,157,140
169,157,140
169,157,140
166,157,140
164,157,140
163,157,140
162,157,140
162,157,140
156,157,140
153,157,140
155,157,140
155,157,140
155,157,140
163,157,140
172,157,140
170,157,140
167,157,140
165,157,140
167,157,140
169,157,140
169,157,140
167,157,140
166,157,140
170,157,140
174,157,140
171,157,140
164,157,140
161,157,140
162,157,140
165,157,140
168,157,140
168,157,140
167,157,140
164,157,140
161,157,140
162,157,140
164,157,140
164,157,140
163,157,140
165,157,140
166,157,140
167,157,140
168,157,140
169,157,140
169,157,140
169,157,140
168,157,140
166,157,140
168,157,140
171,157,140
170,157,140
166,157,140
166,157,140
165,157,140
158,157,140
152,157,140
153,157,140
155,157,140
162,157,140
165,157,140
172,157,140
183,157,140
177,157,140
166,157,140
157,157,140
152,157,140
152,157,140
151,157,140
153,157,140
157,157,140
159,157,140
159,157,140
163,157,140
168,157,140
169,157,140
165,157,140
161,157,140
159,157,140
158,157,140
158,157,140
156,157,140
155,157,140
159,157,140
162,157,140
163,157,140
163,157,140
162,157,140
160,157,140
162,157,140
161,157,140
160,157,140
160,157,140
157,157,140
151,157,140
146,157,140
141,157,140
141,157,140
141,157,140
143,157,140
147,157,140
151,157,140
150,157,140
147,157,140
146,157,140
147,157,140
148,157,140
149,157,140
150,157,140
148,157,140
144,157,140
140,157,140
138,157,140
139,157,140
141,157,140
144,157,140
147,157,140
149,157,140
149,157,140
148,157,140
140,157,140
139,157,140
137,157,140
136,157,140
136,157,140
137,157,140
137,157,140
137,157,140
138,157,140
137,157,140
138,157,140
141,157,140
146,157,140
150,157,140
151,157,140
150,157,140
148,157,140
146,157,140
144,157,140
145,157,140
148,157,140
149,157,140
149,157,140
148,157,140
145,157,140
144,157,140
138,157,140
139,157,140
145,157,140
139,157,140
144,157,140
164,157,140
180,157,140
186,157,140
162,157,140
134,157,140
123,157,140
116,157,140
111,157,140
107,157,140
111,157,140
113,157,140
111,157,140
110,157,140
114,157,140
114,157,140
113,157,140
116,157,140
115,157,140
115,157,140
113,157,140
111,157,140
107,157,140
106,157,140
104,157,140
104,157,140
104,157,140
104,157,140
104,157,140
103,157,140
102,157,140
101,157,140
99,157,140
98,157,140
96,157,140
96,157,140
95,157,140
94,157,140
91,157,140
90,157,140
88,157,140
87,157,140
87,157,140
88,157,140
89,157,140
88,157,140
85,157,140
82,157,140
80,157,140
80,157,140
81,157,140
82,157,140
83,157,140
82,157,140
81,157,140
80,157,140
79,157,140
79,157,140
78,157,140
78,157,140
79,157,140
79,157,140
79,157,140
78,157,140
75,157,140
73,157,140
80,157,140
77,157,140
73,157,140
68,157,140
63,157,140
58,157,140
55,157,140
53,157,140
57,157,140
52,157,140
51,157,140
53,157,140
53,157,140
52,157,140
53,157,140
53,157,140
52,157,140
47,157,140
39,157,140
33,157,140
28,157,140
22,157,140
20,157,140
18,157,140
24,157,140
31,157,140
164,157,140
168,157,140
170,157,140
172,157,140
172,157,140
168,157,140
163,157,140
163,157,140
162,157,140
166,157,140
169,157,140
170,157,140
168,157,140
167,157,140
165,157,140
164,157,140
161,157,140
157,157,140
154,157,140
153,157,140
155,157,140
159,157,140
167,157,140
174,157,140
172,157,140
169,157,140
167,157,140
168,157,140
168,157,140
166,157,140
163,157,140
161,157,140
164,157,140
167,157,140
163,157,140
156,157,140
155,157,140
158,157,140
163,157,140
167,157,140
168,157,140
166,157,140
162,157,140
160,157,140
160,157,140
162,157,140
163,157,140
163,157,140
167,157,140
168,157,140
170,157,140
172,157,140
173,157,140
174,157,140
174,157,140
174,157,140
171,157,140
171,157,140
172,157,140
170,157,140
167,157,140
167,157,140
166,157,140
162,157,140
160,157,140
158,157,140
159,157,140
169,157,140
173,157,140
174,157,140
174,157,140
163,157,140
150,157,140
144,157,140
143,157,140
146,157,140
148,157,140
153,157,140
160,157,140
164,157,140
167,157,140
171,157,140
174,157,140
173,157,140
168,157,140
162,157,140
157,157,140
155,157,140
151,157,140
150,157,140
150,157,140
154,157,140
158,157,140
160,157,140
161,157,140
162,157,140
157,157,140
157,157,140
156,157,140
158,157,140
164,157,140
162,157,140
153,157,140
146,157,140
140,157,140
139,157,140
139,157,140
143,157,140
146,157,140
149,157,140
150,157,140
151,157,140
151,157,140
150,157,140
150,157,140
149,157,140
149,157,140
147,157,140
144,157,140
142,157,140
137,157,140
138,157,140
141,157,140
143,157,140
143,157,140
143,157,140
145,157,140
148,157,140
145,157,140
138,157,140
132,157,140
133,157,140
136,157,140
138,157,140
139,157,140
141,157,140
140,157,140
138,157,140
137,157,140
140,157,140
146,157,140
150,157,140
152,157,140
151,157,140
151,157,140
147,157,140
145,157,140
147,157,140
151,157,140
155,157,140
151,157,140
146,157,140
142,157,140
151,157,140
146,157,140
143,157,140
154,157,140
153,157,140
148,157,140
154,157,140
180,157,140
209,157,140
187,157,140
148,157,140
136,157,140
128,157,140
115,157,140
108,157,140
109,157,140
109,157,140
107,157,140
107,157,140
110,157,140
111,157,140
111,157,140
113,157,140
116,157,140
117,157,140
117,157,140
117,157,140
113,157,140
111,157,140
108,157,140
107,157,140
106,157,140
106,157,140
105,157,140
105,157,140
104,157,140
103,157,140
102,157,140
100,157,140
98,157,140
97,157,140
96,157,140
96,157,140
93,157,140
92,157,140
90,157,140
89,157,140
89,157,140
90,157,140
90,157,140
88,157,140
85,157,140
83,157,140
82,157,140
82,157,140
83,157,140
83,157,140
84,157,140
84,157,140
83,157,140
82,157,140
81,157,140
81,157,140
80,157,140
80,157,140
80,157,140
80,157,140
80,157,140
78,157,140
76,157,140
74,157,140
75,157,140
72,157,140
68,157,140
65,157,140
63,157,140
61,157,140
58,157,140
56,157,140
57,157,140
54,157,140
55,157,140
56,157,140
57,157,140
57,157,140
56,157,140
52,157,140
48,157,140
41,157,140
32,157,140
25,157,140
22,157,140
22,157,140
23,157,140
26,157,140
36,157,140
42,157,140
165,164,145
169,164,145
173,164,145
177,164,145
175,164,145
166,164,145
160,164,145
160,164,145
164,164,145
167,164,145
169,164,145
168,164,145
167,164,145
165,164,145
163,164,145
161,164,145
157,164,145
156,164,145
155,164,145
153,164,145
156,164,145
163,164,145
170,164,145
175,164,145
171,164,145
170,164,145
169,164,145
168,164,145
165,164,145
160,164,145
156,164,145
156,164,145
160,164,145
162,164,145
159,164,145
153,164,145
153,164,145
158,164,145
162,164,145
167,164,145
167,164,145
165,164,145
162,164,145
161,164,145
163,164,145
165,164,145
167,164,145
168,164,145
168,164,145
169,164,145
171,164,145
172,164,145
174,164,145
174,164,145
174,164,145
173,164,145
173,164,145
172,164,145
170,164,145
166,164,145
163,164,145
163,164,145
163,164,145
162,164,145
163,164,145
160,164,145
161,164,145
173,164,145
180,164,145
176,164,145
169,164,145
154,164,145
145,164,145
142,164,145
145,164,145
150,164,145
152,164,145
154,164,145
159,164,145
162,164,145
171,164,145
173,164,145
174,164,145
172,164,145
167,164,145
161,164,145
156,164,145
154,164,145
148,164,145
145,164,145
144,164,145
146,164,145
150,164,145
153,164,145
157,164,145
160,164,145
159,164,145
158,164,145
157,164,145
160,164,145
165,164,145
164,164,145
155,164,145
148,164,145
141,164,145
140,164,145
141,164,145
144,164,145
147,164,145
148,164,145
151,164,145
154,164,145
154,164,145
153,164,145
152,164,145
152,164,145
151,164,145
149,164,145
145,164,145
143,164,145
142,164,145
140,164,145
140,164,145
140,164,145
138,164,145
137,164,145
142,164,145
148,164,145
149,164,145
138,164,145
131,164,145
134,164,145
140,164,145
143,164,145
144,164,145
145,164,145
143,164,145
141,164,145
139,164,145
139,164,145
143,164,145
148,164,145
152,164,145
154,164,145
153,164,145
149,164,145
147,164,145
149,164,145
152,164,145
154,164,145
151,164,145
147,164,145
144,164,145
151,164,145
148,164,145
149,164,145
161,164,145
158,164,145
156,164,145
166,164,145
195,164,145
234,164,145
219,164,145
176,164,145
153,164,145
135,164,145
117,164,145
106,164,145
110,164,145
107,164,145
105,164,145
105,164,145
107,164,145
108,164,145
109,164,145
110,164,145
114,164,145
116,164,145
117,164,145
117,164,145
116,164,145
116,164,145
114,164,145
113,164,145
110,164,145
109,164,145
108,164,145
106,164,145
105,164,145
103,164,145
103,164,145
102,164,145
100,164,145
98,164,145
97,164,145
95,164,145
95,164,145
94,164,145
92,164,145
90,164,145
90,164,145
90,164,145
89,164,145
87,164,145
84,164,145
83,164,145
82,164,145
82,164,145
85,164,145
85,164,145
85,164,145
85,164,145
84,164,145
83,164,145
83,164,145
82,164,145
82,164,145
81,164,145
79,164,145
78,164,145
78,164,145
78,164,145
78,164,145
78,164,145
69,164,145
67,164,145
65,164,145
65,164,145
66,164,145
66,164,145
64,164,145
61,164,145
55,164,145
55,164,145
56,164,145
56,164,145
54,164,145
53,164,145
51,164,145
45,164,145
38,164,145
34,164,145
29,164,145
26,164,145
27,164,145
30,164,145
