R,G,B
208,209,203
195,209,203
167,209,203
96,209,203
38,209,203
8,209,203
9,209,203
15,209,203
12,209,203
6,209,203
4,209,203
11,209,203
15,209,203
10,209,203
9,209,203
15,209,203
13,209,203
12,209,203
12,209,203
10,209,203
11,209,203
13,209,203
14,209,203
14,209,203
14,209,203
16,209,203
19,209,203
26,209,203
33,209,203
35,209,203
36,209,203
40,209,203
33,209,203
35,209,203
47,209,203
65,209,203
83,209,203
86,209,203
80,209,203
72,209,203
74,209,203
69,209,203
68,209,203
64,209,203
51,209,203
101,209,203
147,209,203
187,209,203
196,209,203
187,209,203
187,209,203
189,209,203
192,209,203
195,209,203
197,209,203
207,209,203
212,209,203
220,209,203
216,209,203
217,209,203
214,209,203
214,209,203
217,209,203
200,209,203
174,209,203
130,209,203
90,209,203
48,209,203
63,209,203
73,209,203
87,209,203
101,209,203
107,209,203
102,209,203
86,209,203
74,209,203
69,209,203
62,209,203
60,209,203
55,209,203
53,209,203
60,209,203
63,209,203
59,209,203
46,209,203
32,209,203
33,209,203
43,209,203
61,209,203
76,209,203
80,209,203
71,209,203
62,209,203
64,209,203
79,209,203
104,209,203
124,209,203
132,209,203
132,209,203
113,209,203
87,209,203
68,209,203
56,209,203
49,209,203
46,209,203
41,209,203
32,209,203
19,209,203
12,209,203
12,209,203
18,209,203
28,209,203
42,209,203
70,209,203
110,209,203
145,209,203
168,209,203
179,209,203
188,209,203
195,209,203
184,209,203
167,209,203
143,209,203
120,209,203
106,209,203
98,209,203
92,209,203
83,209,203
65,209,203
53,209,203
49,209,203
55,209,203
62,209,203
73,209,203
67,209,203
45,209,203
46,209,203
45,209,203
45,209,203
43,209,203
40,209,203
42,209,203
50,209,203
55,209,203
71,209,203
86,209,203
98,209,203
99,209,203
99,209,203
98,209,203
91,209,203
81,209,203
74,209,203
77,209,203
112,209,203
155,209,203
197,209,203
208,209,203
207,209,203
188,209,203
189,209,203
188,209,203
195,209,203
184,209,203
174,209,203
163,209,203
159,209,203
140,209,203
121,209,203
91,209,203
91,209,203
111,209,203
128,209,203
146,209,203
165,209,203
181,209,203
182,209,203
180,209,203
168,209,203
158,209,203
145,209,203
142,209,203
144,209,203
174,209,203
200,209,203
221,209,203
227,209,203
229,209,203
234,209,203
234,209,203
224,209,203
208,209,203
192,209,203
169,209,203
145,209,203
123,209,203
102,209,203
88,209,203
82,209,203
