R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
108,0,0
146,0,0
148,0,0
151,0,0
150,0,0
152,0,0
150,0,0
151,0,0
148,0,0
150,0,0
150,0,0
147,0,0
146,0,0
147,0,0
146,0,0
143,0,0
142,0,0
143,0,0
148,0,0
155,0,0
159,0,0
162,0,0
160,0,0
156,0,0
150,0,0
146,0,0
145,0,0
144,0,0
144,0,0
146,0,0
146,0,0
143,0,0
138,0,0
139,0,0
146,0,0
152,0,0
153,0,0
153,0,0
153,0,0
152,0,0
154,0,0
151,0,0
145,0,0
140,0,0
138,0,0
138,0,0
139,0,0
143,0,0
146,0,0
149,0,0
150,0,0
150,0,0
150,0,0
146,0,0
138,0,0
129,0,0
133,0,0
132,0,0
126,0,0
120,0,0
116,0,0
112,0,0
110,0,0
114,0,0
114,0,0
112,0,0
115,0,0
121,0,0
122,0,0
119,0,0
117,0,0
118,0,0
121,0,0
124,0,0
124,0,0
122,0,0
118,0,0
114,0,0
114,0,0
118,0,0
121,0,0
121,0,0
123,0,0
121,0,0
116,0,0
114,0,0
113,0,0
110,0,0
113,0,0
119,0,0
122,0,0
120,0,0
118,0,0
118,0,0
121,0,0
122,0,0
126,0,0
127,0,0
127,0,0
127,0,0
126,0,0
121,0,0
118,0,0
116,0,0
115,0,0
111,0,0
109,0,0
110,0,0
111,0,0
111,0,0
110,0,0
109,0,0
113,0,0
107,0,0
102,0,0
97,0,0
96,0,0
97,0,0
96,0,0
94,0,0
92,0,0
93,0,0
92,0,0
95,0,0
100,0,0
99,0,0
99,0,0
102,0,0
103,0,0
99,0,0
85,0,0
82,0,0
89,0,0
118,0,0
151,0,0
149,0,0
147,0,0
153,0,0
146,0,0
111,0,0
82,0,0
63,0,0
107,0,0
184,0,0
235,0,0
249,0,0
244,0,0
237,0,0
222,0,0
177,0,0
163,0,0
151,0,0
150,0,0
148,0,0
146,0,0
148,0,0
151,0,0
146,0,0
138,0,0
134,0,0
135,0,0
140,0,0
130,0,0
103,0,0
80,0,0
63,0,0
41,0,0
23,0,0
