R,G,B
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
136,132,103
132,132,103
131,132,103
135,132,103
140,132,103
143,132,103
143,132,103
139,132,103
137,132,103
127,132,103
136,132,103
125,132,103
118,132,103
129,132,103
99,132,103
62,132,103
68,132,103
53,132,103
38,132,103
44,132,103
44,132,103
37,132,103
39,132,103
47,132,103
51,132,103
44,132,103
54,132,103
43,132,103
46,132,103
38,132,103
35,132,103
51,132,103
61,132,103
59,132,103
41,132,103
42,132,103
53,132,103
53,132,103
57,132,103
55,132,103
54,132,103
73,132,103
90,132,103
75,132,103
58,132,103
65,132,103
83,132,103
95,132,103
91,132,103
76,132,103
55,132,103
41,132,103
34,132,103
30,132,103
31,132,103
39,132,103
39,132,103
43,132,103
55,132,103
69,132,103
82,132,103
96,132,103
109,132,103
112,132,103
132,132,103
140,132,103
136,132,103
146,132,103
153,132,103
144,132,103
145,132,103
146,132,103
144,132,103
139,132,103
132,132,103
130,132,103
130,132,103
133,132,103
134,132,103
145,132,103
149,132,103
155,132,103
158,132,103
161,132,103
164,132,103
170,132,103
174,132,103
174,132,103
171,132,103
168,132,103
169,132,103
169,132,103
166,132,103
163,132,103
156,132,103
142,132,103
141,132,103
142,132,103
136,132,103
144,132,103
163,132,103
171,132,103
173,132,103
81,132,103
95,132,103
76,132,103
27,132,103
31,132,103
17,132,103
10,132,103
11,132,103
4,132,103
12,132,103
11,132,103
7,132,103
8,132,103
6,132,103
3,132,103
1,132,103
3,132,103
3,132,103
0,132,103
4,132,103
8,132,103
7,132,103
16,132,103
36,132,103
104,132,103
113,132,103
116,132,103
116,132,103
101,132,103
88,132,103
69,132,103
24,132,103
17,132,103
27,132,103
40,132,103
36,132,103
25,132,103
27,132,103
31,132,103
36,132,103
36,132,103
40,132,103
48,132,103
61,132,103
64,132,103
49,132,103
48,132,103
72,132,103
76,132,103
76,132,103
53,132,103
68,132,103
76,132,103
87,132,103
69,132,103
47,132,103
63,132,103
61,132,103
67,132,103
72,132,103
73,132,103
66,132,103
58,132,103
63,132,103
59,132,103
63,132,103
72,132,103
82,132,103
88,132,103
83,132,103
81,132,103
86,132,103
95,132,103
77,132,103
87,132,103
87,132,103
19,132,103
0,132,103
25,132,103
45,132,103
70,132,103
58,132,103
48,132,103
55,132,103
82,132,103
92,132,103
105,132,103
141,132,103
167,132,103
182,132,103
169,132,103
144,132,103
97,132,103
80,132,103
98,132,103
67,132,103
47,132,103
59,132,103
76,132,103
94,132,103
110,132,103
133,132,103
158,132,103
172,132,103
181,132,103
177,132,103
178,132,103
179,132,103
175,132,103
175,132,103
173,132,103
165,132,103
153,132,103
150,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
137,132,103
135,132,103
135,132,103
138,132,103
141,132,103
142,132,103
141,132,103
141,132,103
136,132,103
133,132,103
135,132,103
130,132,103
123,132,103
119,132,103
114,132,103
80,132,103
63,132,103
50,132,103
48,132,103
48,132,103
45,132,103
42,132,103
41,132,103
36,132,103
51,132,103
56,132,103
62,132,103
42,132,103
42,132,103
43,132,103
50,132,103
39,132,103
55,132,103
64,132,103
57,132,103
54,132,103
53,132,103
48,132,103
55,132,103
60,132,103
50,132,103
53,132,103
65,132,103
63,132,103
58,132,103
56,132,103
55,132,103
72,132,103
69,132,103
61,132,103
52,132,103
44,132,103
38,132,103
32,132,103
32,132,103
40,132,103
42,132,103
47,132,103
58,132,103
74,132,103
89,132,103
98,132,103
102,132,103
101,132,103
122,132,103
138,132,103
138,132,103
143,132,103
146,132,103
138,132,103
139,132,103
138,132,103
138,132,103
138,132,103
135,132,103
135,132,103
136,132,103
137,132,103
138,132,103
139,132,103
143,132,103
149,132,103
154,132,103
159,132,103
164,132,103
168,132,103
172,132,103
172,132,103
167,132,103
164,132,103
159,132,103
153,132,103
151,132,103
147,132,103
142,132,103
131,132,103
126,132,103
124,132,103
134,132,103
153,132,103
177,132,103
177,132,103
145,132,103
59,132,103
65,132,103
55,132,103
27,132,103
23,132,103
16,132,103
11,132,103
8,132,103
4,132,103
10,132,103
9,132,103
4,132,103
5,132,103
6,132,103
5,132,103
5,132,103
6,132,103
9,132,103
7,132,103
6,132,103
7,132,103
4,132,103
2,132,103
8,132,103
43,132,103
60,132,103
67,132,103
73,132,103
64,132,103
45,132,103
31,132,103
9,132,103
14,132,103
20,132,103
32,132,103
31,132,103
24,132,103
26,132,103
30,132,103
40,132,103
45,132,103
42,132,103
51,132,103
56,132,103
58,132,103
61,132,103
68,132,103
72,132,103
77,132,103
82,132,103
63,132,103
72,132,103
84,132,103
78,132,103
64,132,103
54,132,103
59,132,103
66,132,103
71,132,103
68,132,103
67,132,103
65,132,103
63,132,103
62,132,103
64,132,103
66,132,103
69,132,103
77,132,103
82,132,103
79,132,103
76,132,103
81,132,103
85,132,103
84,132,103
83,132,103
83,132,103
69,132,103
15,132,103
22,132,103
32,132,103
31,132,103
38,132,103
37,132,103
54,132,103
54,132,103
87,132,103
121,132,103
172,132,103
188,132,103
163,132,103
124,132,103
114,132,103
110,132,103
87,132,103
73,132,103
63,132,103
72,132,103
71,132,103
78,132,103
95,132,103
118,132,103
144,132,103
167,132,103
180,132,103
189,132,103
188,132,103
188,132,103
181,132,103
172,132,103
170,132,103
168,132,103
160,132,103
148,132,103
142,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
141,132,103
141,132,103
140,132,103
140,132,103
143,132,103
135,132,103
141,132,103
135,132,103
135,132,103
129,132,103
111,132,103
129,132,103
104,132,103
65,132,103
49,132,103
51,132,103
47,132,103
51,132,103
56,132,103
48,132,103
32,132,103
41,132,103
51,132,103
64,132,103
56,132,103
50,132,103
39,132,103
35,132,103
52,132,103
56,132,103
61,132,103
57,132,103
55,132,103
51,132,103
42,132,103
49,132,103
50,132,103
51,132,103
56,132,103
59,132,103
57,132,103
58,132,103
59,132,103
53,132,103
55,132,103
55,132,103
51,132,103
48,132,103
47,132,103
39,132,103
32,132,103
30,132,103
30,132,103
37,132,103
45,132,103
54,132,103
69,132,103
86,132,103
94,132,103
94,132,103
94,132,103
111,132,103
135,132,103
140,132,103
138,132,103
139,132,103
135,132,103
137,132,103
136,132,103
138,132,103
139,132,103
138,132,103
139,132,103
140,132,103
143,132,103
142,132,103
139,132,103
143,132,103
147,132,103
152,132,103
156,132,103
161,132,103
164,132,103
165,132,103
163,132,103
160,132,103
156,132,103
149,132,103
142,132,103
140,132,103
135,132,103
129,132,103
122,132,103
109,132,103
107,132,103
136,132,103
163,132,103
184,132,103
174,132,103
104,132,103
45,132,103
42,132,103
35,132,103
29,132,103
12,132,103
15,132,103
12,132,103
5,132,103
5,132,103
6,132,103
4,132,103
3,132,103
3,132,103
4,132,103
4,132,103
8,132,103
8,132,103
12,132,103
7,132,103
3,132,103
8,132,103
11,132,103
7,132,103
4,132,103
10,132,103
22,132,103
25,132,103
28,132,103
27,132,103
14,132,103
10,132,103
12,132,103
9,132,103
10,132,103
24,132,103
31,132,103
31,132,103
34,132,103
34,132,103
41,132,103
45,132,103
44,132,103
51,132,103
56,132,103
61,132,103
71,132,103
76,132,103
72,132,103
79,132,103
73,132,103
67,132,103
76,132,103
88,132,103
70,132,103
60,132,103
61,132,103
63,132,103
69,132,103
70,132,103
67,132,103
66,132,103
69,132,103
71,132,103
68,132,103
65,132,103
65,132,103
69,132,103
75,132,103
79,132,103
77,132,103
73,132,103
75,132,103
79,132,103
76,132,103
78,132,103
81,132,103
91,132,103
70,132,103
15,132,103
16,132,103
31,132,103
39,132,103
57,132,103
66,132,103
71,132,103
106,132,103
164,132,103
187,132,103
178,132,103
137,132,103
93,132,103
79,132,103
82,132,103
64,132,103
58,132,103
85,132,103
86,132,103
78,132,103
81,132,103
107,132,103
141,132,103
168,132,103
185,132,103
199,132,103
201,132,103
204,132,103
202,132,103
191,132,103
178,132,103
174,132,103
165,132,103
151,132,103
135,132,103
125,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
141,132,103
142,132,103
142,132,103
142,132,103
141,132,103
140,132,103
140,132,103
143,132,103
137,132,103
145,132,103
137,132,103
138,132,103
133,132,103
115,132,103
132,132,103
121,132,103
80,132,103
55,132,103
46,132,103
40,132,103
54,132,103
67,132,103
60,132,103
45,132,103
31,132,103
33,132,103
51,132,103
62,132,103
65,132,103
55,132,103
52,132,103
55,132,103
52,132,103
52,132,103
52,132,103
58,132,103
55,132,103
42,132,103
39,132,103
42,132,103
52,132,103
59,132,103
57,132,103
54,132,103
61,132,103
71,132,103
71,132,103
69,132,103
69,132,103
62,132,103
55,132,103
53,132,103
49,132,103
39,132,103
35,132,103
30,132,103
37,132,103
43,132,103
47,132,103
54,132,103
64,132,103
76,132,103
82,132,103
91,132,103
101,132,103
125,132,103
134,132,103
130,132,103
130,132,103
132,132,103
134,132,103
138,132,103
139,132,103
137,132,103
134,132,103
135,132,103
138,132,103
140,132,103
141,132,103
146,132,103
147,132,103
149,132,103
152,132,103
153,132,103
155,132,103
156,132,103
153,132,103
148,132,103
147,132,103
143,132,103
137,132,103
132,132,103
127,132,103
121,132,103
110,132,103
98,132,103
83,132,103
89,132,103
141,132,103
170,132,103
186,132,103
175,132,103
88,132,103
48,132,103
41,132,103
32,132,103
29,132,103
2,132,103
9,132,103
8,132,103
5,132,103
7,132,103
5,132,103
2,132,103
2,132,103
2,132,103
1,132,103
2,132,103
5,132,103
5,132,103
8,132,103
5,132,103
3,132,103
10,132,103
15,132,103
13,132,103
9,132,103
15,132,103
13,132,103
9,132,103
11,132,103
14,132,103
10,132,103
9,132,103
14,132,103
7,132,103
9,132,103
16,132,103
19,132,103
27,132,103
37,132,103
39,132,103
44,132,103
44,132,103
47,132,103
46,132,103
54,132,103
69,132,103
75,132,103
74,132,103
83,132,103
79,132,103
63,132,103
81,132,103
78,132,103
81,132,103
68,132,103
66,132,103
65,132,103
61,132,103
62,132,103
61,132,103
67,132,103
72,132,103
74,132,103
71,132,103
61,132,103
60,132,103
63,132,103
69,132,103
76,132,103
81,132,103
77,132,103
72,132,103
72,132,103
81,132,103
72,132,103
79,132,103
81,132,103
87,132,103
111,132,103
54,132,103
14,132,103
33,132,103
46,132,103
80,132,103
91,132,103
117,132,103
154,132,103
204,132,103
183,132,103
140,132,103
106,132,103
77,132,103
73,132,103
74,132,103
73,132,103
73,132,103
74,132,103
67,132,103
63,132,103
80,132,103
124,132,103
163,132,103
184,132,103
198,132,103
210,132,103
211,132,103
212,132,103
208,132,103
193,132,103
183,132,103
177,132,103
162,132,103
139,132,103
112,132,103
101,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
140,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
141,132,103
140,132,103
144,132,103
141,132,103
137,132,103
135,132,103
127,132,103
125,132,103
124,132,103
96,132,103
68,132,103
51,132,103
41,132,103
44,132,103
59,132,103
70,132,103
56,132,103
34,132,103
34,132,103
42,132,103
53,132,103
55,132,103
54,132,103
62,132,103
51,132,103
47,132,103
45,132,103
42,132,103
45,132,103
53,132,103
48,132,103
47,132,103
51,132,103
48,132,103
46,132,103
46,132,103
52,132,103
62,132,103
70,132,103
72,132,103
89,132,103
91,132,103
82,132,103
69,132,103
68,132,103
67,132,103
60,132,103
49,132,103
45,132,103
43,132,103
44,132,103
48,132,103
50,132,103
50,132,103
57,132,103
65,132,103
85,132,103
90,132,103
112,132,103
123,132,103
120,132,103
125,132,103
126,132,103
128,132,103
133,132,103
134,132,103
132,132,103
131,132,103
131,132,103
132,132,103
135,132,103
136,132,103
144,132,103
145,132,103
145,132,103
145,132,103
145,132,103
143,132,103
141,132,103
137,132,103
127,132,103
125,132,103
123,132,103
119,132,103
111,132,103
104,132,103
91,132,103
77,132,103
57,132,103
50,132,103
72,132,103
144,132,103
172,132,103
183,132,103
187,132,103
112,132,103
49,132,103
46,132,103
35,132,103
26,132,103
0,132,103
2,132,103
1,132,103
4,132,103
4,132,103
0,132,103
0,132,103
1,132,103
0,132,103
0,132,103
2,132,103
4,132,103
2,132,103
3,132,103
4,132,103
8,132,103
11,132,103
9,132,103
4,132,103
1,132,103
10,132,103
4,132,103
6,132,103
8,132,103
9,132,103
8,132,103
4,132,103
1,132,103
8,132,103
18,132,103
28,132,103
23,132,103
30,132,103
44,132,103
44,132,103
44,132,103
48,132,103
48,132,103
45,132,103
53,132,103
74,132,103
82,132,103
