R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
36,0,0
168,0,0
168,0,0
170,0,0
171,0,0
169,0,0
166,0,0
166,0,0
169,0,0
172,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
174,0,0
174,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
176,0,0
176,0,0
176,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
174,0,0
174,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
174,0,0
174,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
176,0,0
175,0,0
175,0,0
175,0,0
175,0,0
176,0,0
176,0,0
177,0,0
176,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
174,0,0
175,0,0
175,0,0
175,0,0
177,0,0
177,0,0
177,0,0
177,0,0
177,0,0
176,0,0
179,0,0
180,0,0
173,0,0
163,0,0
149,0,0
127,0,0
106,0,0
78,0,0
56,0,0
44,0,0
39,0,0
40,0,0
42,0,0
39,0,0
42,0,0
46,0,0
48,0,0
50,0,0
49,0,0
44,0,0
39,0,0
38,0,0
39,0,0
41,0,0
45,0,0
47,0,0
48,0,0
51,0,0
50,0,0
49,0,0
50,0,0
52,0,0
52,0,0
51,0,0
52,0,0
52,0,0
53,0,0
52,0,0
52,0,0
52,0,0
51,0,0
51,0,0
51,0,0
51,0,0
51,0,0
51,0,0
51,0,0
51,0,0
51,0,0
51,0,0
50,0,0
52,0,0
52,0,0
52,0,0
52,0,0
