R,G,B
23,11,0
39,11,0
77,11,0
124,11,0
174,11,0
196,11,0
199,11,0
215,11,0
245,11,0
250,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
252,11,0
250,11,0
248,11,0
250,11,0
252,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
245,11,0
245,11,0
246,11,0
245,11,0
243,11,0
243,11,0
244,11,0
247,11,0
246,11,0
248,11,0
250,11,0
253,11,0
255,11,0
255,11,0
254,11,0
254,11,0
255,11,0
255,11,0
255,11,0
255,11,0
255,11,0
254,11,0
252,11,0
252,11,0
252,11,0
252,11,0
250,11,0
249,11,0
249,11,0
249,11,0
248,11,0
248,11,0
255,11,0
255,11,0
255,11,0
255,11,0
254,11,0
253,11,0
251,11,0
250,11,0
247,11,0
247,11,0
245,11,0
244,11,0
242,11,0
242,11,0
242,11,0
243,11,0
242,11,0
243,11,0
243,11,0
244,11,0
246,11,0
246,11,0
246,11,0
246,11,0
242,11,0
239,11,0
233,11,0
229,11,0
224,11,0
222,11,0
224,11,0
229,11,0
230,11,0
231,11,0
234,11,0
235,11,0
233,11,0
230,11,0
227,11,0
225,11,0
230,11,0
229,11,0
229,11,0
231,11,0
233,11,0
236,11,0
238,11,0
239,11,0
227,11,0
224,11,0
219,11,0
210,11,0
198,11,0
191,11,0
183,11,0
178,11,0
174,11,0
172,11,0
168,11,0
168,11,0
169,11,0
169,11,0
168,11,0
166,11,0
172,11,0
171,11,0
171,11,0
171,11,0
171,11,0
172,11,0
175,11,0
178,11,0
184,11,0
185,11,0
189,11,0
198,11,0
204,11,0
209,11,0
210,11,0
213,11,0
214,11,0
212,11,0
208,11,0
203,11,0
199,11,0
196,11,0
193,11,0
189,11,0
188,11,0
188,11,0
186,11,0
187,11,0
186,11,0
184,11,0
183,11,0
183,11,0
188,11,0
187,11,0
185,11,0
184,11,0
185,11,0
190,11,0
194,11,0
193,11,0
187,11,0
187,11,0
186,11,0
184,11,0
178,11,0
176,11,0
177,11,0
178,11,0
178,11,0
180,11,0
181,11,0
179,11,0
176,11,0
176,11,0
176,11,0
176,11,0
176,11,0
172,11,0
171,11,0
174,11,0
173,11,0
168,11,0
163,11,0
161,11,0
156,11,0
161,11,0
158,11,0
150,11,0
143,11,0
137,11,0
126,11,0
112,11,0
97,11,0
89,11,0
85,11,0
87,11,0
86,11,0
75,11,0
57,11,0
41,11,0
48,11,0
60,11,0
67,11,0
52,11,0
27,11,0
27,11,0
50,11,0
67,11,0
77,11,0
80,11,0
79,11,0
79,11,0
87,11,0
91,11,0
95,11,0
104,11,0
127,11,0
146,11,0
156,11,0
155,11,0
155,11,0
157,11,0
156,11,0
155,11,0
156,11,0
159,11,0
163,11,0
164,11,0
164,11,0
165,11,0
167,11,0
168,11,0
166,11,0
168,11,0
167,11,0
167,11,0
163,11,0
158,11,0
155,11,0
154,11,0
156,11,0
159,11,0
88,115,103
117,115,103
154,115,103
181,115,103
205,115,103
216,115,103
217,115,103
231,115,103
246,115,103
248,115,103
251,115,103
251,115,103
250,115,103
248,115,103
247,115,103
245,115,103
247,115,103
248,115,103
248,115,103
249,115,103
253,115,103
254,115,103
254,115,103
253,115,103
253,115,103
253,115,103
253,115,103
253,115,103
253,115,103
252,115,103
253,115,103
254,115,103
241,115,103
243,115,103
245,115,103
246,115,103
246,115,103
245,115,103
246,115,103
247,115,103
246,115,103
247,115,103
249,115,103
250,115,103
250,115,103
249,115,103
250,115,103
250,115,103
255,115,103
255,115,103
255,115,103
255,115,103
255,115,103
255,115,103
254,115,103
251,115,103
254,115,103
254,115,103
253,115,103
252,115,103
251,115,103
250,115,103
249,115,103
248,115,103
254,115,103
252,115,103
253,115,103
252,115,103
250,115,103
249,115,103
247,115,103
246,115,103
245,115,103
244,115,103
245,115,103
243,115,103
241,115,103
241,115,103
241,115,103
241,115,103
241,115,103
241,115,103
243,115,103
243,115,103
244,115,103
244,115,103
247,115,103
247,115,103
243,115,103
241,115,103
238,115,103
234,115,103
229,115,103
226,115,103
225,115,103
227,115,103
232,115,103
233,115,103
234,115,103
235,115,103
235,115,103
234,115,103
233,115,103
232,115,103
233,115,103
232,115,103
231,115,103
232,115,103
234,115,103
236,115,103
237,115,103
238,115,103
235,115,103
231,115,103
226,115,103
221,115,103
215,115,103
212,115,103
206,115,103
201,115,103
194,115,103
191,115,103
187,115,103
185,115,103
185,115,103
185,115,103
183,115,103
182,115,103
185,115,103
186,115,103
186,115,103
185,115,103
184,115,103
186,115,103
186,115,103
187,115,103
187,115,103
189,115,103
193,115,103
198,115,103
200,115,103
202,115,103
204,115,103
207,115,103
204,115,103
202,115,103
198,115,103
194,115,103
190,115,103
188,115,103
186,115,103
186,115,103
188,115,103
187,115,103
186,115,103
184,115,103
185,115,103
185,115,103
185,115,103
186,115,103
190,115,103
191,115,103
191,115,103
189,115,103
188,115,103
187,115,103
185,115,103
184,115,103
183,115,103
184,115,103
184,115,103
182,115,103
178,115,103
174,115,103
173,115,103
173,115,103
174,115,103
174,115,103
173,115,103
172,115,103
173,115,103
174,115,103
175,115,103
176,115,103
174,115,103
173,115,103
174,115,103
179,115,103
179,115,103
176,115,103
170,115,103
165,115,103
167,115,103
169,115,103
165,115,103
156,115,103
151,115,103
147,115,103
139,115,103
127,115,103
109,115,103
98,115,103
90,115,103
92,115,103
95,115,103
99,115,103
98,115,103
94,115,103
74,115,103
63,115,103
56,115,103
51,115,103
38,115,103
34,115,103
43,115,103
52,115,103
56,115,103
61,115,103
64,115,103
72,115,103
84,115,103
84,115,103
85,115,103
91,115,103
119,115,103
138,115,103
154,115,103
160,115,103
161,115,103
160,115,103
158,115,103
155,115,103
156,115,103
160,115,103
164,115,103
165,115,103
164,115,103
164,115,103
166,115,103
169,115,103
169,115,103
170,115,103
169,115,103
168,115,103
165,115,103
161,115,103
160,115,103
160,115,103
160,115,103
163,115,103
174,242,233
206,242,233
232,242,233
237,242,233
240,242,233
240,242,233
237,242,233
247,242,233
242,242,233
244,242,233
246,242,233
246,242,233
244,242,233
242,242,233
241,242,233
240,242,233
241,242,233
242,242,233
243,242,233
248,242,233
249,242,233
250,242,233
248,242,233
248,242,233
247,242,233
247,242,233
248,242,233
249,242,233
248,242,233
248,242,233
249,242,233
249,242,233
248,242,233
249,242,233
251,242,233
252,242,233
251,242,233
251,242,233
250,242,233
249,242,233
250,242,233
251,242,233
251,242,233
251,242,233
252,242,233
251,242,233
251,242,233
253,242,233
253,242,233
254,242,233
254,242,233
255,242,233
255,242,233
255,242,233
255,242,233
255,242,233
255,242,233
254,242,233
254,242,233
253,242,233
253,242,233
252,242,233
251,242,233
251,242,233
247,242,233
246,242,233
247,242,233
246,242,233
245,242,233
244,242,233
245,242,233
243,242,233
243,242,233
243,242,233
243,242,233
242,242,233
241,242,233
241,242,233
241,242,233
241,242,233
243,242,233
243,242,233
243,242,233
245,242,233
246,242,233
246,242,233
247,242,233
247,242,233
246,242,233
247,242,233
245,242,233
245,242,233
241,242,233
237,242,233
235,242,233
235,242,233
240,242,233
240,242,233
240,242,233
240,242,233
241,242,233
242,242,233
244,242,233
245,242,233
242,242,233
241,242,233
240,242,233
240,242,233
241,242,233
242,242,233
243,242,233
243,242,233
244,242,233
240,242,233
237,242,233
234,242,233
236,242,233
238,242,233
236,242,233
230,242,233
220,242,233
216,242,233
210,242,233
207,242,233
205,242,233
204,242,233
202,242,233
200,242,233
203,242,233
202,242,233
200,242,233
200,242,233
198,242,233
197,242,233
195,242,233
193,242,233
192,242,233
192,242,233
192,242,233
191,242,233
189,242,233
185,242,233
186,242,233
187,242,233
180,242,233
178,242,233
175,242,233
170,242,233
169,242,233
168,242,233
169,242,233
168,242,233
168,242,233
167,242,233
167,242,233
168,242,233
170,242,233
171,242,233
175,242,233
178,242,233
179,242,233
182,242,233
184,242,233
183,242,233
180,242,233
178,242,233
176,242,233
172,242,233
176,242,233
178,242,233
182,242,233
182,242,233
178,242,233
175,242,233
173,242,233
173,242,233
171,242,233
169,242,233
166,242,233
164,242,233
166,242,233
171,242,233
172,242,233
172,242,233
175,242,233
176,242,233
174,242,233
174,242,233
179,242,233
182,242,233
182,242,233
178,242,233
176,242,233
180,242,233
177,242,233
170,242,233
163,242,233
160,242,233
154,242,233
146,242,233
132,242,233
110,242,233
92,242,233
94,242,233
112,242,233
131,242,233
140,242,233
138,242,233
107,242,233
83,242,233
61,242,233
49,242,233
43,242,233
36,242,233
33,242,233
34,242,233
40,242,233
44,242,233
48,242,233
62,242,233
75,242,233
78,242,233
81,242,233
87,242,233
111,242,233
133,242,233
151,242,233
160,242,233
163,242,233
163,242,233
159,242,233
158,242,233
157,242,233
162,242,233
167,242,233
167,242,233
164,242,233
163,242,233
166,242,233
170,242,233
172,242,233
173,242,233
171,242,233
168,242,233
164,242,233
163,242,233
165,242,233
165,242,233
167,242,233
169,242,233
223,253,247
238,253,247
247,253,247
242,253,247
239,253,247
239,253,247
232,253,247
235,253,247
240,253,247
242,253,247
243,253,247
243,253,247
243,253,247
243,253,247
243,253,247
243,253,247
238,253,247
239,253,247
241,253,247
244,253,247
244,253,247
245,253,247
244,253,247
242,253,247
242,253,247
242,253,247
243,253,247
244,253,247
245,253,247
244,253,247
243,253,247
242,253,247
255,253,247
255,253,247
255,253,247
255,253,247
254,253,247
253,253,247
252,253,247
251,253,247
251,253,247
251,253,247
252,253,247
254,253,247
254,253,247
255,253,247
255,253,247
255,253,247
253,253,247
254,253,247
253,253,247
253,253,247
253,253,247
252,253,247
250,253,247
249,253,247
248,253,247
249,253,247
249,253,247
250,253,247
252,253,247
252,253,247
252,253,247
253,253,247
252,253,247
252,253,247
252,253,247
252,253,247
252,253,247
252,253,247
250,253,247
251,253,247
249,253,247
249,253,247
249,253,247
251,253,247
250,253,247
250,253,247
251,253,247
251,253,247
246,253,247
246,253,247
245,253,247
245,253,247
244,253,247
243,253,247
243,253,247
243,253,247
244,253,247
246,253,247
248,253,247
249,253,247
248,253,247
246,253,247
245,253,247
243,253,247
251,253,247
250,253,247
249,253,247
249,253,247
249,253,247
250,253,247
251,253,247
252,253,247
254,253,247
253,253,247
252,253,247
251,253,247
251,253,247
251,253,247
250,253,247
250,253,247
255,253,247
253,253,247
249,253,247
246,253,247
244,253,247
243,253,247
238,253,247
230,253,247
226,253,247
221,253,247
215,253,247
210,253,247
205,253,247
202,253,247
199,253,247
197,253,247
187,253,247
185,253,247
182,253,247
181,253,247
177,253,247
173,253,247
167,253,247
162,253,247
158,253,247
153,253,247
147,253,247
139,253,247
130,253,247
121,253,247
117,253,247
114,253,247
109,253,247
107,253,247
101,253,247
98,253,247
95,253,247
96,253,247
96,253,247
97,253,247
98,253,247
97,253,247
98,253,247
102,253,247
104,253,247
109,253,247
116,253,247
122,253,247
131,253,247
135,253,247
140,253,247
142,253,247
145,253,247
151,253,247
155,253,247
157,253,247
164,253,247
167,253,247
172,253,247
175,253,247
175,253,247
175,253,247
176,253,247
177,253,247
177,253,247
175,253,247
172,253,247
168,253,247
168,253,247
171,253,247
174,253,247
174,253,247
174,253,247
176,253,247
178,253,247
180,253,247
185,253,247
187,253,247
186,253,247
179,253,247
181,253,247
184,253,247
184,253,247
180,253,247
173,253,247
172,253,247
166,253,247
162,253,247
149,253,247
133,253,247
115,253,247
102,253,247
98,253,247
106,253,247
116,253,247
120,253,247
119,253,247
118,253,247
107,253,247
81,253,247
50,253,247
35,253,247
36,253,247
41,253,247
38,253,247
37,253,247
43,253,247
60,253,247
77,253,247
83,253,247
84,253,247
91,253,247
108,253,247
125,253,247
143,253,247
154,253,247
160,253,247
162,253,247
160,253,247
159,253,247
157,253,247
163,253,247
168,253,247
169,253,247
165,253,247
163,253,247
167,253,247
172,253,247
174,253,247
175,253,247
171,253,247
168,253,247
165,253,247
165,253,247
167,253,247
169,253,247
171,253,247
170,253,247
254,254,254
250,254,254
247,254,254
243,254,254
248,254,254
247,254,254
239,254,254
239,254,254
242,254,254
243,254,254
243,254,254
242,254,254
242,254,254
241,254,254
243,254,254
244,254,254
238,254,254
239,254,254
239,254,254
241,254,254
240,254,254
240,254,254
241,254,254
240,254,254
241,254,254
242,254,254
243,254,254
245,254,254
246,254,254
245,254,254
244,254,254
243,254,254
251,254,254
251,254,254
252,254,254
253,254,254
253,254,254
254,254,254
255,254,254
255,254,254
251,254,254
252,254,254
255,254,254
255,254,254
255,254,254
254,254,254
253,254,254
254,254,254
240,254,254
240,254,254
240,254,254
241,254,254
242,254,254
242,254,254
241,254,254
240,254,254
243,254,254
242,254,254
243,254,254
244,254,254
244,254,254
243,254,254
243,254,254
243,254,254
244,254,254
243,254,254
243,254,254
243,254,254
243,254,254
242,254,254
242,254,254
242,254,254
240,254,254
241,254,254
240,254,254
240,254,254
238,254,254
238,254,254
237,254,254
236,254,254
238,254,254
237,254,254
235,254,254
235,254,254
233,254,254
231,254,254
230,254,254
229,254,254
231,254,254
233,254,254
233,254,254
235,254,254
236,254,254
236,254,254
236,254,254
236,254,254
236,254,254
235,254,254
234,254,254
232,254,254
231,254,254
229,254,254
228,254,254
228,254,254
226,254,254
225,254,254
222,254,254
220,254,254
218,254,254
216,254,254
214,254,254
212,254,254
212,254,254
210,254,254
208,254,254
205,254,254
