R,G,B
6,0,0
168,0,0
203,0,0
202,0,0
202,0,0
203,0,0
204,0,0
203,0,0
204,0,0
205,0,0
207,0,0
208,0,0
207,0,0
207,0,0
206,0,0
206,0,0
207,0,0
207,0,0
206,0,0
204,0,0
203,0,0
202,0,0
203,0,0
204,0,0
205,0,0
203,0,0
204,0,0
204,0,0
205,0,0
205,0,0
205,0,0
205,0,0
211,0,0
212,0,0
213,0,0
214,0,0
214,0,0
214,0,0
213,0,0
212,0,0
212,0,0
213,0,0
213,0,0
211,0,0
210,0,0
209,0,0
208,0,0
208,0,0
202,0,0
199,0,0
194,0,0
189,0,0
187,0,0
189,0,0
187,0,0
185,0,0
190,0,0
189,0,0
188,0,0
188,0,0
188,0,0
188,0,0
191,0,0
192,0,0
190,0,0
190,0,0
190,0,0
190,0,0
191,0,0
191,0,0
192,0,0
193,0,0
193,0,0
188,0,0
187,0,0
192,0,0
195,0,0
192,0,0
186,0,0
183,0,0
191,0,0
182,0,0
178,0,0
187,0,0
193,0,0
190,0,0
191,0,0
202,0,0
213,0,0
212,0,0
208,0,0
199,0,0
195,0,0
194,0,0
194,0,0
192,0,0
182,0,0
185,0,0
192,0,0
196,0,0
200,0,0
202,0,0
205,0,0
202,0,0
198,0,0
195,0,0
194,0,0
194,0,0
197,0,0
200,0,0
201,0,0
203,0,0
194,0,0
194,0,0
195,0,0
195,0,0
198,0,0
198,0,0
198,0,0
198,0,0
199,0,0
200,0,0
202,0,0
204,0,0
205,0,0
207,0,0
210,0,0
213,0,0
214,0,0
217,0,0
224,0,0
230,0,0
236,0,0
239,0,0
240,0,0
240,0,0
239,0,0
242,0,0
241,0,0
241,0,0
240,0,0
238,0,0
234,0,0
232,0,0
238,0,0
228,0,0
217,0,0
207,0,0
199,0,0
198,0,0
206,0,0
211,0,0
206,0,0
207,0,0
202,0,0
198,0,0
204,0,0
208,0,0
209,0,0
211,0,0
217,0,0
225,0,0
216,0,0
196,0,0
179,0,0
168,0,0
170,0,0
181,0,0
174,0,0
188,0,0
201,0,0
